abandonment	 n. 放弃
intimate	 adj. 亲密的
alleviate	 v. 减轻，缓解
conspicuous	 adj. 显著的
territory	 n. 领域，领土
displace	 v. 取代
regardless	 adj. 不管，不顾
duplication	 n. 复制品
overturn	 v. 推翻
identical	 adj. 相同的
miniature	 adj. 微型的
tempting	 adj. 吸引人的
segregation	 n. 隔离
variance	 n. 不同
inaction	 n. 不作为
conserve	 v. 保留，保护
renewable	 adj. 可再生的
embrace	 v. 采纳，接受
counterpart	 n. 对等物
rival	 n. 对手
intense	 adj. 激烈的，强烈的
aspirational	 adj. 渴望的
transform	 v. 转变
grip	 n. 抓住
unfold	 v. 展开
ideological	 adj. 意识形态的
filter	 v. 过滤
pronoun	 n. 代词
philosophy	 n. 哲学
illuminate	 v. 阐释，阐明
odds	 n. 可能性
confess	 v. 承认
manipulate	 v. 操纵
rhythm	 n. 节奏
hijack	 v. 劫持
sweep	 v. 扫除，清除
withdraw	 v. 撤销，撤退
flame	 n. 火焰
spark	 n. 火花
feasibility	 n. 可行
fascinate	 v. 使着迷
crew	 n. 机组人员
cumulative	 adj. 积累的
awkward	 adj. 尴尬的，棘手的，笨拙的
obscurity	 n. 默默无闻
badge	 n. 标记, 徽章
distinction	 n. 区分
formulate	 v. 制定，规划
monetary	 adj. 货币的
portray	 v. 描述
hostility	 n. 敌意
robust	 adj. 强健的
appropriation	 n. 挪用
deforestation	 n. 砍伐森林
puzzle	 v. 迷惑
migration	 n. 迁徙，移居
constrain	 v. 限制
sneak	 v. 溜走
margin	 n. 利润
division	 n. 分歧
privilege	 n. 特权
imperial	 adj. 帝国的
justice	 n. 公平
opponent	 n. 反对者
crush	 v. 压碎，压榨
harness	 v. 管理，控制
monopolize	 v. 垄断
tremendous	 adj. 巨大的
vital	 adj. 重要的
imperative	 adj. 必须的,必要的
initial	 adj. 初步的，最初的
distract	 v. 分心，分散注意
convincing	 adj. 令人信服的
consult	 v. 咨询
agony	 n. 痛苦
refrain	 v. 抑制，避免
thrilling	 adj. 令人兴奋的
prematurely	 adv. 早熟地，过早地
conscientious	 adj. 有良心的，认真负责的
entail	 v. 使需要，使必须
forge	 v. 铸造；伪造
overstate	 v. 夸张
accountable	 adj. 应负责的，有责任的
pessimistic	 adj. 悲观的
subsequently	 adv. 随后
hack	 v. 黑客攻击
liability	 n. 责任；债务
conversion	 n. 转变
needle	 n. 指针，针
deterioration	 n. 恶化，退化
fault	 n. 过失
relay	 v. 接替，转播
shrank	 v. 收缩(shrink过去式)
transmit	 v. 传播，传导
incidentally	 adv. 顺便地，附带
notably	 adv. 显著地，尤其
worldwide	 adv. 世界范围地，全世界
rigor	 n. 严格
readjust	 v. 重新调整，再调整
prolong	 v. 延长
redefine	 v. 重新定义
controversial	 adj. 受到争议的
degeneration	 n. 退化，变质
malicious	 adj. 恶毒的
widen	 v. 拓宽，变宽
density	 n. 密度
metropolitan	 adj. 大都市的
prominent	 adj. 卓越的，突出的
prevalence	 n. 流行，普遍
compact	 adj. 紧密的，紧凑的
correlation	 n. 相关，关联
simulate	 v. 模拟，模仿
momentum	 n. 动力，势头
fixture	 n. 固定装置
proposition	 n. 提议，主题
dynamics	 n. 动力学
descent	 n. 血统, 后裔
affiliation	 n. 隶属关系，单位团体
perception	 n. 看法；意识
permeate	 v. 渗透
recruiter	 n. 招聘者
dilute	 v. 稀释，冲淡
prioritize	 v. 优先
privileged	 adj. 有特权的
landmark	 adj. 有重大意义或影响的
extracurricular	 adj. 课外的
deprivation	 n. 剥夺，匮乏
cater	 v. 迎合
pierce	 v. 刺穿
surpass	 v. 超过
target	 v / n. 目标；把…作为目标
ready	 adj. 乐意的，愿意的
alternatively	 adv. 二选一地；非此即彼
chronically	 adv. 慢性地；持久地
frame	 v. 设计，建造
mournful	 adj. 悲哀的；令人惋惜的
cultivate	 v. 培养
cornerstone	 n. 基石
legalize	 v. 合法化
rigid	 adj. 严格的
certify	 v. 保证，证明
orbit	 n. 轨道
astronomical	 adj. 天文数字的
Automatically	 adv. 自动地；不经思考地
existence	 n. 存在，生存
intolerant	 adj. 无法容忍的
occupation	 n. 职业
slightly	 adv. 轻微地
exploit	 v. 开发，开采
regarding	 prep. 关于
ecosystem	 n. 生态系统
noted	 adj. 著名的
incorporate	 v. 合并；体现
interactive	 adj. 互相作用的，互相影响的
novel	 adj. 新颖的
mismanagement	 n. 管理不当
irrational	 adj. 不合理的，不理性的
groundless	 adj. 无理由的，无根据的
restructure	 v. 调整，重建
stimulus	 n. 刺激
feasible	 adj. 可行的
adaptation	 n. 适应；改编
institute	 n. 研究所，学会，学院
biochemistry	 n. 生物化学
entrepreneur	 n. 企业家
arise	 v. 出现
ascend	 v. 上升
combination	 n. 组合，结合
definite	 adj. 一定的，确切的
preserve	 v. 保存，保护
program	 v. 计划，安排
proximately	 adv. 近似，接近
lobbyist	 n. 游说者
redundant	 adj. 过剩的；失业的，被解雇的
insurer	 n. 保险公司；承保人
overestimate	 v. 高估
cropland	 n. 农田
irrigation	 n. 灌溉
contaminate	 v. 污染，弄脏
untreated	 adj. 未经处理的
sanitation	 n. 卫生环境，卫生设备
echo	 v. 随声附和，发出回声
duplicate	 n. 副本，复制品
elevate	 v. 提升，举起；使高兴
illustrate	 v. 阐明，说明
inquire	 v. 询问
prevail	 v. 流行，普遍
strap	 v. 用带帮助
turbulent	 adj. 动荡的，骚乱的
rebellion	 n. 叛逆
lofty	 adj. 崇高的
render	 v. 给予
recyclable	 adj. 可回收利用的
trick	 n. 骗局，诡计
certification	 n. 证明，保证
prevailing	 adj. 流行的
misled	 (mislead过去式)误导
elimination	 n. 消除，淘汰
unqualified	 adj. 不合格的，不胜任的
subconscious	 adj. 下意识的，潜意识的
incompetent	 adj. 无能力的，不胜任的
discriminate	 v. 歧视；区别
elegant	 adj. 高雅的，雅致的
gown	 n. 长袍
bride	 n. 新娘
costume	 n. 服装
