pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
commit	 v. 犯罪，做错事；把交托给；指派…作战；使…承担义务
cherish	 v. 珍爱
glamorous	 adj. 迷人的，富有魅力的
pluralism	 n. 多元主义；多元论；兼任
instance	 n. 实例；情况；建议 v. 举为例
barometer	 n. [气象] 气压计；晴雨表；显示变化的事物
austere	 adj. 严峻的；简朴的；苦行的；无装饰的
disingenuous	 adj. 虚伪的；不诚实的；不老实的；狡猾的
miscount	 v. 数错；算错 n. 数错；误算
charming	 adj. 迷人的；可爱的 v. 使陶醉（charm的现在分词）
deference	 n. 顺从；尊重
preempt	 v. 先占；先取；以先买权获得
practitioner	 n. 开业者，从业者，执业医生
pageant	 n. 盛会；游行；虚饰；露天表演
pigment	 n. [物][生化] 色素；颜料 v. 给…着色
lacerate	 v. 伤害，使…痛心；割裂；撕碎 adj. 受折磨的；撕碎的
efficacious	 adj. 有效的；灵验的
conjugation	 n. 结合，配合；动词的词形变化
ambulance	 n. [车辆][医] 救护车；战时流动医院
humble	 adj. 谦逊的；简陋的；（级别或地位）低下的；不大的 v. 使谦恭；轻松打败（尤指强大的对手）；低声下气
minority	 n. 少数民族；少数派；未成年 adj. 少数的；属于少数派的
fortitude	 n. 刚毅；不屈不挠；勇气
antibody	 n. [免疫] 抗体
narrate	 v. 叙述；给…作旁白
sophism	 n. 诡辩
sum	 n. 金额；总数 v. 概括
unyielding	 adj. 不屈的；坚强的；[材] 不易弯曲的
paragon	 n. 模范；完美之物；优秀之人 adj. 完美的
aliment	 n. 滋养品；食物 v. 向…提供营养物
illiterate	 adj. 文盲的；不识字的；没受教育的 n. 文盲
panorama	 n. 全景，全貌；全景画；概论
vivify	 v. 使生动；使活跃；给与生气
abundant	 adj. 丰富的；充裕的；盛产
acrimony	 n. 辛辣；尖刻；严厉
rust	 n. 锈；生锈；[植保] 锈病 v. 使生锈；腐蚀
fission	 n. 裂变；分裂；分体；分裂生殖法
volition	 n. 意志，意志力；决断力
recapitulate	 v. 概括；重述要点；摘要
ominous	 adj. 预兆的；不吉利的
pedigree	 n. 血统；家谱 adj. 纯种的
ethnic	 adj. 种族的；人种的
negate	 v. 否定；取消；使无效 n. 对立面；反面
granular	 adj. 颗粒的；粒状的
malodorous	 adj. 有恶臭的；令人极为反感的；不合法的
nascent	 adj. 初期的；开始存在的，发生中的
negotiate	 v. 谈判，商议；转让；越过
capricious	 adj. 反复无常的；任性的
impartial	 adj. 公平的，公正的；不偏不倚的
organic	 adj. [有化] 有机的；组织的；器官的；根本的
distort	 v. 扭曲；使失真；曲解
temporal	 adj. 暂时的；当时的；现世的 n. 世间万物；暂存的事物
scribble	 n. 潦草写成的东西；潦草的写法；杂文 v. 乱写；滥写；潦草地书写
calculus	 n. [病理] 结石；微积分学
electrolysis	 n. [化学] 电解，[化学] 电解作用；以电针除痣
circuit	 n. [电子] 电路，回路；巡回；一圈；环道 v. 环行
dissuade	 v. 劝阻，劝止
relish	 n. 滋味；风味；食欲；开胃小菜；含义；调味品 v. 盼望;期待;享受; 品味；喜爱；给…加佐料
brief	 adj. 简短的，简洁的；短暂的，草率的 n. 摘要，简报；概要，诉书 v. 简报，摘要；作…的提要
impetuous	 adj. 冲动的；鲁莽的；猛烈的
odorous	 adj. 香的；有气味的；难闻的
malice	 n. 恶意；怨恨；预谋
astringent	 adj. 涩的；收敛性的；止血的；严厉的 n. [药] 收敛剂；止血药
brine	 n. 卤水；盐水；海水 v. 用浓盐水处理（或浸泡）
venerable	 adj. 庄严的，值得尊敬的；珍贵的
prototype	 n. 原型；标准，模范
corrupt	 adj. 腐败的，贪污的；堕落的 v. 使腐烂；使堕落，使恶化
agility	 n. 敏捷；灵活；机敏
coercive	 adj. 强制的；胁迫的；高压的
carnage	 n. 大屠杀；残杀；大量绝灭
simultaneously	 adv. 同时地
urea	 n. [肥料] 尿素
serenity	 n. 平静，宁静；晴朗，风和日丽
toxic	 adj. 有毒的；中毒的
yearling	 n. 一岁家畜；满一岁的动物 adj. 一岁的
guile	 n. 狡猾；诡计；欺诈
affiliation	 n. 友好关系；加入；联盟；从属关系
compression	 n. 压缩，浓缩；压榨，压迫
cameo	 n. （影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文
sacrosanct	 adj. 神圣不可侵犯的；极神圣的
nugatory	 adj. 无价值的；琐碎的；无效的；无法律效力的
brigadier	 n. 准将；陆军准将
gregarious	 adj. 社交的；群居的
unqualified	 adj. 不合格的；无资格的；不胜任的；不受限制的；无条件的；绝对的
risible	 adj. 可笑的；爱笑的；引人笑的
criticize	 v. 批评；评论；非难
bauble	 n. 小玩意；美观而无价值的饰物
assiduous	 adj. 刻苦的，勤勉的
irksome	 adj. 令人厌烦的，讨厌的；令人厌恶的
alienable	 adj. 可让与的，可转让的
benevolence	 n. 仁慈；善行
tripod	 n. [摄] 三脚架；三脚桌
cavil	 v. 吹毛求疵；挑剔 n. 吹毛求疵；苛责；无端的指责
acumen	 n. 聪明，敏锐
episode	 n. 插曲；一段情节；插话；有趣的事件
negligent	 adj. 疏忽的；粗心大意的
monarchy	 n. 君主政体；君主国；君主政治
hydrolysis	 n. 水解作用
sphere	 n. 范围；球体 vt. 包围；放入球内；使…成球形 adj. 球体的
wane	 v. 衰落；变小；亏缺；退潮；消逝 n. 衰退；月亏；衰退期；缺损
probe	 n. 探针；调查 v. 调查；探测
figurative	 adj. 比喻的；修饰丰富的；形容多的
odoriferous	 adj. 臭的，散发气味的；芬芳的
usurp	 v. 篡夺；夺取；侵占
inconsequential	 adj. 不重要的；不合理的；不合逻辑的
chronology	 n. 年表；年代学
impalpable	 adj. 感触不到的；难理解的；无形的
overweight	 adj. 超重的；过重的 vt. 使负担过重 n. 超重
length	 n. 长度，长；时间的长短；（语）音长
usury	 n. 高利；高利贷；利益
pejorative	 adj. 轻蔑的；[临床] 恶化的，变坏的 n. 轻蔑语
prolific	 adj. 多产的；丰富的
obsequious	 adj. 谄媚的；奉承的；顺从的
concede	 v. 承认；退让；给予，容许
edge	 n. 边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边
profuse	 adj. 丰富的；很多的；慷慨的；浪费的
toxin	 n. 毒素；毒质
nuisance	 n. 讨厌的人；损害；麻烦事；讨厌的东西
denominator	 n. [数] 分母；命名者；共同特征或共同性质；平均水平或标准
abjure	 v. 发誓放弃；公开放弃；避免
sanguineous	 adj. 血的；血红色的；多血质的；乐观的
access	 v. 使用；存取；接近 n. 进入；使用权；通路
zeitgeist	 n. 时代思潮，时代精神
gratuitous	 adj. 无理由的，无端的；免费的
stun	 v. 使震惊；打昏；给以深刻的印象 n. 昏迷；打昏；惊倒；令人惊叹的事物
abrasion	 n. 磨损；磨耗；擦伤
spontaneous	 adj. 自发的；自然的；无意识的
malign	 v. 诽谤，污蔑；中伤，说坏话 adj. 恶意的，恶性的；有害的
foliate	 v. 把…打成箔；加叶饰 adj. 有叶的；叶状的；成薄片的
ruin	 n. 废墟；毁坏；灭亡 v. 毁灭；使破产
perimeter	 n. 周长；周界；[眼科] 视野计
watt	 n. 瓦特
esoteric	 adj. 秘传的；限于圈内人的；难懂的
ponder	 v. 仔细考虑；衡量 n. (Ponder)人名；(英)庞德
subsist	 v. 存在；维持生活
surmount	 v. 克服，越过；战胜
immaculate	 adj. 完美的；洁净的；无瑕疵的
bole	 n. [林] 树干；红玄武土
stipend	 n. 奖学金；固定薪金；定期津贴；养老金
servile	 adj. 奴隶的；奴性的；卑屈的；卑屈的
compromise	 v. 妥协；危害 n. 妥协，和解；折衷
incongruous	 adj. 不协调的；不一致的；不和谐的
transformer	 n. [电] 变压器；促使变化的人
transcription	 n. 抄写；抄本；誊写
ensconce	 v. 安置；安顿下来；使…隐藏
complicate	 v. 使复杂化；使恶化；使卷入
rationalization	 n. 合理化
accuse	 v. 控告，指控；谴责；归咎于
chronometer	 n. [天] 精密记时表；高度精确的钟表；航海经线仪
implication	 n. 含义；暗示；牵连，卷入；可能的结果，影响
imperious	 adj. 专横的；迫切的；傲慢的
prescient	 adj. 预知的；有先见之明的
innate	 adj. 先天的；固有的；与生俱来的
dissent	 v. 不同意；不信奉国教 n. 异议；（大写）不信奉国教
discourteous	 adj. 失礼的，无礼貌的；粗鲁的
sleight	 n. 手法，技巧；熟练，灵巧；诡计
ostensible	 adj. 表面的；假装的
controversial	 adj. 有争议的；有争论的
indebted	 adj. 负债的；感激的；受惠的 v. 使负债；使受恩惠（indebt的过去分词）
obtrude	 v. 逼使；强迫；冲出
ambassador	 n. 大使；代表；使节
wiry	 adj. 金属线制的；金属丝般的；坚硬的；瘦长结实的；（噪音）尖细的
wave	 v. 波动；起伏；挥手示意；摇动；呈波形 n. 波动；波浪；高潮；挥手示意；卷曲
summon	 v. 召唤；召集；鼓起；振作
penurious	 adj. 吝啬的；缺乏的；贫困的
knead	 v. 揉合，揉捏；按摩；捏制
justifiable	 adj. 可辩解的，有道理的；可证明为正当的
concordant	 adj. 和谐的；协调的；一致的；和声的
dismantle	 v. 拆除；取消；解散；除掉…的覆盖物
orchestra	 n. 管弦乐队；乐队演奏处
alcove	 n. 凹室；壁龛
outweigh	 v. 比…重（在重量上）；比…重要；比…有价值
bond	 n. 债券；结合；约定；粘合剂；纽带 v. 结合，团结在一起
votive	 adj. 奉献的（副词votively）；献纳的；诚心祈求的
sanguine	 adj. 乐观的；满怀希望的；面色红润的 vt. 血染；以血沾污 n. 血红色
verisimilitude	 n. 逼真，貌似真实；逼真的事物
wary	 adj. 谨慎的；机警的；惟恐的；考虑周到的
vector	 n. 矢量；带菌者；航线 vt. 用无线电导航
triple	 adj. 三倍的；三方的 n. 三倍数；三个一组 v. 增至三倍
mean	 adj. 平均的；卑鄙的；低劣的；吝啬的 v. 意味；想要；意欲 n. 平均值
percolate	 v. 过滤；渗出；浸透 n. 滤过液；渗出液
perturb	 v. 扰乱；使…混乱；使…心绪不宁
longevity	 n. 长寿，长命；寿命
coalition	 n. 联合；结合，合并
ephemeral	 adj. 短暂的；朝生暮死的 n. 只生存一天的事物
immoral	 adj. 不道德的；邪恶的；淫荡的
impassioned	 adj. 充满激情的；感激的 v. 使充满激情（impassion的过去式和过去分词）
consecrate	 v. 奉献；使神圣；供神用；献身于 adj. 神圣的；被献给神的
avow	 v. 承认；公开宣称；坦率承认
familiarity	 n. 熟悉，精通；亲密；随便
matter	 n. 物质；事件 v. 有关系；要紧
lunatic	 adj. 疯狂的；精神错乱的；愚蠢的 n. 疯子；疯人
gesture	 n. 姿态；手势 v. 作手势；用动作示意
precipitate	 n. [化学] 沉淀物 v. 使沉淀；促成；猛抛；使陷入 adj. 突如其来的；猛地落下的；急促的
jerky	 adj. 抽筋的；急动的；不平稳的 n. 牛肉干
prodigy	 n. 奇迹，奇事；奇才；奇观；预兆
casualty	 n. 意外事故；伤亡人员；急诊室
domestic	 adj. 国内的；家庭的；驯养的；一心只管家务的 n. 国货；佣人
assent	 v. 同意；赞成 n. 同意；赞成
beleaguer	 v. 围攻；围
assassin	 n. 刺客，暗杀者
vista	 n. 远景，狭长的街景；展望；回顾
accouter	 v. 装备；供以军用品，供以服装
premier	 adj. 第一的；最初的 n. 总理，首相
humbug	 n. 骗子；欺骗；谎话 v. 欺骗；哄骗
seethe	 v. 沸腾；冒泡；激动 n. 沸腾；感情等的迸发
substantive	 adj. 有实质的；大量的；真实的；独立存在的 n. 名词性实词；独立存在的实体
boon	 n. 恩惠；福利；利益 adj. 愉快的；慷慨的
rejuvenate	 v. 使年轻；使更新；使恢复精神；使复原
indolence	 n. 懒散，懒惰；无痛
literal	 adj. 文字的；逐字的；无夸张的
dormant	 adj. 休眠的；静止的；睡眠状态的；隐匿的 n. (Dormant)人名；(法)多尔芒
anthropologist	 n. 人类学家；人类学者
alliance	 n. 联盟，联合；联姻
malleable	 adj. 可锻的；可塑的；有延展性的；易适应的
falsify	 v. 伪造；篡改；歪曲；证明虚假
visibility	 n. 能见度，可见性；能见距离；明显性
inordinate	 adj. 过度的；无节制的；紊乱的
truncated	 adj. 缩短了的；被删节的；切去顶端的 v. 缩短（truncate的过去分词）；截去…的顶端
canary	 n. [鸟] 金丝雀；淡黄色
cosmopolitan	 adj. 世界性的；世界主义的，四海一家的 n. 四海为家者；世界主义者；世界各地都有的东西
wavelet	 n. 微波，小浪
ironic	 adj. 讽刺的；反话的
verdict	 n. 结论；裁定
amour	 n. 恋情；偷情，奸情
weightlessness	 n. 失重；无重状态
systematic	 adj. 系统的；体系的；有系统的；[图情] 分类的；一贯的，惯常的
habituate	 v. 使习惯于，使熟悉于
substantial	 adj. 大量的；实质的；内容充实的 n. 本质；重要材料
harmonious	 adj. 和谐的，和睦的；协调的；悦耳的
intelligence	 n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
hedonism	 n. 快乐主义；快乐论
unbecoming	 adj. 不适当的，不相称的；不合身的，不得体的
garble	 v. 断章取义；歪曲；混淆 n. 断章取义；混淆；篡改
foolhardy	 adj. 有勇无谋的；蛮干的
elasticity	 n. 弹性；弹力；灵活性
ritual	 n. 仪式；惯例；礼制 adj. 仪式的；例行的；礼节性的
nickname	 n. 绰号；昵称 v. 给……取绰号；叫错名字
patter	 n. 行话；轻快脚步声；急速拍打声 v. 滴答地响；急速地说；发出急速轻拍声
pendulum	 n. 钟摆；摇锤；摇摆不定的事态
prudish	 adj. 装正经的；过分规矩的
introductory	 adj. 引导的，介绍的；开端的
divulge	 v. 泄露；暴露
enthusiastic	 adj. 热情的；热心的；狂热的
vigilant	 adj. 警惕的；警醒的；注意的；警戒的
foil	 v. 衬托；阻止，挡开；挫败；贴箔于 n. 箔，金属薄片；衬托，烘托；叶形片 abbr. 面向文件的翻译语言（file-Oriented interpretive language）
spinous	 adj. 刺状的；多刺的；尖尖的；难弄的
lassitude	 n. 疲乏；懒散；厌倦
lexicographer	 n. 词典编纂者
fervid	 adj. 热的；热心的
myriad	 adj. 无数的；种种的 n. 无数，极大数量；无数的人或物
infirmary	 n. 医务室；医院；养老院
empathetic	 adj. 移情作用的；同感的（等于empathic）
innovate	 v. 创新；改革；革新
grievous	 adj. 痛苦的；剧烈的
dishevel	 v. 使蓬乱；使头发凌乱；弄乱
neologism	 n. 新词；新义；新词的使用
grimy	 adj. 肮脏的，污秽的
aghast	 adj. 吓呆的，惊骇的；吃惊的
persuasive	 adj. 有说服力的；劝诱的，劝说的
side	 n. 方面；侧面；旁边 v. 支持；赞助；偏袒 adj. 旁的，侧的
tumult	 n. 骚动；骚乱；吵闹；激动
nocturnal	 adj. 夜的；夜曲的；夜间发生的
merriment	 n. 欢喜；嬉戏
parse	 v. 解析；从语法上分析 n. 从语法上分析；分列
stir	 n. 搅拌；轰动 v. 搅拌；激起；惹起
entrench	 v. 确立，牢固；用壕沟围住；挖掘
wizen	 vi. 枯萎；凋谢；干瘪 vt. 使凋谢；使枯萎；使干瘪 adj. 凋谢的；枯萎的
gratify	 v. 使满足；使满意，使高兴
burning	 adj. 燃烧的；强烈的；发热的 n. 燃烧 vi. 燃烧（burn的现在分词）
conspicuous	 adj. 显著的；显而易见的
subjugate	 v. 征服；使服从；克制
rupture	 n. 破裂；决裂；疝气 v. 破裂；发疝气
joggle	 v. 啮合；摇动，摇曳；轻摇 n. 啮合；轻摇，摇动；榫接
sequence	 n. [数][计] 序列；顺序；续发事件 v. 按顺序排好
remonstrance	 n. 抗议；规劝；谏书
informal	 adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
interact	 v. 互相影响；互相作用 n. 幕间剧；幕间休息
antedate	 v. 先于；前于 n. 比实际提前的日期
enchant	 v. 使迷惑；施魔法
precise	 adj. 精确的；明确的；严格的
arcade	 n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道 vt. 使有拱廊
melancholy	 adj. 忧郁的；使人悲伤的 n. 忧郁；悲哀；愁思
rowdy	 adj. 吵闹的；粗暴的 n. 粗暴的人；好吵闹的人
discreet	 adj. 谨慎的；小心的
glycogen	 n. 糖原；动物淀粉
hardihood	 n. 刚毅，大胆；厚颜；胆大无敌
refute	 v. 反驳，驳斥；驳倒
component	 adj. 组成的，构成的 n. 成分；组件；[电子] 元件
astound	 v. 使惊骇；使震惊
overthrow	 n. 推翻；倾覆；瓦解 v. 推翻；打倒；倾覆
perspective	 n. 观点；远景；透视图 adj. 透视的
ocular	 adj. 眼睛的；视觉的；目击的 n. [光] 目镜
quadrilateral	 n. 四边形 adj. 四边形的
enervate	 v. 使衰弱，使失去活力 adj. 衰弱的，无力的
assonance	 n. 类似的音，谐音；类韵
eminence	 n. 显赫；卓越；高处
rebut	 v. 反驳；揭露；拒绝 n. 驳回；提出反证
spectrum	 n. 光谱；频谱；范围；余象
pedagogue	 n. 教师，教员；卖弄学问者
impend	 v. 迫近；即将发生
utter	 v. 发出，表达；发射 adj. 完全的；彻底的；无条件的 n. (Utter)人名；(德、芬)乌特
unsavory	 adj. 难吃的；没有香味的；令人讨厌的
maple	 n. 枫树；淡棕色
discern	 v. 识别；领悟，认识
alderman	 n. 市议员；总督；市府参事；高级市政官
devalue	 v. 使贬值；降低…的价值
impunity	 n. 不受惩罚；无患；[法] 免罚
paradoxical	 adj. 矛盾的；诡论的；似非而是的
overflow	 v. 溢出；泛滥；充溢 n. 充满，洋溢；泛滥；超值；溢值
crude	 adj. 粗糙的；天然的，未加工的；粗鲁的 n. 原油；天然的物质
orator	 n. 演说者；演讲者；雄辩家；原告
compulsory	 adj. 义务的；必修的；被强制的 n. （花样滑冰、竞技体操等的）规定动作
chronicle	 n. 编年史，年代记；记录 v. 记录；把…载入编年史
disparate	 adj. 不同的；不相干的；全异的 n. 无法相比的东西
degradation	 n. 退化；降格，降级；堕落
scrutinize	 v. 细阅；作详细检查 n. 仔细或彻底检查
promotion	 n. 提升，[劳经] 晋升；推销，促销；促进；发扬，振兴
legitimate	 adj. 合法的；正当的；合理的；正统的 v. 使合法；认为正当（等于legitimize）
enact	 v. 颁布；制定法律；扮演；发生
benevolent	 adj. 仁慈的；慈善的；亲切的
landscape	 n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式 v. 对…做景观美化，给…做园林美化；从事庭园设计
analysis	 n. 分析；分解；验定
annuity	 n. 年金，养老金；年金保险；年金享受权
incubus	 n. 梦魇；沉重的负担
jurisprudence	 n. 法律体系；法学及其分支；法律知识；法院审判规程
timidity	 n. 胆怯，胆小；羞怯
asylum	 n. 庇护；收容所，救济院
oratory	 n. 雄辩；演讲术
ozone	 n. [化学] 臭氧；新鲜的空气
custodian	 n. 管理人；监护人；保管人
avidity	 n. 热望，贪欲；活动性
controversy	 n. 争论；论战；辩论
sequacious	 adj. 盲从的；合于逻辑的；缺乏独创性的
infection	 n. 感染；传染；影响；传染病
stubborn	 adj. 顽固的；顽强的；难处理的
primordial	 adj. 原始的；根本的；原生的
rankle	 v. 化脓；怨恨；发炎
mistrust	 v. 不信任；怀疑 n. 不信任；怀疑
palatable	 adj. 美味的，可口的；愉快的
felicitous	 adj. 恰当的；善于措辞的；幸福的
equilateral	 adj. 等边的；等面的 n. 等边形
surety	 n. 担保；保证；保证人
theoretical	 adj. 理论的；理论上的；假设的；推理的
annotate	 v. 注释；给…作注释或评注
replete	 adj. 充满的；装满的 n. [昆] 贮蜜蚁
chaste	 adj. 纯洁的；贞洁的；有道德的；朴素的 n. (Chaste)人名；(法)沙斯特
laudatory	 adj. 赞美的；赞赏的；称赞的
tenure	 n. 任期；占有 v. 授予…终身职位
colloquialism	 n. 白话，口语；口语体；方言用语
forgo	 v. 放弃；停止；对…断念
resplendent	 adj. 光辉的；华丽的
eternal	 adj. 永恒的；不朽的
suffuse	 v. 充满；弥漫
bereave	 v. 使……失去；使……孤寂
recessive	 adj. 隐性的；逆行的；后退的 n. 隐性性状
lobby	 n. 大厅；休息室；会客室；游说议员的团体 v. 对……进行游说
clockwise	 adv. 顺时针方向地 adj. 顺时针方向的
verify	 v. 核实；查证
sequent	 adj. 连续的；其次的；作为结果而产生的 n. 结果；相继发生的事
assonate	 v. （使）音相谐，（使）成为准押韵
involve	 v. 包含；牵涉；使陷于；潜心于
nuclei	 n. 核心，核子；原子核（nucleus的复数形式）
highlight	 v. 突出；强调；使显著；加亮 n. 最精彩的部分；最重要的事情；加亮区
singe	 v. 烧焦；烤焦 n. 烧焦；烤焦
sensor	 n. 传感器
grandiloquent	 adj. 夸张的；夸大的；大言不惭的
authenticity	 n. 真实性，确实性；可靠性
reagent	 n. [试剂] 试剂；反应物
fortify	 v. 加强；增强；（酒）的酒精含量；设防于
desperate	 adj. 不顾一切的；令人绝望的；极度渴望的
mechanics	 n. 力学（用作单数）；结构；技术；机械学（用作单数）
nullify	 v. 使无效，作废；取消
ambulate	 v. 走动；步行；移动
canto	 n. 篇；曲调；长诗的篇章
isolate	 v. 使隔离；使孤立；使绝缘 n. [生物] 隔离种群 adj. 隔离的；孤立的
diagnostic	 adj. 诊断的；特征的 n. 诊断法；诊断结论
expedite	 v. 加快；促进；发出 adj. 畅通的；迅速的；方便的
potentate	 n. 统治者，君主；有权势的人
ban	 v. 禁止，取缔 n. 禁令，禁忌
transfer	 n. 转让；转移；传递；过户 v. 转让；转学；换车
teem	 v. 大量出现；充满 n. (Teem)人名；(英)蒂姆
abscond	 v. 逃匿，潜逃；避债
prodigious	 adj. 惊人的，异常的，奇妙的；巨大的
predestine	 v. 注定
addle	 v. 使腐坏；使混乱 adj. 腐坏的；糊涂的，昏乱的
siege	 n. 围攻；包围；围城；不断袭击；长期努力 vt. 围攻；包围
pointer	 n. 指针；指示器；教鞭；暗示
vegetable	 n. 蔬菜；植物；植物人 adj. 蔬菜的；植物的
compensate	 v. 补偿，赔偿；抵消
tyro	 n. 新手，生手；初学者
gargantuan	 adj. 庞大的，巨大的
vicissitude	 n. 变迁；盛衰；变化无常；变迁兴衰
anemia	 n. 贫血；贫血症
obliterate	 v. 消灭；涂去；冲刷；忘掉
tropical	 adj. 热带的；热情的；酷热的
bulbous	 adj. 球根的；球根状的；由球根生长的（等于bulbaceous）
plea	 n. 恳求，请求；辩解，辩护；借口，托辞
vegetative	 adj. 植物的；植物人状态的，无所作为的；促使植物生长的；有生长力的
gossip	 n. 小道传闻；随笔；爱说长道短的人 v. 闲聊；传播流言蜚语
subscribe	 v. 订阅；捐款；认购；赞成；签署
anhydrous	 adj. 无水的
arbitrate	 v. 仲裁；公断
butt	 n. 屁股；烟头；笑柄；靶垛；粗大的一端 v. 以头抵撞；碰撞
bibulous	 adj. 吸水的；嗜酒的
hierarchy	 n. 层级；等级制度
pea	 n. 豌豆
impede	 v. 阻碍；妨碍；阻止
exceed	 v. 超过；胜过
legible	 adj. 清晰的；易读的；易辨认的
sedate	 adj. 安静的；沉着的 v. 给…服镇静剂
exclude	 v. 排除；排斥；拒绝接纳；逐出
archbishop	 n. 大主教；总教主
scuttle	 n. 天窗；煤桶；筐 v. 逃避；急促地跑
bestial	 adj. 兽性的，卑劣的；残忍的；野蛮的 n. 牛
bucolic	 adj. 牧歌的；牧羊的；乡下风味的 n. 田园诗；农夫
exhume	 v. 发掘；掘出 n. (Exhume)人名；(法)埃克叙姆
conceivable	 adj. 可能的；想得到的，可想像的
reasoning	 n. 推理；论证；评理 adj. 推理的 v. 推论；说服（reason的ing形式）
acquittal	 n. 赦免；无罪开释；履行；尽职；（债务等的）清偿
enthusiast	 n. 狂热者，热心家
sulfur	 v. 用硫磺处理 n. 硫磺；硫磺色
mellifluous	 adj. 流畅的；如蜜般的
force	 n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
petrify	 v. 石化；惊呆
linguistics	 n. 语言学
neology	 n. 新词；旧词新义（等于neologism）
onus	 n. 责任，义务；负担
misdeed	 n. 罪行；犯罪
ecosystem	 n. 生态系统
disinfect	 v. 将…消毒
glimmer	 n. 微光；闪光；少许 v. 闪烁；发微光
vegetation	 n. 植被；植物，草木；呆板单调的生活
remainder	 n. [数] 余数，残余；剩余物；其余的人 adj. 剩余的；吃剩的 v. 廉价出售；削价出售
affluent	 adj. 富裕的；丰富的；流畅的 n. 支流；富人
exact	 adj. 准确的，精密的；精确的 v. 要求；强求；急需
disseminate	 v. 宣传，传播；散布
fusion	 n. 融合；熔化；熔接；融合物；[物] 核聚变
rearrange	 v. 重新排列；重新整理
fastidious	 adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
subvert	 v. 颠覆；推翻；破坏
piteous	 adj. 可怜的；哀怨的；慈悲的
gloaming	 n. 黄昏；夕幕 v. 日落；天变黑（gloam的现在分词）
detach	 v. 分离；派遣；使超然
accredit	 v. 授权；信任；委派；归因于
addendum	 n. 附录，附件；补遗；附加物
miser	 n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
ashen	 adj. 灰色的；苍白的
unruly	 adj. 不守规矩的；任性的；难驾驭的
profligate	 adj. 放荡的，不检点的；恣意挥霍的 n. 放荡者；享乐者
notorious	 adj. 声名狼藉的，臭名昭著的
fertilization	 n. [农] 施肥；[胚] 受精；肥沃
larvae	 n. 幼虫；幼体（larva的复数形式）
animosity	 n. 憎恶，仇恨，敌意
profiteer	 v. 赚大钱；牟取暴利 n. [贸易] 奸商；牟取暴利的人
coddle	 v. 娇养；溺爱（等于mollycoddle）；用文火煮
discredit	 v. 不信；使……丢脸 n. 怀疑；无信用；名声的败坏
ambush	 n. 埋伏，伏击；伏兵 v. 埋伏，伏击
ribaldry	 n. 猥亵的话；粗俗下流的言语
digest	 v. 消化；吸收；融会贯通 n. 文摘；摘要
tribute	 n. 礼物；[税收] 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
braggart	 n. 吹嘘；好自夸者；大言者 adj. 吹牛的；自夸的
tolerate	 v. 忍受；默许；宽恕
path	 n. 道路；小路；轨道
macrophage	 n. [组织] 巨噬细胞
fugacious	 adj. 无常的；短暂的；易逃逸的
quantitative	 adj. 定量的；量的，数量的
pretentious	 adj. 自命不凡的；炫耀的；做作的
subordinate	 n. 下属，下级；部属，属下 adj. 从属的；次要的 v. 使……居下位；使……服从
vacuum	 n. 真空；空间；真空吸尘器 adj. 真空的；利用真空的；产生真空的 v. 用真空吸尘器清扫
promiscuous	 adj. 混杂的；杂乱的 adv. 偶然地；胡乱地
germination	 n. 发芽；发生；伟晶作用
despair	 n. 绝望；令人绝望的人或事 v. 绝望，丧失信心
avuncular	 adj. 伯父的；叔伯的；慈祥的
annual	 adj. 年度的；每年的 n. 年刊，年鉴；一年生植物
outlast	 v. 比…长久；从…中逃生
agreement	 n. 协议；同意，一致
inject	 v. 注入；注射
modify	 v. 修改，修饰；更改
finch	 n. 雀科鸣鸟；雀类
impregnable	 adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
halve	 v. 二等分；把……减半 n. (Halve)人名；(芬)哈尔韦
illuminate	 v. 阐明，说明；照亮；使灿烂；用灯装饰
treachery	 n. 背叛；变节；背叛行为
enrage	 v. 激怒；使暴怒
spore	 n. 孢子 vi. 长孢子
competitive	 adj. 竞争的；比赛的；求胜心切的
appraise	 v. 评价，鉴定；估价
energy	 n. [物] 能量；精力；活力；精神
residential	 adj. 住宅的；与居住有关的
exterior	 adj. 外部的；表面的；外在的 n. 外部；表面；外型；外貌
glorious	 adj. 光荣的；辉煌的；极好的
parch	 v. 烤，烘；使干透
deluge	 n. 洪水；泛滥；暴雨 v. 使泛滥；压倒
temerity	 n. 鲁莽，冒失；蛮勇
meritorious	 adj. 有功绩的；有价值的；值得称赞的
vaccinate	 v. 接种疫苗 n. 被接种牛痘者
quantity	 n. 量，数量；大量；总量
nominee	 n. 被任命者；被提名的人；代名人
convergence	 n. [数] 收敛；会聚，集合
impeccable	 adj. 无瑕疵的；没有缺点的
