abruptly	 adv. 突然地
groundsheet	 n. 防潮布
geographic	 adj. 地理的
diplomatic	 adj. 外交的
judgement	 n. 判断，决定
private	 adj. 私人的
cozy	 adj. 舒适的
mill	 n. 工厂
enable	 v. 使能够……
laborious	 adj. 费力的
delight	 n. 高兴
scale	 n. 规模，比例
amusing	 adj. 有趣的，好玩儿的
panic	 adj. 恐慌的
consciousness	 n. 意识
statistics	 n. 统计学；数据
bride	 n. 新娘
absent	 adj. 缺席的
annoy	 v. 使反感，厌烦
insist	 v. 主张，坚持
forefinger	 n. 食指
bow	 v. 鞠躬
gesture	 n. 手势，姿势
harvest	 n. 丰收，收获
sticky	 adj. 粘的
resistance	 n. 抵制, 抵抗力
bacteria	 n. 细菌
particle	 n. 微粒
gum	 n. 牙龈
resemble	 v. 像，相似
trace	 n. 痕迹
discrimination	 n. 歧视
pointless	 adj. 无意义的
rental	 n. 租
indifferent	 adj. 冷漠的
reflect	 v. 反映
liberation	 n. 解放
option	 n. 选择
initially	 adv. 最初，起初
attribute	 v. 归因于
accelerate	 v. 加速
sphere	 n. 球体, 范围
widespread	 adj. 普遍的，广泛的
transform	 v. 改变
immeasurable	 adj. 无法估量的
contaminate	 v. 污染，弄脏
territory	 n. 领土，领域
virtual	 adj. 虚拟的
invariably	 adv. 不变地，一直
long	 v. 渴望
welfare	 n. 福利
lessen	 v. 减少
unrest	 n. 不安定，动荡
authoritative	 adj. 权威的
neutral	 adj. 中立的
racially	 adv. 种族上地
disappointing	 adj. 令人失望的
plant	 n. 工厂
inspector	 n. 检查员
headquarter	 v. 设立总部，在…设立总部
worldwide	 adv. 全世界范围地
council	 n. 议会
clue	 n. 线索
cheat	 v. 欺骗, 作弊
insult	 v. 侮辱
distress	 v. 使痛苦，悲痛
discourage	 v. 使气馁, 阻碍
prosper	 v. 繁荣
retain	 v. 保留,留用
contest	 n. 比赛
proposal	 n. 提议
combination	 n. 联合，结合
promotional	 adj. 促销的
smooth	 adj. 光滑的
intense	 adj. 强烈的
irregular	 adj. 不规律的
incidence	 n. 几率，发生率
shade	 n. 阴凉处
pension	 n. 养老金
deepen	 v. 使加深，加剧
complement	 v. 补充
squeeze	 v. 压，榨
civilization	 n. 文明
extraordinary	 adj. 非凡的
poisonous	 adj. 有毒的，有害的
recycle	 v. 循环，再利用
inquire	 v. 询问
mask	 v. 掩饰
symptom	 n. 症状
plague	 v. 使困扰
twist	 v. 扭曲，使弯曲
terminal	 n. 终点站，航空站
passively	 adv. 消极地
outcome	 n. 结果
signature	 n. 签名
task	 n. 任务，工作
convincing	 adj. 令人信服的
downsize	 v. 裁员
foreseeable	 adj. 可以预见的
status	 n. 地位
preferentially	 adv. 优先地
source	 n. 来源
riot	 n. 暴乱
grain	 n. 谷物，粮食
retailer	 n. 零售商
amaze	 v. 使吃惊
origin	 n. 起源
commencement	 n. 毕业典礼
innovate	 v. 创新，革新
hit	 n. 成功, 打击
crucial	 adj. 至关重要的
breakthrough	 n. 突破
exile	 n. 流放，放逐
element	 n. 元素，要素
interpretation	 n. 阐释，说明
accustom	 v. 使习惯
superficial	 adj. 肤浅的
respectively	 adv. 各自地
fundamentally	 adv. 根本上
cruelty	 n. 残暴，残酷
govern	 v. 管理，支配
hinder	 v. 阻碍
undervalue	 v. 低估
evaluation	 n. 评价，评估
define	 v. 下定义，确定
backslide	 n & v. 倒退，退步
offense	 n. 过错，犯罪
convict	 v. 证明…有罪
marginalize	 v. 边缘化，排斥
desert	 v. 抛弃
sentence	 v & n. 判决
reserve	 v. 留出，预定
penalty	 n. 惩罚
logically	 adv. 合乎情理地，符合逻辑地
abundant	 adj. 大量的，丰富的
overstate	 v. 夸张，夸大
snack	 n. 零食，小吃
via	 prep. 通过
fade	 v. 逐渐消失
resistant	 adj. 抵抗的，抵制的
theory	 n. 理论
protest	 v. 抗议
reject	 v. 拒绝，驳回
flaw	 n. 缺点，错误
seemingly	 adv. 表面上看
objection	 n. 反对
fancy	 adj. 华丽的，别致的
hub	 n. 中心
incomparable	 adj. 无比的，无可匹敌的
incentive	 n. 动机，刺激
startup	 n. 启动，开办
reproduce	 v. 复制, 再生
distinct	 adj. 明显的；有区别的
stake	 n. 风险
moral	 adj. 精神上的, 道德的
opponent	 n. 对手
explicitly	 adv. 直接地，明确地
rival	 n. 对手
confrontation	 n. 冲突，对抗
stale	 adj. 乏味的，没有新意的
reinforce	 v. 加强，强化
ring	 n. 拳击台
attendance	 n. 出席，到场
flow	 n&v. 流动
mood	 n. 心情
mutually	 adv. 互相地
review	 n&v. 回顾；复习
elegant	 adj. 优雅的
hospitable	 adj. 热情友好的
constitute	 v. 组成
programmer	 n. 程序设计员
sophisticated	 adj. 复杂的；世故的
ignorant	 adj. 无知的
imitate	 v. 模仿
trigger	 v. 引发，引起
code	 n. 代码，密码
investigate	 v. 调查
outgoing	 adj. 开朗的；外出的
evolution	 n. 演变，进化
resourceful	 adj. 机智的；资源丰富的
myth	 n. 神话
legend	 n. 传奇
philosopher	 n. 哲学家
concrete	 adj. 具体的
emerge	 v. 出现
stir	 v. 搅动；煽动，激起
senior	 n. 老年人
nutritious	 adj. 营养的
expert	 adj. 熟练的，内行的
carpenter	 n. 木匠
dampen	 v. 抑制
grant	 v. 授予；允许
security	 n. 安全，安保
steep	 adj. 急剧升/降的；陡峭的
implementation	 n. 实现，履行
weaken	 v. 减少，减弱
puzzle	 n&v. 迷惑
memorize	 v. 熟记，牢记
cater	 v. 迎合
