abandon	 v. 离弃；放弃
rotate	 v. 旋转，轮流
rough	 adj. 不平的；粗鲁的，粗略的；刺耳的
rouse	 vt&vi. 唤醒，唤起；激励；激起
routine	 n. 例行公事，惯例，常规
rub	 n&v. 摩擦
ruffle	 vt&vi. 扰乱，打扰
ruinous	 adj. 毁灭性的，破坏性的
section	 n. 部分，零件；剖面，横断面，阶层
sectional	 adj. 各部分组成的，各阶层或不同部分的
sector	 n. 战区，防区；(工业等)部门，部分
secular	 adj. 现世的，世俗的；非宗教的
sediment	 n. 沉积物，沉淀
seemingly	 adv. 好像；似乎
seep	 v. 液体渗出
segment	 n. 切片，部分；段，节
segregate	 v. 隔开；分离
seismic	 adj. 地震的，地震强度的
semblance	 n. 外貌，外表
sensible	 adj. 可感觉的；明智的
sensitive	 adj. 敏感的；过敏的，容易生气的；仪器灵敏的
sentiment	 n. 思想感情；情操；情绪
septic	 adj. 使腐败的
sequence	 n. (事件、观念等的)系列；顺序；关联
series	 n. 连续，系列
session	 n. 开庭，开庭期；集会；学期
set	 v. (日，月)落，vt放
skim	 v. 浏览，略读；掠过，抹去
skip	 v&n. 跳；遗漏
slab	 n. (石材、木材)板，片
slack	 adj. 懈怠的；萧条的；呆滞的；松驰的；不紧的
slag	 n. 矿渣，炉渣，熔渣
slam	 v&n. 砰地关上；猛击
slander	 n&vt. 诽谤，污蔑
slap	 v. 拍 ，掌击
slate	 n. 板岩，石板
slaughter	 n&vt. 屠杀，屠宰
slender	 adj. 细长的，苗条的；纤弱的，微小的，微薄的
slice	 n. 片，部分 v. 切片
slide	 n. 滑；幻灯片 v. 滑动
slight	 adj. 细长的，轻微的 v. 轻视，怠慢
slippery	 adj. 表面光滑的，(人)不老实的，不可靠的
slim	 adj. 细长的；苗条的
slip	 n&v. 滑，失误
slit	 n. 狭长的切口；裂缝 v. 切开，撕裂
slogan	 n. 标语，口号
slope	 n. 斜线，斜度；倾斜面，斜坡
slot	 n. 狭缝；槽沟
sluggish	 adj. 不活泼的，呆滞的
slum	 n. 平民窟; 陋巷
sporadic	 adj. 偶而发生的
spotlight	 n. 聚光灯 v. 聚光照明，使显著
spouse	 n. (法律)配偶
sprawl	 v. 植物蔓生；城市无计划扩张
spray	 vt&n. 水花；飞沫；喷射
spring	 v&n. 跳，发芽 n. 春季；泉；弹簧
sprint	 v. 全速奔跑，冲刺
sprout	 vt&vi. 发芽，开始生长；发展
spur	 n&v. 刺激；鞭策
square	 adj. 正方形的；直角的 n. 正方形,广场,平方"
squeeze	 vt&vi. 榨，挤
stabilize	 v. 使稳定，使坚固，使安定
stack	 n. 堆；大量；书库
stadium	 n. 露天运动场
staff	 n. 木棍；杆；工作人员
stagger	 v&n. 摇晃；蹒跚
stagnant	 adj. 不流动的；不变的，不景气的
stain	 n&v. 染料，着色剂，污点，沾污处
stake	 n. 木桩；赌注；利害关系
stale	 adj. 食品不新鲜的；陈旧的
stall	 n. 分隔栏；售货摊；前排座位
stand	 n&v. 架；看台；站；立；处于；忍受
stroke	 n. 击；划；一笔；中风
structural	 adj. 结构的，构造的
stubborn	 adj. 顽固的，坚定的
studio	 n. 工作室；摄影棚；播音室
stuff	 n. 原料，材料；素质；东西 v. 把装满
stuffing	 n. 填料，填充物，填充剂
stumble	 v. 绊跌，绊倒；结结巴巴说话
stuntman	 n. 替身演员
sturdy	 adj. 强健的，坚实的
style	 n. 风格；文体；式样
subdue	 v. 使屈服、征服，克制；使柔和，使安静
subject	 n. 国民；主题 adj. 隶属的，受支配的 v. 征服
subjective	 adj. 主观的
submarine	 adj. 水下的 n. 潜水艇
submerge	 v. 放于水下；使沉没
submit	 v. (使)服从；提交
subordinate	 adj. 下级的，次要的,从属的 n. 部下，下级职员
subscribe	 vt&vi. 捐款，捐助；订阅；同意，赞成
subsequent	 adj. 接着的，然后的
subside	 v. 洪水退落；土地下沉；建筑物沉降
subsidiary	 adj. 辅助的；附属的 n. 子公司，附属机构
subsidy	 n. 补助金；津贴费
symposium	 n. 专题论文集，讨论会
symptom	 n. 症状，症候，征兆
synchronize	 v. 使同时发生，使同步发生
synonym	 n. 同义词
synthesis	 n. 合成法；综合，合成物
synthetic	 adj. 人工合成的
systematic	 adj. 有系统的，系统的；有计划有步骤的
tablet	 n. 碑，书板；药片
taboo	 n. (宗教迷信)禁忌 adj. 禁忌的，禁止的
tacit	 adj. 心照不宣的
tackle	 vt&vi. 处理，对付；抓住
tactic	 n. 策略；战术
tag	 n. 标签
take	 vt&vi. 紧跟，尾随
thermal	 adj. 热的；热量的
thermometer	 n. 温度计
thermostat	 n. 恒温器
thesaurus	 n. 词典，同类词汇编
thesis	 n. (学位)论文
thigh	 n. 大腿，股
thirst	 vt&n. 渴；渴望
thorn	 n. 刺，荆棘
thorough	 adj. 彻底的；详尽的
thoughtful	 adj. 深思的，关心的
threshold	 n. 门槛；开始；开端，入门
thrill	 n&v. 激动；震颤
thrive	 v. 兴旺，繁荣
throat	 n. 咽喉，嗓子
throbbing	 adj. 跳动的，悸动的
throng	 n. 人群，群众 v. 拥挤，群集
throughout	 prep. 遍及
thrust	 n. 猛推；冲锋，突击；推力
thumb	 n. 大拇指
thunder	 n. 雷，雷声；轰隆声
tick	 n. (钟表)滴答声；一刹那 v. 用勾作为记号
tide	 n. 潮汐，(舆论，公众情绪)潮流趋势
translucent	 adj. 透明的，半透明的
transmission	 n. 传递，播送电视节目；汽车传动系统
transparent	 adj. 透明的
transplant	 n&v. 移植，移种；人工移植(心,胃)；迁移 "
transport	 n. 运输 v. 运输
trap	 n. 陷阱；圈套；双轮轻便马车
trauma	 n. 损伤，精神创伤
traverse	 v. 横越，穿过
treatise	 n. 专题论文
treatment	 n. 对待，待遇；处理，治疗
treaty	 n. 条约；协定
treble	 adj. 三倍(重)的
trek	 v. 长途跋涉；旅行
tremble	 vi&n. 发抖，震颤
tremendous	 adj. 巨大的，极大的；非常的，极好的
trench	 n. 地沟
trend	 n. 倾向，趋势
trespass	 v. 非法侵入；侵夺，侵占
trial	 n. 试验；试用；审讯，受审
triangle	 n. 三角，三角形；三角关系
tributary	 n&a. 支流(的)
trick	 n. 诡计；恶作剧；技艺
trickle	 v&n. (使)滴流，(使)细流
unravel	 v. 拆散(线团)；解决
unrest	 n. 不安；动荡
untold	 adj. 数不清的，无数的
upbringing	 n. 抚育，抚养；教养
update	 v. 使现代化；使靠最近
uphold	 v. 支持；赞成；确认
upkeep	 n. 保养费，维修费
upright	 adj. 垂直的，直立的；正直的
uprising	 n. 叛乱
upset	 v&n. 倾覆，打乱
utility	 n. 有用，实用；公用事业(煤气，水电)
utmost	 adj. 最远的，最大的，极度的
utterly	 adv. 完全地，十足地
vacant	 adj. 空的；未被占用的；空虚的，无表情的
vacation	 n. 假期;休庭期;腾空
vacuum	 n. 真空
vain	 adj. 徒劳的，无效果的；自负的；不尊敬的
validity	 n. 有效，正当
valuation	 n. 定价，估价；评定的价值
valley	 n. 深谷，山谷
valve	 n. 阀，活门
wail	 v. vi大声哀号，恸哭；呼啸，尖啸
wander	 v. 漫游；迷路；离题
wane	 v. 月亮变小，月亏；衰退
ward	 n. (房屋中的)隔间；(尤指)病房
warden	 n. 管理员，监护人
wardrobe	 n. 衣柜，衣橱，全部服装；剧服，行头
warehouse	 n. 仓库
warranty	 n. 书面担保书，保证书
wary	 adj. 谨慎的，小心的
waver	 v. 摆，摇晃；动摇；犹豫不决
wax	 n. 蜡，蜂蜡 v. 上蜡
weary	 adj. 疲倦的，困乏的；令人厌倦的
weave	 vt&vi. 织，编；编排；迂回
web	 n. 网
wedge	 n. 楔子，楔形物 v. 挤进；把楔住
weed	 vt&vi. 除草；除去，剔除
weird	 adj. 怪诞的；离奇的，古怪的；超自然的
weld	 v&n. 焊接熔接
welfare	 n. 幸福，福利；社会保障
whatever	 adj. 任何的，无论什么样的
whereas	 conj. 鉴于；反之
accord	 n. 一致，符合
account	 n. 账目；帐户；计算 v. 说明
accountable	 adj. for 对. 应付责任
accountant	 n. 会计员
accumulate	 n. 积累，积聚
accuse	 v. 控告
achieve	 v. 完成，达到
acid	 adj. 酸的；尖刻的 n. 酸
acknowledge	 v. 承认；表示收到信件，表示感谢
acquaint	 v. 使认识；使熟悉
acquire	 v. 取得；获得
acquisition	 n. 获得，获得物
activate	 v. 使活动，触发
allege	 v. 断言；宣称
allegiance	 n. 忠诚
alleviate	 v. 减轻(痛苦等)
alliance	 n. 联盟，同盟
allocate	 v. 分配，配给
allot	 v. 分配；拨给 n. 部分；小块菜地
allowance	 n. 津贴
alloy	 n. 合金
ally	 n&vt. 同盟者，伙伴；结盟
alone	 a&ad. 孤独的(地)
alongside	 ad&prep. 在旁，靠近
alphabetical	 adj. 按字母表顺序的
alter	 v. 改变，改做
alternate	 adj. 交替的，轮流的 v. 轮流交替，交替
alternative	 n. 两者选一 adj. 可供选择的；可供替代的
altitude	 n. (海拔)高度
amateur	 n&a. 业余爱好者(的)
amaze	 v. 使惊奇
aquarium	 n. 水族馆；养鱼池
aquatic	 adj. 水产的；(运行)水上的
arbitrary	 adj. 任性的，专断的
arc	 n. 弧
arch	 n. 拱 v. 拱起
archaic	 adj. (语言、词汇等)古代的，已不通用的
architect	 n. 建筑师；设计师
archives	 n. (pl)档案室
arctic	 adj. 北极的 n. 北极
ardent	 adj. 热心的；热情的
arduous	 adj. 艰巨的，艰苦的
arena	 n. 竞技场，比赛场所
argue	 v. 不同意；辩论
arise	 v. 发生；起来；出现
armour	 n. 盔甲；装甲部队
arouse	 v. 唤醒；唤起
array	 n. 展示；一系列
arrogant	 adj. 傲慢的，自负的
artery	 n. 动脉，干线
artillery	 n. 火炮，干线
article	 n. 物品；文章；条款；[语]冠词
avalanche	 n. 雪崩；大量涌来
avert	 v. 避开，防止
aviation	 n. 航空(学)
avoid	 v. 避免，逃避
aware	 adj. 知道的，意识的
awful	 adj. 可怕的；糟糕的；极度的
awkward	 adj. 难使用的，笨拙的；尴尬的
axis	 n. (plaxes)轴，轴心
candidate	 n. 候选人；应试人
cane	 n. 手杖，茎；甘蔗
cannon	 n. 大炮 v. 开炮
canteen	 n. 食堂；小卖部；餐具箱；水壶
canvas	 n. 粗帆布；油画布
capacity	 n. 容量；容积；理解力；地位；资格
cape	 n. 岬；海角
capital	 n. 资本，大写字母；首都 adj. 可处死刑的
capsule	 n. 荚；装一剂药的小囊；密封舱
caption	 n. 报纸文章的标题；照片说明
captive	 n&a. 俘虏，迷恋者；被俘虏的，被拴住的
capture	 vt&n. 捕获，俘虏，夺得；战利品
cardinal	 adj. 主要的，基本的 n. 深红色；基数
chart	 n. 海图；图表
charter	 n&v. 特许状，凭照，宪章；租赁 v. 特许
chase	 v&n. 追逐，追赶
chasm	 n. 断层，裂口；巨大分歧，差别
chaste	 adj. 有道德的；善良的；贞洁的；简朴的
chat	 n&v. 闲谈; 聊天
check	 v&n. 检查，核对，控制
checkup	 n. 检查，体格检查
cheer	 n&v. 振奋，高兴，欢呼
cherish	 v. 爱护，抱有(希望)；怀有(情感)
chew	 v&n. 嚼；咀嚼
chic	 n&a. 漂亮(的)，时式(的)
chief	 n. 领袖，部门主任 adj. 主要的，首席的
chill	 n&a&v. 寒冷，扫兴的，(使)感冒
chin	 n. 下巴，颏
chip	 n. 片屑，薄片；集成电路 v. 削,铲,形成缺口"
chisel	 n&vt. 凿子，錾子；凿，雕
choir	 n. (教会的)歌唱队，唱诗班
choke	 v. 闷塞，压抑，闷死
colonial	 adj. 殖民地的，关于殖民的 n. 殖民地居民
colony	 n. 殖民地；侨民
colossal	 adj. 庞大的
column	 n. 柱; 柱状物；书报上的栏；纵列
combat	 n&vt. 战斗，搏斗
combine	 v. 联合；连结 n. 集团，联合企业
combustible	 adj. 易燃的，可燃的 n. 易燃物，可燃物
come	 v. 来，达到；开始；出现；成为
concession	 n. 让步，让与物
concise	 adj. 简明的，简要的
concoct	 v. 调合；编造(故事等)
concrete	 n. 混凝土 adj. 有形的；具体的 v. 浇混凝土于
condemn	 v. 谴责，迫使；判刑；宣告(建筑)不宜使用
condense	 v. 浓缩；冷凝；精简
condition	 n. 条件，状况，环境 v. 决定；支配；训练
condolence	 n. 吊唁，慰问；吊慰
conducive	 adj. 有助于的；有益于的
confer	 v. 授予(称号，学位等)；协商
confess	 v. 承认；向祖父忏悔
confidence	 n. 信任，信心，自信 adj. 骗得信任的
confident	 adj. 确信的，有把握的
confidential	 adj. 机密的；信任的
configuration	 n. 配置，布局；构造
confine	 v. 限制，禁闭
confirm	 v. (权力)使巩固；认可(任命)
conflict	 n. 战斗；斗争；意见(分歧)
conform	 v. 遵从，符合
confront	 v. 使面对；面临
convention	 n. 会议，协定；惯例；习俗
converge	 v. 会聚，集中
conversely	 adv. 相反地，逆地
conversion	 n. 变换，转化，改变；兑换
convert	 v. 转变，兑换；使改变信仰
convey	 v. 传达；运送；转达
convict	 v. 证明有罪 n. 罪犯
conviction	 n. 定罪；深信
convince	 v. 使信服
cooperate	 v. 合作，协作
coordinate	 v. 使协调
cordial	 adj. 热诚的，衷心的
cork	 n. 软木 adj. 软木制的 v. 塞住，抑制
corporate	 adj. 社团的；法人的；共同的
corporation	 n. 市镇自治机关；法人；公司
corpse	 n. 尸体；被废弃的东西
corps	 n. 技术兵种；军团
correlate	 v. (使)相关联
correspond	 v. 符合，通信，相当于
correspondence	 n. 通信；符合
correspondent	 n. 记者，通信者
cunning	 n&a. 狡猾(的)，精巧(的)
cupboard	 n. 碗橱
curb	 n&v. 勒马的皮带；控制，约束
cure	 v. 治愈；加工处理 n. 治愈，疗法；对策
curl	 n. 卷毛；卷发 v. 使卷曲
currency	 n. 通用，流通，货币
current	 adj. 当前的；通用的；流行的 n. 水流；气流
curriculum	 n. 学校的课程
curse	 n. 诅咒，祸因，骂人话 v. 咒骂，被所苦
curtail	 v. 截短，削减
curve	 n. 曲线 v. 弄弯, n. 成曲线
cushion	 n. 垫子，坐垫，垫状物 v. 装垫子；缓冲
custodian	 n. 保管人，监护人；公共建筑看守
custom	 n. 习俗，惯例；光顾；海关
customary	 adj. 通常的；惯例的
cut	 v. 割，切，剪，砍，削；离开；(线条)相交
cute	 adj. 漂亮的，逗人喜爱的
delectable	 adj. 使人愉快的；美味的
delegate	 v. 委派为代表，授权 n. 代表
delete	 v. 删除文字，擦去(字迹)
deliberate	 adj. 故意的，从容的 v. 仔细考虑
delicate	 adj. 细软的 柔嫩的 精美的 微妙的 难办的
delicious	 adj. 美味的；可口的
delinquency	 n. 过失，为非作歹，失职
delirium	 n. 神智昏迷，说胡话；极度兴奋
deliver	 v. 投递，解救；发表；接生
delude	 v. 欺骗；哄骗
deluge	 n&vt. 洪水，暴雨；使泛滥
democracy	 n. 民主，民主政体，民主社会
demolish	 v. 拆毁；废除；驳倒
demonstrate	 v. 论证，证明；示威
denial	 n. 拒绝，否认，否定
denomination	 n. 命名 取名 单位
denote	 v. 是的符号，提示，表示
denounce	 v. 谴责，斥责
dense	 adj. 浓密的，密集的；愚笨的
digest	 v. 消化；领会，融会贯通 n. 文摘，摘要
digital	 adj. 数字的，计数的
dignity	 n. 高贵，尊贵，高位
dilapidated	 adj. 破旧的，坍坏的
dilate	 v. 使膨胀，扩大
dilemma	 n. 进退两难的境地，困境
diligent	 adj. 勤奋的
dilute	 v. 使变淡，稀释 adj. 稀释的
dim	 adj. 暗的，看不清楚的，迟钝的 v. 变暗淡
dimension	 n. 尺寸，尺度，大小
diminish	 v. 减少，减小，缩小
din	 n&v. 喧闹，嘈杂
dine	 v. 吃饭，进餐
dingy	 adj. 脏的，邋遢的
dip	 n&v. 蘸湿；斜坡；短时间游泳
diploma	 n. 毕业证书，文凭
diplomat	 n. 外交家
diplomatic	 adj. 外交的；外交手腕的
directory	 n. 名录
disable	 v. 使无能力，使伤残
disarray	 n&vt. 弄乱，扰乱
disaster	 n. 灾难，祸患
disc	 n. 圆盘，圆面，磁盘；椎间盘
downpour	 n. 倾盆大雨
downtown	 a&ad. 在城市的商业区
doze	 vi&n. 打盹儿，小睡
draft	 n. 草稿；汇票；征兵 v. 起草；征兵
drain	 v. 排水，耗尽 n. 排水管，排水沟；消耗
drainage	 n. 排水系统，下水道，排水
dramatic	 adj. 戏剧性的，戏剧的
drastic	 adj. 激烈的，猛烈的
drawback	 n. 障碍；不利
dread	 n&v. 畏惧；恐惧
dreadful	 adj. 令人担心的，遭透的
dreary	 adj. 沉闷的，阴沉的
drench	 v. 使淋透，使湿透
drift	 v. 漂流，流浪 n. 漂流，漂流物，趋势
drill	 n. 钻，钻头，操练，练习 v. 钻孔，操练
drought	 n. 干旱
drown	 v. 淹死，(高声音)遮掩(低声音)
drowse	 v&n. 瞌睡
drudgery	 n. 苦工，重活，单调乏味的工作
dual	 adj. 二重的，双的
dub	 v. (以某种称号)授予；给起绰号；复制
dubious	 adj. 半信半疑的
due	 adj. 应支付的，正当的，预定应到的(to)，由于
enclose	 v. 把围起来，把封入信封
enclosure	 n. 围栏；附件
encounter	 vt&n. 遭遇，意外地遇到
encyclopedia	 n. 百科全书
end	 n&v. 末端，尽头，结束
endeavor	 n&vi. 努力，力图
endorse	 v. 背书，签署(姓名)，赞同
endow	 v. 捐款，资助
endurance	 n. 忍耐力，忍耐
energetic	 adj. 精力充沛的；精力旺盛的
enforce	 v. 强迫服从；实施；加强
engage	 v. 雇用；从事；订婚；吸引；啮合
engagement	 n. 订婚；约会，交战
engrave	 v. 刻上；铭记
engross	 v. 占用；吸引
enhance	 v. 提高(强度、力量、数量等)，增加(进)
enlighten	 v. 启发，开导
excavate	 v. 挖掘，挖出
exceed	 v. 比大，超出
exceedingly	 "ad. 非常, 极端地"
excel	 v. 杰出，胜过，优于
exceptional	 adj. 异常的，优越的
excerpt	 n. 摘录，节录
excess	 n. 超越；超过；暴行 adj. 额外的，附加的
exchange	 v&n. 交换；兑换
exclaim	 v. 呼叫，惊叫
exclude	 v. 把某人排除在外，排除(可能性等)
exclusive	 adj. 孤傲的；不愿吸收新会员的；索价高昂的
exclusively	 adv. 专门地，排除其他地
excrement	 n. 排泄物，粪便
excursion	 n. 远足，短途旅行
execute	 v. 实行，贯彻，实施；处死；演奏
execution	 n. 演奏技巧；死刑
executive	 adj. 执行的，行政的 n. 行政部门，行政人员
exemplify	 v. 举例说明，作为的例证
exempt	 vt&a. 免除，被豁免的
exert	 v. 发挥，行使，尽力
exhaust	 n. 排气 v. 抽空，汲光
exhilarate	 v. 使振奋，使高兴
exhort	 v. 劝告
falter	 v. 蹒跚；声音发抖；支吾
fame	 n. 名声，名誉
familiar	 adj. 熟悉的，通晓的；亲密的，常见的
famine	 n. 饥荒
fanatic	 a&n. 狂热的，狂热者
fancy	 adj. 颜色鲜艳的;奇特的n&v想象力,设想,爱好
fantastic	 adj. 奇异的；荒谬的，极好的
fantasy	 n. 幻想，怪念头
fare	 n. 车(船)费
farewell	 lint&n&a. 再见；临别的，告别的
fascinate	 v. 使神魂颠倒，迷住
fascinating	 adj. 迷人的
fastidious	 adj. 难讨好的，爱挑剔的
fatal	 adj. 致命的，命运的，注定的
fatigue	 n&vt. 疲劳，(金属)疲劳，杂役
fatuous	 adj. 愚昧的；蠢的
fault	 n. 缺点；毛病，过错；(地质)断层
favour	 n&vt. 好感，赞成，偏爱
in	 prep. favour of赞成，以. 为收款人
fluid	 n. 流体 adj. 流动的，不固定的
flush	 n. 奔流，兴奋，激动 adj. 齐平的；富有的
flutter	 v&n. 振翼，颤动，(心脏)不规则跳动
flux	 n. 流动；流
flyover	 n. 公路上的陆桥
foam	 n. 泡沫
focus	 n&v. 焦点，集中
foil	 n. 金属薄片；陪衬物；钝头剑
forecast	 vt&n. 预测，预报
foremost	 a&ad. 最重要的(地)，第一流的(地)
forerunner	 n. 前征，先驱
foresee	 v. 预见，预知
forfeit	 vt&n. 没收，丧失(物)
forge	 n. 锻工车间，铁匠店 v. 锻造，伪造
forgive	 v. 原谅，宽恕
format	 n. 格式，版式；形式，方式
formidable	 adj. 可怕的，难以对付的
formula	 n. 俗套话；公式，程式
formulate	 v. 精确地表达；制订；用公式表示
fort	 n. 要塞; 堡垒
forte	 n. 长处，特长
forthcoming	 adj. 即将出现的；现有的
genuine	 adj. 真正的，名副其实的
geology	 n. 地质学；地质
geometry	 n. 几何学
germ	 n. 幼芽；起源；微生物
gesture	 n&vi. 姿势，手势；表示
get	 v. 使得，使成为某种状态，开始起来
gorgeous	 adj. 华丽的，灿烂的；宜人的；可喜的
gossip	 n. 流言蜚语；报上社会新闻；爱传流言的人
gown	 n. 长袍；长外衣
grab	 v&n. 掠夺, 攫取, 抓取"
grace	 n. 恩惠；优美；善意；饭前后祷告 v. 使优美
gracious	 adj. 亲切的，和善的；任慈的
gradual	 adj. 逐渐的，不陡的
granary	 n. 谷仓，粮仓
grand	 adj. 最重大的；豪华的；傲慢的；美妙的
grant	 v. 同意给予，授予，承认 n. 拨款；补助款
granular	 adj. 颗粒状的，细粒的
graph	 n. 曲线图，图表
graphic	 adj. 图解的；书写的；生动的
grate	 n. 火炉，炉格 v. 擦碎，磨碎；擦响
gratitude	 adj. 感激，感恩
gratuity	 n. 退职金；小账，小费
grave	 adj. 严重的 n. 墓
gravel	 n. 沙砾，碎石
gravity	 n. 地球引力；重量；严重性
graze	 v. (牲畜)吃草；放牧；擦过(牲畜)n擦伤
headstrong	 adj. 任性的；顽固的
heal	 v. 治愈；和解
heap	 n&vt. 堆；一堆；堆积；许多，大量；装载
hearing	 n. 听力，听力所及距离，被听到机会；审讯
heart	 n. 心脏；感情；内心
heave	 v. 用力举起；说出；掷扔 n. 举，拉，扔
hectic	 adj. 闹哄哄的，兴奋的
hedge	 n&v. 围树篱；障碍；躲闪；推诿
heighten	 v. 加高，提高；增大
heir	 n. 继承人
helicopter	 n. 直升飞机
hell	 n. 地狱；阴间；苦境
hemisphere	 n. 半球，(地球的)半球
hence	 adv. 从此地，从此时，因此
henceforth	 adv. 同义于 henceforward今后
herb	 n. 草本植物;药草
herd	 n. 兽群，牧口群，牧人 v. 把赶到一起
idle	 adj. 闲着的，空闲的；懒的；无根据的 v. 虚度
ignite	 v. 点燃，使燃烧
ignorance	 n. 无知，愚昧
illiterate	 n&a. 文盲(的)
illuminate	 v. 照亮；用灯装饰；阐明
illusion	 n. 幻象，错觉
illustrate	 v. 举例或以图表说明，配以插图
imaginative	 adj. 想象的，有想象力的
imitate	 v. 模仿，模拟，看似
imitation	 n. 模仿，仿造，仿制品，人造
immense	 adj. 广大的，巨大的
immerse	 v. 沉浸，沉浸于
immigrant	 n. 移民，侨民
imminent	 adj. 迫近的，紧迫的
immune	 adj. 免除的；安全的，不受影响的
impact	 n. 碰撞，撞击，撞击力
impair	 v. 损害，削弱
impart	 v. 告知，透露，给予
impede	 v. 妨碍；阻碍
imperative	 adj. 紧急的，必要的，强制的，祈使语气
imperial	 adj. 帝国的，皇帝的
impetus	 n. 动力，原动力，推动，激励
implement	 n. 工具，器具 v. 贯彻，履行
insight	 n. 洞察，洞悉，见识
insipid	 adj. 无味的，枯燥乏味的；单调的
insolent	 adj. 蛮横的，粗鲁的
insolvent	 adj. 无偿债能力的
inspection	 n. 检查；审视，检阅
inspiration	 n. 灵感，鼓舞人心的人或事，好主意
inspire	 v. 激励，鼓励，灌注以创造力
inspiring	 adj. 令人振奋的
install	 v. 任命；安装，安置
instalment	 n. 分期连载，分期支付的款子
instantaneous	 adv. 瞬间，霎时
instinct	 n. 本能
instrument	 n. 仪器；器具；乐器
instrumental	 adj. 起作用的，有助于，乐器的
insulate	 v. 使绝缘，使绝热，隔离
insult	 v. 侮辱，凌辱 n. 侮辱的言词或行为
insurance	 n. 保险
insure	 v. 给…保险
intact	 adj. 未受损的，完整的
integral	 adj. 构成整体所必需的，完整的
integrate	 v. 使一体化，取消种族隔离
integrity	 n. 诚实，正直
intellect	 n. 智力，才智
kernel	 n. 果核，果仁，核心
kidnap	 v. 诱拐；绑架
kidney	 n. 肾，腰子
kin	 n. 家族、亲属
kindle	 v. 点燃，引起，激发
kit	 n. (士兵)所有装备，成套工具 v. 发给装备
knit	 v. 编织；紧密结合
knob	 n. 圆形把手，旋纽，圆形突出物
likewise	 adv. 同样地；也
limb	 n. 肢；翼；翅膀；大树枝
limp	 adj. 柔软的，软弱的 vt&n. 跛行，蹒跚
line	 n. 线；皱纹；外形；行列 v. 用线标示，排列
out	 adv. of adv. line with跟. 不一致
linear	 adj. 线的，直线的，长度的
linen	 n. 亚麻布，衬衣裤
liner	 n. 班机，班轮
linger	 v. 逗留，徘徊
liquor	 n. 酒；酒类
literacy	 n. 识字，读写能力
literally	 adv. 照字义地，逐字地
literature	 n. 文学，文学作品，文献，著作
litter	 n. 杂乱物；一胎生下的小动物 v. 使杂乱,乱丢 n. "
live	 v. 活，生活 adj. 有生命的，实况的
make	 v. 做
making	 n. 制成
malice	 n. 恶意，怨恨
malignant	 adj. 恶意的；恶毒的；(疾病)恶性的
mall	 n. 大型购物中心
malleable	 adj. (金属)可锻的;有延展性的;(性格)可训练的
malnutrition	 n. 营养不良
maltreat	 v. 虐待
metabolism	 n. 新陈代谢
metallic	 adj. 金属的
metaphor	 n. 隐喻，暗喻
meteoric	 adj. 流星的，转瞬即逝的，突然的
meteorology	 n. 气象学
meticulous	 adj. 谨小慎微的；过细的
metric	 adj. 十进制的，公制的
metropolitan	 adj. 大城市的，大都市的
microbe	 n. 微生物
microcosm	 n. 微观世界；缩影
microfilm	 n. 微缩胶片
might	 n. 力量，强权，势力
mighty	 adj. 强大的，强有力的，巨大的，浩大的
migrate	 v. 迁移；移居
mildew	 n&v. 霉，发霉
militant	 adj. 好斗的
millennium	 n. 一千年，千禧年；太平盛世
mimic	 adj. 假装的，模仿的，草拟的
mind	 n. 想法
mourn	 v. 哀悼
moustache	 n. (嘴唇上面的)胡子
mucous	 adj. 黏液的，似黏液的
muddle	 vt&vi. 使混乱；弄糟
multilateral	 adj. 多边的；多国参加的
multiply	 vt&vi. [数]乘；增加，增多；繁殖
multitude	 n. 大批，大群；众多
mundane	 adj. 世间的；世俗的
municipal	 adj. 市的，市政的
murmur	 n&v. 低沉连续的声音；诉怨
muscular	 adj. 肌肉的；肌肉发达的
mushroom	 n&v. 蘑菇，迅速发展
muster	 v. 集合，检阅，集中
mutation	 n. 变化，变异，转变
mutter	 v&n. 轻声低语；怨言
mutual	 adj. 相互的，共有的，共同的
myriad	 n. 极大数量
myth	 n. 神话，传说；虚构的人或物
mythology	 n. 神话学
native	 adj. 天真的，幼稚的
naked	 adj. 裸体的；无遮蔽的
namely	 adv. 即；也就是
nurture	 n&vt. 养育，培育，教养
nutrition	 n. 营养，营养学
nylon	 n. 尼龙；尼龙长袜
oar	 n. 桨；橹
oasis	 n. (沙漠中的)绿洲
oath	 n. 誓言，誓约
obedient	 adj. 服从的，顺从的
object	 n. 物体，目标；目的 v. 反对
objection	 n. 厌恶，反对；反对的理由
objective	 adj. 客观的；真实的 n. 目标，目的
oblong	 n&a. 长方形(的)
obligation	 n. 义务，责任
obligatory	 adj. (法律或道义上)必须的，应尽的
oblige	 v. (以誓言或契约等)束缚某人；施惠
obliging	 adj. 乐于助人的
oblique	 adj. 斜的，偏斜的
oblivious	 adj. 不在意的，忘却的
obnoxious	 adj. 非常讨厌的；可憎的
obscene	 adj. (文学，图画)猥亵的，淫秽的
obscure	 "a. 暗的，不清楚的；费解的vt使阴暗,使难解 adj. "
observance	 n. (法律习俗等)遵守；奉行；礼仪，仪式
observatory	 n. 天文台，气象台，了望台
observe	 v. 看到；遵守；评论
organ	 n. 器官；报刊；风琴
organism	 n. 生物；有机体；有机的组织
oriental	 a&n. 东方的；东方人
orientate	 v. 定位；给定位
origin	 n. 起源，血统
original	 n. 起源；原件，原稿 adj. 最初的；有独创性的
originate	 v. 发生，发起；发明
