reproduce	 v. 复制；再生；生殖；使…在脑海中重现
windmill	 n. 风车；风车房；旋转玩具；直升飞机 vt. 使旋转 vi. 作风车般旋转
normally	 adv. 正常地；通常地，一般地
sofa	 n. 沙发；长椅
flagrant	 adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
arid	 adj. 干旱的；不毛的，[农] 荒芜的
wet	 adj. [气象][物] 潮湿的；有雨的 n. 雨天；湿气 v. 弄湿
subsidize	 v. 资助；给与奖助金；向…行贿
colonial	 n. 殖民地居民 adj. 殖民地的，殖民的
nowadays	 adv. 现今；时下 n. 当今
enrol	 v. 登记；卷起；入学；使入会
picnic	 n. 野餐 v. 去野餐
fork	 n. 叉；餐叉；耙 v. 叉起；使成叉状
language	 n. 语言；语言文字；表达能力
impostor	 n. 骗子；冒充者
fifth	 adj. 第五的；五分之一的 n. 第五；五分之一 num. 第五
instrumental	 adj. 乐器的；有帮助的；仪器的，器械的 n. 器乐曲；工具字，工具格
cloudy	 adj. 多云的；阴天的；愁容满面的
wallet	 n. 钱包，皮夹
savage	 adj. 野蛮的；残酷的；狂怒的；荒凉的 n. 未开化的人；粗鲁的人；残暴成性的人 v. 乱咬；粗暴的对待
net	 n. 网；网络；净利；实价 v. 编网 adj. 纯粹的；净余的
anyway	 adv. 无论如何，不管怎样；总之
cadet	 n. 幼子，次子；实习生；候补军官；陆海军官学校的学员
cake	 n. 蛋糕；块状物；利益总额 v. 使结块
scholarly	 adj. 博学的；学者风度的；学者派头的
trilogy	 n. 三部曲；三部剧
stateroom	 n. 政府公寓；特等舱；包房
event	 n. 事件，大事；项目；结果
gable	 n. 山形墙；三角形饰物 vt. 在…上砌三角墙；在…安装三角形饰物 vi. 形成三角墙；形成三角形饰物
quantifier	 n. [数][语] 量词；数量词；精于计算的人
pollster	 n. 民意测验专家，民意调查人；整理民意测验结果的人
incessant	 adj. 不断的；不停的；连续的
whereabouts	 n. 下落；行踪；去向；所在之处 adv. 在何处；靠近什么地方
interventionist	 adj. 干涉主义的 n. 干涉主义者
roar	 n. 咆哮；吼；轰鸣 v. 咆哮；吼叫；喧闹
playoff	 n. 双方得分相等时的最后决赛；复赛；季后赛
retailer	 n. 零售商；传播的人
suppose	 v. 假设；认为；让（虚拟语气）；推想 conj. 假使…结果会怎样
legitimate	 adj. 合法的；正当的；合理的；正统的 v. 使合法；认为正当（等于legitimize）
anywhere	 adv. 在任何地方；无论何处 n. 任何地方
given	 adj. 赠予的；沉溺的；规定的 prep. 考虑到 v. 给予（give的过去分词） n. (Given)人名；(英、土)吉文
geography	 n. 地理；地形
heiress	 n. 女继承人
lose	 v. 浪费；使沉溺于；使迷路；遗失；错过 n. (Lose)人名；(英)洛斯；(德)洛泽
brooch	 n. （女用的）胸针，领针
warhead	 n. 弹头
sleazy	 adj. 质地薄的；肮脏的；低级庸俗的；破烂的
necessarily	 adv. 必要地；必定地，必然地
captain	 n. 队长，首领；船长；上尉；海军上校 v. 指挥；率领
confetti	 n. （婚礼、狂欢节中抛撒的）五彩纸屑；（旧时狂欢节或庆祝场合抛撒的）糖果
undersell	 v. 抛售；以低于市价售出
beset	 v. 困扰；镶嵌；围绕
unkempt	 adj. 蓬乱的，不整洁的；（言语等）粗野的
blizzard	 n. 暴风雪，大风雪；大打击 vi. 下暴风雪
flunk	 v. 失败；放弃；考试不及格 n. 不及格；失败
journey	 n. 旅行；行程 v. 旅行
bequeath	 v. 遗赠；把…遗赠给；把…传下去
washing	 n. 洗涤；洗涤剂；要洗的衣物 adj. 洗涤用的，清洗用的 v. 洗；使受洗礼（wash的ing形式）
web	 n. 网；卷筒纸；蹼；织物；圈套 v. 用网缠住；使中圈套
giddy	 adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的 vt. 使晕眩；使眼花缭乱 vi. 眼花；眩晕 n. (Giddy)人名；(英)吉迪
informal	 adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
rotten	 adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的 adv. 非常 n. (Rotten)人名；(法、德)罗滕
before	 prep. 在…之前，先于 adv. 以前；在前 conj. 在…以前；在…之前
imagination	 n. [心理] 想象力；空想；幻想物
colonize	 v. 将…开拓为殖民地；移于殖民地；从他地非法把选民移入
court	 n. 法院；球场；朝廷；奉承 v. 招致（失败、危险等）；向…献殷勤；设法获得
sandstone	 n. [岩] 砂岩；沙岩
disable	 v. 使失去能力；使残废；使无资格
opal	 n. 猫眼石，蛋白石；乳白玻璃
originate	 v. 引起；创作
pleat	 v. 使…打褶 n. 褶；褶状物
clinical	 adj. 临床的；诊所的
simplify	 v. 简化；使单纯；使简易
froth	 n. 泡沫，泡；口沫 v. 吐白沫；起泡沫
liberty	 n. 自由；许可；冒失
jade	 n. 翡翠；[宝] 碧玉；老马 adj. 玉制的；绿玉色的 v. 疲倦
deaden	 v. 使减弱；使麻木；隔阻
bountiful	 adj. 丰富的；慷慨的；宽大的
pause	 n. 暂停；间歇 v. 暂停，停顿，中止；踌躇
saliva	 n. 唾液；涎
tiptoe	 n. 脚尖；趾尖 v. 用脚尖走 adv. 用脚尖 adj. 踮着脚走的；偷偷摸摸的
commander	 n. 指挥官；司令官
proverb	 n. 谚语，格言；众所周知的人或事
revelation	 n. 启示；揭露；出乎意料的事；被揭露的真相
clog	 v. 阻塞；障碍 n. 障碍；木底鞋
hypocrite	 n. 伪君子；伪善者
whatever	 adj. 不管什么样的 pron. 无论什么；诸如此类 conj. 无论什么
bestseller	 n. 畅销书；畅销书作者；畅销商品（等于best seller）
choir	 n. 唱诗班；合唱队；舞蹈队 v. 合唱
consecutive	 adj. 连贯的；连续不断的
tonight	 adv. 在今晚 n. 今晚
sociology	 n. 社会学；群体生态学
traveller	 n. 旅行者
cough	 n. 咳嗽，咳嗽声；咳嗽病 v. 咳出
masked	 adj. 戴面具的；掩蔽的 v. 戴面具；掩饰；使模糊（mask的过去分词）
acre	 n. 土地，地产；英亩
underneath	 prep. 在…的下面；在…的形式下；在…的支配下 adv. 在下面；在底下 n. 下面；底部 adj. 下面的；底层的
yolk	 n. 蛋黄；[胚] 卵黄；羊毛脂
attendance	 n. 出席；到场；出席人数；考勤
insomniac	 n. 失眠症患者
unaffected	 adj. 不受影响的；自然的；真挚的；不矫揉造作的
jerky	 adj. 抽筋的；急动的；不平稳的 n. 牛肉干
botany	 n. 植物学；地区植物总称
familial	 adj. 家族的；家庭的；遗传的
affect	 v. 影响；感染；感动；假装 n. 情感；引起感情的因素
maple	 n. 枫树；淡棕色
say	 v. 讲；说明；例如；声称；假设；指明 n. (Say)人名；(土)萨伊；(法、老、柬)赛；(英)塞伊；(匈、罗)绍伊
unless	 conj. 除非，如果不 prep. 除…之外
service	 n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 v. 维修，检修；保养
abroad	 adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
hunk	 n. 大块，大片；厚块；（俚语）强壮 adj. 好的；行的
memento	 n. 纪念品，引起回忆的东西
exhibition	 n. 展览，显示；展览会；展览品
inspect	 v. 检查；视察；检阅
patter	 n. 行话；轻快脚步声；急速拍打声 v. 滴答地响；急速地说；发出急速轻拍声
beautify	 v. 使美化，使变美
transcendentalism	 n. 超越论；先验论
subordination	 n. 从属；附属；主从关系
mislead	 v. 误导；带错
spiral	 n. 螺旋；旋涡；螺旋形之物 adj. 螺旋形的；盘旋的 v. 使成螺旋形；使作螺旋形上升
breach	 n. 违背，违反；缺口 v. 违反，破坏；打破
suite	 n. （一套）家具；套房；组曲；（一批）随员，随从
handwriting	 n. 笔迹；书法；书写；手稿 v. 亲手写（handwrite的ing形式）
loosen	 v. 放松；松开 n. (Loosen)人名；(德)洛森
totalitarianism	 n. 极权主义
unqualified	 adj. 不合格的；无资格的；不胜任的；不受限制的；无条件的；绝对的
inside	 n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内
tout	 v. 兜售；招徕；刺探赛马情报 n. 侦查者；兜售者
knapsack	 n. 背包
following	 adj. 下面的；其次的，接着的 n. 下列事物；一批追随者 v. 跟随；沿行（follow的ing形式）
Chinese	 n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的
crossbow	 n. 弩；石弓
unify	 v. 统一；使相同，使一致
thrust	 n. [力] 推力；刺 v. 插；插入；推挤
bring	 v. 带来；促使；引起；使某人处于某种情况或境地 n. (Bring)人名；(英、瑞典)布林
grace	 n. 优雅；恩惠；魅力；慈悲 v. 使优美
trolley	 n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车 vi. 乘电车 vt. 用手推车运
reticent	 adj. 沉默的；有保留的；谨慎的
drill	 n. 训练；钻孔机；钻子；播种机 v. 钻孔；训练
being	 n. 存在；生命；本质；品格 adj. 存在的；现有的
wardrobe	 n. 衣柜；行头；全部戏装
inefficient	 adj. 无效率的，效率低的；无能的
categorical	 adj. 绝对的（名词categoricalness，副词categorically，异体字categoric）；直截了当的；无条件的；属于某一范畴的
effect	 n. 影响；效果；作用 v. 产生；达到目的
floodlight	 n. 照明灯；泛光灯；探照灯 v. 用泛光灯照亮
painter	 n. 画家；油漆匠
onset	 n. 开始，着手；发作；攻击，进攻
previous	 adj. 以前的；早先的；过早的 adv. 在先；在…以前
downstairs	 adv. 在楼下 adj. 楼下的 n. 楼下
adventure	 n. 冒险；冒险精神；投机活动 v. 冒险；大胆说出
lovable	 adj. 可爱的，讨人喜欢的 n. (Lovable)人名；(西)洛瓦夫莱
acknowledgement	 n. 承认；确认；感谢
bowling	 n. 滚木球戏；保龄球戏 v. 打保龄球（bowl的现在分词）
conurbation	 n. 有卫星城的大都市；（几个邻近的城市因扩建而形成一个）组合城市，集合都市
driver	 n. 驾驶员；驱动程序；起子；传动器
heresy	 n. 异端；异端邪说；异教
callow	 adj. 年轻而无经验的；羽毛未丰的 n. (Callow)人名；(英)卡洛
journal	 n. 日报，杂志；日记；分类账
reverent	 adj. 虔诚的；恭敬的；尊敬的
composite	 n. 复合材料；合成物；菊科 adj. 复合的；合成的；菊科的 vt. 使合成；使混合
raw	 adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的 n. 擦伤处 vt. 擦伤
clasp	 n. 扣子，钩子；握手 v. 紧抱；扣紧；紧紧缠绕
deceptive	 adj. 欺诈的；迷惑的；虚伪的
bristle	 n. 猪鬃；刚毛 v. 发怒；竖起
nausea	 n. 恶心，晕船；极端的憎恶
salivate	 v. 使流涎；使过量分泌唾液
ourselves	 pron. 我们自己；我们亲自
widen	 v. 放宽 n. (Widen)人名；(德)维登
trick	 n. 诡计；恶作剧；窍门；花招；骗局；欺诈 v. 欺骗；哄骗；装饰；打扮 adj. 特技的；欺诈的；有决窍的
choice	 n. 选择；选择权；精选品 adj. 精选的；仔细推敲的
notebook	 n. 笔记本，笔记簿；手册
tanker	 n. 油轮；运油飞机；油槽车；坦克手
anchorwoman	 n. 广播新闻的女主持人
contour	 n. 轮廓；等高线；周线；电路；概要 v. 画轮廓；画等高线
throw	 v. 投；抛；掷 n. 投掷；冒险
engage	 v. 吸引，占用；使参加；雇佣；使订婚；预定
core	 n. 核心；要点；果心；[计] 磁心 v. 挖的核
inspector	 n. 检查员；巡视员
blackmail	 n. 勒索，敲诈；勒索所得之款 v. 勒索，敲诈
indefinite	 adj. 不确定的；无限的；模糊的
sensuous	 adj. 感觉上的，依感观的；诉诸美感的
masculine	 adj. 男性的；阳性的；男子气概的 n. 男性；阳性，阳性词
courageous	 adj. 有胆量的，勇敢的
urban	 adj. 城市的；住在都市的 n. (Urban)人名；(西)乌尔万；(斯洛伐)乌尔班；(德、俄、罗、匈、塞、波、捷、瑞典、意)乌尔班；(英)厄本；(法)于尔邦
televise	 v. 用电视播放
springboard	 n. 跳板；出发点 vi. 利用跳板跃进
captivity	 n. 囚禁；被关
instruction	 n. 指令，命令；指示；教导；用法说明
sob	 v. 啜泣，呜咽；（风等）发出呜咽声 n. 啜泣，呜咽
defeat	 v. 击败，战胜；挫败；使…失败 n. 失败的事实；击败的行为
whip	 v. 抽打；煽动；搅打（蛋，奶油）；彻底击败 n. 鞭子；抽打；车夫；[机] 搅拌器
disgraceful	 adj. 不名誉的，可耻的
grope	 v. 摸索；探索 n. 摸索；触摸
magical	 adj. 魔术的；有魔力的
daddy	 n. 爸爸
rubbish	 n. 垃圾，废物；废话 adj. 毫无价值的
cry	 v. 叫喊；哭出；大声说 n. 叫喊；叫声；口号；呼叫
watt	 n. 瓦特
emphasis	 n. 重点；强调；加强语气
yell	 v. 大叫，叫喊 n. 喊声，叫声
intricate	 adj. 复杂的；错综的，缠结的
physiological	 adj. 生理学的，生理的
tempo	 n. 速度，发展速度；拍子
fizz	 n. 兴奋，活力；嘶嘶声；充气饮料 v. 显示兴奋；发嘶嘶声；起泡沫
muck	 n. 淤泥；垃圾；肥料；品质低劣的东西 v. 弄脏；施肥；清除…的污物
apologize	 v. 道歉；辩解；赔不是
giggle	 v. 傻笑；咯咯地笑 n. 吃吃的笑
vowel	 n. 元音；母音 adj. 元音的
remnant	 n. 剩余 adj. 剩余的
tease	 v. 取笑；戏弄；梳理；欺负；强求；使起毛 n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
humbug	 n. 骗子；欺骗；谎话 v. 欺骗；哄骗
beef	 n. 牛肉；肌肉；食用牛；牢骚 v. 抱怨，告发；发牢骚
caviar	 n. 鱼子酱
freelance	 n. 自由作家；自由记者 adj. 自由投稿的
enfold	 v. 拥抱；包裹；折叠；围绕
evoke	 v. 引起，唤起；博得
specially	 adv. 特别地；专门地
technocracy	 n. 专家管理；专家政治论，技术统治论
recently	 adv. 最近；新近
beneficiary	 n. [金融] 受益人，受惠者；封臣 adj. 拥有封地的；受圣俸的
ink	 v. 签署；涂墨水于 n. 墨水，墨汁；油墨
frontbench	 英国议会席中两大正党领袖人物就座的前排
shoulder	 n. 肩，肩膀；肩部 v. 肩负，承担
stocking	 n. 长袜
manuscript	 n. [图情] 手稿；原稿 adj. 手写的
bureaucrat	 n. 官僚；官僚主义者
historian	 n. 历史学家
hardwood	 n. 硬木，硬木材；[植][林] 阔叶树
source	 n. 来源；水源；原始资料
commute	 v. （搭乘车、船等）通勤；代偿 n. 通勤（口语）
passenger	 n. 旅客；乘客；过路人；碍手碍脚的人
bullet	 n. 子弹；只选某党全部候选人的投票；豆子 vi. 射出；迅速行进
filial	 adj. 孝顺的；子女的，当做子女的
painstaking	 adj. 艰苦的；勤勉的；小心的 n. 辛苦；勤勉
tavern	 n. 酒馆；客栈
sector	 n. 部门；扇形，扇区；象限仪；函数尺 vt. 把…分成扇形
dioxide	 n. 二氧化物
quickly	 adv. 迅速地；很快地
delicious	 adj. 美味的；可口的
weight	 n. 重量，重力；负担；砝码；重要性 v. 加重量于，使变重
bleat	 v. 咩咩叫；胡扯；抱怨 n. 咩咩叫声
scoff	 n. 嘲笑；愚弄；笑柄 v. 嘲笑；嘲弄；贪婪地吃
versatility	 n. 多功能性；多才多艺；用途广泛
redistribute	 v. 重新分配；再区分
roadway	 n. 道路；路面；车行道；铁路的路基
distribution	 n. 分布；分配
heartwarming	 adj. 感人的；暖人心房的
food	 n. 食物；养料
furious	 adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
crust	 n. 地壳；外壳；面包皮；坚硬外皮 v. 结硬皮；结成外壳
its	 pron. 它的 n. (Its)人名；(俄)伊茨
disloyal	 adj. 不忠的；不忠诚的；背叛的
bud	 n. 芽，萌芽；蓓蕾 v. 发芽，萌芽
unemployed	 adj. 失业的；未被利用的
ironic	 adj. 讽刺的；反话的
diet	 n. 饮食；食物；规定饮食 v. 节食
mix	 v. 配制；混淆；使混和；使结交 n. 混合；混合物；混乱
nuclear	 adj. 原子能的；[细胞] 细胞核的；中心的；原子核的
freezer	 n. 冰箱；冷冻库；制冷工
trough	 n. 水槽，水槽；低谷期；饲料槽；低气压
emanate	 v. 放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散
least	 adj. 最小的；最少的（little的最高级） adv. 最小；最少 n. 最小；最少
fry	 n. 鱼苗；油炸食物 v. 油炸；油煎
senseless	 adj. 愚蠢的；无知觉的；无意识的
interchange	 v. （指两人等）交换；互换 n. 互换；立体交叉道
red	 n. 红色，红颜料；赤字 adj. 红色的；红肿的，充血的
dynamics	 n. 动力学，力学
move	 n. 移动；步骤；迁居；策略 v. 移动；搬家，迁移；离开
epic	 adj. 史诗的，叙事诗的 n. 史诗；叙事诗；史诗般的作品
waddle	 n. 蹒跚；摇摆的步子 v. 摇摇摆摆地走；蹒跚而行
bumper	 adj. 丰盛的，丰富的 n. 缓冲器，保险杆，减震物 vt. 装满；为…祝酒 vi. 干杯
flog	 v. 鞭打，鞭策；迫使
defiance	 n. 蔑视；挑战；反抗
gray	 adj. 灰色的；苍白的；灰白头发的；阴郁的 n. 灰色；暗淡的光线 v. 成为灰色或灰白
buzz	 v. 使嗡嗡叫；暗中散布 n. 嗡嗡声
gallery	 n. 画廊；走廊；旁听席；地道 vt. 在…修建走廊；在…挖地道 vi. 挖地道
incoming	 adj. 进来的，到来的； 即将就任的 n. 进入；到来；常作 incomings 收入，收益
qualm	 n. 疑虑；不安
turning	 n. 转向；旋转；回转；转弯处 v. 旋转（turn的ing形式）
capitalist	 n. 资本家；资本主义者 adj. 资本主义的；资本家的
recoup	 v. 收回；恢复；偿还；扣除
workman	 n. 工匠；技工；男工
dinosaur	 n. 恐龙；过时、落伍的人或事物
irrigation	 n. 灌溉；[临床] 冲洗；冲洗法
reel	 v. 卷；眩晕；蹒跚地走；退缩 n. 蹒跚；眩晕；旋转
bawl	 v. 大叫；放声痛哭 n. 叫骂声
undertaker	 n. 承担者；承办人；殡仪业者
chorus	 n. 合唱队；齐声；歌舞队 v. 合唱；异口同声地说
insure	 v. 确保，保证；给…保险
philosophic	 adj. 哲学的；贤明的
tissue	 n. 组织；纸巾；薄纱；一套 v. 饰以薄纱；用化妆纸揩去
deputation	 n. 代表团，代表；委任代理
photocopier	 n. 影印机；复印机
manicure	 v. 修剪，美甲 n. 修指甲，美甲
fortress	 n. 堡垒；要塞 vt. 筑要塞；以要塞防守
twig	 v. 理解 n. 小枝；嫩枝；末梢
joke	 n. 玩笑，笑话；笑柄 v. 开…的玩笑
arthritis	 n. [外科] 关节炎
samba	 n. 桑巴舞（巴西交谊舞） v. 跳桑巴舞
lead	 n. 领导；铅；导线；榜样 v. 领导；致使；引导；指挥 adj. 带头的；最重要的
skeptical	 adj. 怀疑的；怀疑论的，不可知论的
mourn	 v. 哀悼；忧伤；服丧
squirt	 n. 喷射；注射 v. 喷湿
hostile	 adj. 敌对的，敌方的；怀敌意的 n. 敌对
plaster	 n. 石膏；灰泥；膏药 v. 减轻；粘贴；涂以灰泥；敷以膏药；使平服
frenetic	 adj. 狂热的；发狂的 n. 疯子；狂人
crisis	 n. 危机；危险期；决定性时刻 adj. 危机的；用于处理危机的
headrest	 n. 头靠，弹性头垫；靠头之物
tobacconist	 n. （主英）烟草商；烟草制品零售商
copyright	 n. 版权，著作权 adj. 版权的；受版权保护的 v. 保护版权；为…取得版权
dealing	 n. 交易；行为
drum	 v. 击鼓；大力争取 n. 鼓；鼓声
sewer	 n. 下水道；阴沟；裁缝师 vt. 为…铺设污水管道；用下水道排除…的污水 vi. 清洗污水管
promise	 n. 许诺，允诺；希望 v. 允诺，许诺；给人以…的指望或希望
essay	 n. 散文；试图；随笔 v. 尝试；对…做试验
search	 v. 搜寻；调查；探求 n. 搜寻；探究，查究
aerospace	 n. 航空宇宙；[航] 航空航天空间
cuisine	 n. 烹饪，烹调法
link	 n. [计] 链环，环节；联系，关系 v. 连接，连结；联合，结合
patchy	 adj. 不调和的；拼凑成的；有补丁的
curl	 v. 使…卷曲；使卷起来 n. 卷曲；卷发；螺旋状物
allergy	 n. 过敏症；反感；厌恶
dismal	 adj. 凄凉的，忧郁的；阴沉的，沉闷的 n. 低落的情绪
about	 prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人
fiery	 adj. 热烈的，炽烈的；暴躁的；燃烧般的
antique	 adj. 古老的，年代久远的；过时的，古董的；古风的，古式的 n. 古董，古玩；古风，古希腊和古罗马艺术风格 v. 觅购古玩
crutch	 n. 拐杖；支柱；依靠；胯部 vt. 用拐杖支撑；支持
longing	 n. 渴望，热望；憧憬 adj. 渴望的，极想得到的 v. 渴望（long的ing形式）
immunize	 v. 使免疫；赋予免疫性
tom	 n. 雄性动物（尤指雄猫）；汤姆（人名） v. 〈美口〉(像汤姆叔一样)逆来顺受
spend	 v. 度过，消磨（时光）；花费；浪费；用尽 n. 预算
menu	 n. 菜单
angrily	 adv. 愤怒地
kickoff	 n. 开始；开球
settle	 v. 解决；定居；沉淀；下陷 n. 有背长椅
ball	 n. 球；舞会 v. 成团块
priest	 n. 牧师；神父；教士 vt. 使成为神职人员；任命…为祭司
lorry	 n. （英）卡车；[车辆] 货车；运料车
gloomy	 adj. 黑暗的；沮丧的；阴郁的
human	 adj. 人的；人类的 n. 人；人类
digestive	 adj. 消化的；助消化的 n. 助消化药
danger	 n. 危险；危险物，威胁
lodging	 n. 寄宿；寄宿处；出租的房间、住房；倒伏
confederacy	 n. 联盟；联邦；私党
raiser	 n. 饲养者；提高者；栽培者；筹集者
exam	 n. 考试；测验
instigate	 v. 唆使；煽动；教唆；怂恿
greet	 v. 欢迎，迎接；致敬，致意；映入眼帘 n. (Greet)人名；(英)格里特
storm	 n. 暴风雨；大动荡 v. 起风暴；横冲直撞；狂怒咆哮
gate	 n. 大门；出入口；门道 v. 给…装大门
effluent	 n. 污水；流出物；废气 adj. 流出的，发出的
disguise	 v. 掩饰；假装；隐瞒 n. 伪装；假装；用作伪装的东西
collision	 n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
guidance	 n. 指导，引导；领导
nourishment	 n. 食物；营养品；滋养品
gush	 v. 涌出；迸出 n. 涌出；迸发
success	 n. 成功，成就；胜利；大获成功的人或事物
fault	 n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误 v. 弄错；产生断层
finance	 n. 财政，财政学；金融 v. 负担经费，供给…经费
elemental	 adj. 基本的；主要的；自然力的；四大要素的（土、水、气、火）
seethe	 v. 沸腾；冒泡；激动 n. 沸腾；感情等的迸发
ruinous	 adj. 破坏性的，毁灭性的；零落的
separately	 adv. 分别地；分离地；个别地
panic	 n. 恐慌，惊慌；大恐慌 adj. 恐慌的；没有理由的 v. 使恐慌
native	 adj. 本国的；土著的；天然的；与生俱来的；天赋的 n. 本地人；土产；当地居民
hag	 n. 女巫；丑老太婆
meadow	 n. 草地；牧场
hostess	 n. 女主人，女老板；女服务员；舞女；女房东
sallow	 adj. 气色不好的；灰黄色的 n. 黄华柳；黄华柳细枝 v. 成土色
sinner	 n. 罪人；有错者
supervise	 v. 监督，管理；指导
impenetrable	 adj. 不能通过的；顽固的；费解的；不接纳的
ABC	 n. 基础知识；字母表 abbr. 美国广播公司（American Broadcasting Company）；澳大利亚广播公司（Australian Broadcasting Corporation）；出生在美国的华人（American - born Chinese）；代理商-商家-消费者的商业模式（Agent, Business, Consumer）
helpless	 adj. 无助的；无能的；没用的
unfortunate	 adj. 不幸的；令人遗憾的；不成功的
amnesty	 n. 大赦，特赦 v. 对…实行大赦
meddle	 v. 管闲事，干预他人之事
batch	 n. 一批；一炉；一次所制之量 v. 分批处理
infertile	 adj. 不肥沃的；不毛的；不结果实的；不能生殖的
fro	 adv. 向后；向那边
radio	 n. 收音机；无线电广播设备 v. 用无线电进行通信
fraternal	 adj. 兄弟般的；友好的
above	 prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文
basically	 adv. 主要地，基本上
truth	 n. 真理；事实；诚实；实质
diagnosis	 n. 诊断
zany	 adj. 滑稽的；古怪的；愚蠢的 n. 小丑；笨人；马屁精
sudden	 adj. 突然的，意外的；快速的 n. 突然发生的事
supply	 n. 供给，补给；供应品 v. 供给，提供；补充
rhythmical	 adj. 有节奏的；有韵律的
astral	 adj. 星的；星际的；精神世界的
gross	 adj. 总共的；粗野的；恶劣的；显而易见的 v. 总共收入 n. 总额，总数
goat	 n. 山羊；替罪羊（美俚）；色鬼（美俚）
continuity	 n. 连续性；一连串；分镜头剧本
regular	 adj. 定期的；有规律的；合格的；整齐的；普通的 n. 常客；正式队员；中坚分子 adv. 定期地；经常地
cabbage	 n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
hacked	 n. 生气
gravity	 n. 重力，地心引力；严重性；庄严
reciprocate	 v. 报答；互换；互给
splendid	 adj. 辉煌的；灿烂的；极好的；杰出的
gourmet	 n. 美食家 adj. 菜肴精美的
commentate	 v. 评论；解说；注释
queer	 adj. 奇怪的；同性恋的；不舒服的；心智不平衡的 v. 搞糟；使陷于不利地位 n. 同性恋者；怪人；伪造的货币
yank	 v. 猛地一拉 n. 突然的猛拉
sanctify	 v. 使圣洁；使神圣化；把…奉献给神；认可
eyeball	 n. 眼球；眼珠子 v. 盯住看；仔细对…打量
sale	 n. 销售；出售；拍卖；销售额；廉价出售
tap	 v. 轻敲；轻打；装上嘴子 n. 水龙头；轻打
poetry	 n. 诗；诗意，诗情；诗歌艺术
ammonia	 n. [无化] 氨，阿摩尼亚
cherish	 v. 珍爱
blockade	 v. 封锁 n. 阻塞
area	 n. 区域，地区；面积；范围
guilty	 adj. 有罪的；内疚的
geology	 n. 地质学；地质情况
revitalize	 v. 使…复活；使…复兴；使…恢复生气
hearth	 n. 灶台；炉边；炉床；壁炉地面
grate	 v. 装格栅于；磨擦 n. 壁炉；格栅
rejection	 n. 抛弃；拒绝；被抛弃的东西；盖帽
eyeless	 adj. 盲目的；无眼的；瞎的
bet	 n. 打赌，赌注；被打赌的事物 v. 打赌；敢断定，确信
deviant	 n. 不正常者；偏移值；变异物 adj. 不正常的；离经叛道的
tree	 n. 树；木料；树状物 v. 把赶上树
conjure	 v. 念咒召唤；用魔法驱赶；提出，想象；恳求
extol	 v. 颂扬；赞美；赞颂
equivalent	 adj. 等价的，相等的；同意义的 n. 等价物，相等物
anything	 pron. 任何事
obey	 v. 服从，听从；按照……行动 n. (Obey)人名；(英、法)奥贝
advise	 v. 建议；劝告，忠告；通知；警告
insert	 v. 插入；嵌入 n. 插入物；管芯；镶块；[机械]刀片
heartache	 n. 心痛；悲叹
duke	 n. 公爵，（公国的）君主；公爵（种）樱桃
embarrass	 v. 使局促不安；使困窘；阻碍
emergence	 n. 出现，浮现；发生；露头
sophomore	 n. 大学二年级生；（美）有二年经验的人 adj. 二年级的；二年级学生的
Tuesday	 n. 星期二
jigsaw	 n. 拼图玩具；线锯；镂花锯 vt. 用线锯锯
perceive	 v. 察觉，感觉；理解；认知
vex	 v. 使烦恼；使困惑；使恼怒
abode	 n. 住处；营业所 v. 遵守；停留；忍受（abide的过去分词）
deviation	 n. 偏差；误差；背离
payout	 n. 支出；花费
measure	 n. 测量；措施；程度；尺寸 v. 测量；估量；权衡
reciprocity	 n. 相互作用（复数reciprocities）；相互性；互惠主义
million	 n. 百万；无数 adj. 百万的；无数的 num. 百万
vernacular	 adj. 本国的；地方的；用本地语写成的 n. 本地话，方言；动植物的俗名
coral	 n. 珊瑚；珊瑚虫 adj. 珊瑚的；珊瑚色的
delve	 v. 钻研；探究；挖 n. 穴；洞
atlas	 n. 地图集；寰椎
decidedly	 adv. 果断地；断然地；明显；毫无疑问
encampment	 n. 营地；露营
