refuse	 v. 拒绝
mad	 adj. 发疯的；恼火的
sacrifice	 n. 牺牲；献祭 v. 牺牲；献祭
various	 adj. 各种各样的，不同的
stuff	 n. 东西 v. 装，填，塞
rely	 v. 依赖，依靠；信赖
diameter	 n. 直径
boss	 n. 老板，上司 v. 指挥
dying	 adj. 垂死的；临终的
indeed	 adv. 确实；真正地
ignorant	 adj. 不知道的；无知的
occasionally	 adv. 偶然；非经常地
decent	 adj. 体面的；正派的
human	 adj. 人的，人类的 n. 人
glitter	 v. 闪闪发光 n. 闪光
receipt	 n. 收条，收据；收到
adventure	 n. 冒险；惊险活动
lover	 n. 情人；情侣；爱好者
infant	 n. 婴儿 adj. 婴儿的
muddy	 adj. 多泥的，泥泞的
beast	 n. 兽，野兽
faint	 adj. 微弱的；虚弱的
alarm	 n. 警报；惊恐，忧虑
convention	 n. 习俗，惯例；公约
durable	 adj. 耐久的，耐用的
bed	 n. 床，床位；圃；河床
silent	 adj. 寂静无声的；沉默的
dislike	 v. 不喜爱，厌恶 n. 不喜爱，厌恶
greatly	 adv. 大大地，非常
quotation	 n. 引用；引文；报价单
pity	 n. 遗憾；怜悯 v. 同情
border	 n. 边，边缘；边界
panel	 n. 专门小组；面，板
wrap	 v. 裹，包，捆 n. 披肩
passage	 n. 通路，通道；通过
waken	 v. 醒来；弄醒
care	 v. 介意；关心 n. 小心
major	 adj. 较大的 n. 专业
organic	 adj. 有机体的；器官的
easy	 adj. 容易的；安逸的
improve	 v. 改善；使更好
hi	 int. 嗨（表示问候等）
tissue	 n. 薄绢；薄纸；组织
vigorous	 adj. 朝气蓬勃的
fancy	 n. 想象力；设想；爱好
income	 n. 收入；收益；进款
knot	 n. （绳的）结；（树的）节
construction	 n. 建造；建筑；建筑物
inquire	 v. 打听，询问；调查
spark	 n. 火花，火星
aside	 adv. 在旁边，到旁边
stripe	 n. 条纹，条子
meter	 n. 计量器；计，表
frequent	 adj. 时常发生的；经常的
pure	 adj. 纯粹的；纯洁的
beyond	 prep. 在…的那边
eager	 adj. 渴望的，热切的
fox	 n. 狐狸；狡猾的人
penny	 n. （英）便士；（美）分
infer	 v. 推论，推断；猜想
steam	 n. 蒸汽 v. 蒸发；蒸
file	 n. 档案 v. 把…归档
midnight	 n. 午夜，子夜，夜半
scientific	 adj. 科学（上）的
oil	 n. 油；石油 v. 加油于
instruct	 v. 指示；教；通知
protest	 n. 抗议 v. 抗议
cancer	 n. 癌，癌症，肿瘤
instantly	 adv. 立即，即刻
Chinese	 adj. 中国的 n. 中国人
remedy	 n. 治疗；补救 v. 治疗；补救
good	 adj. 好的；有本事的
method	 n. 方法，办法；教学法
monthly	 adj. 每月的 adv. 每月
dream	 n. 梦；梦想 v. 做梦
load	 v. 装；装满 n. 负载
fuel	 n. 燃料 v. 给…加燃料
modern	 adj. 现代的，近代的
common	 adj. 普通的；共同的
recommend	 v. 劝告；推荐，介绍
produce	 v. 产生；生产；展现
definition	 n. 定义，释义；定界
castle	 n. 城堡；巨大建筑物
supreme	 adj. 最高的；最大的
ask	 v. 问；要求；邀请
dumb	 adj. 哑的；无言的
pin	 n. 针，饰针 v. 别住
attain	 v. 获得；达到
curtain	 n. 帘，窗帘；幕（布）
raise	 v. 举起；引起；提高
fog	 n. 雾；烟雾，尘雾
rotten	 adj. 腐烂的，发臭的
mysterious	 adj. 神秘的；难以理解的
diary	 n. 日记，日记簿
survive	 v. 幸免于；活下来
bicycle	 n. 自行车，脚踏车
sausage	 n. 香肠，腊肠
attack	 v. 攻击，进攻 n. 攻击，进攻
saw	 n. 锯子 v. 锯，锯开
indication	 n. 指示；表示；表明
attempt	 v. 尝试，试图 n. 企图
submarine	 adj. 水下的 n. 潜水艇
revolution	 n. 革命；旋转，绕转
overseas	 adv. 海外 adj. 在海外的
oriental	 adj. 东方的；东方国家的
for	 prep. 给；为；因为
manufacture	 v. 制造 n. 制造；产品
healthy	 adj. 健康的；有益健康的
multiple	 adj. 多的；多种的
cock	 n. 公鸡；雄禽；旋塞
actress	 n. 女演员
strap	 n. 带子 v. 捆扎
economic	 adj. 经济的，经济学的
solution	 n. 解决，解答；溶解
barrel	 n. 桶；圆筒；枪管
hand	 n. 手；指针
partly	 adv. 部分地，不完全地
paw	 n. 脚爪，爪子
upset	 v. 弄翻，打翻，倾覆
plunge	 v. 使投入；使陷入
injury	 n. 损害，伤害；受伤处
hopeless	 adj. 没有希望的；绝望的
escape	 v. 逃跑；逸出 n. 逃跑
philosophy	 n. 哲学；哲理；人生观
thrive	 v. 兴旺，繁荣，旺盛
fireman	 n. 消防队员
awfully	 adv. 令人畏惧的；很
golden	 adj. 金色的；极好的
technical	 adj. 技术的，工艺的
carrot	 n. 胡萝卜
concerning	 prep. 关于
lot	 pron.. 许多，大量 n. 抽签，抓阄
unlikely	 adj. 未必的，未必可能的
liar	 n. 说谎的人
family	 n. 家，家庭；家族
hay	 n. 干草
stress	 n. 压力；重音 v. 着重
many	 det.. 许多的 pron. 许多人
goal	 n. 目的；球门；得分
indefinite	 adj. 不明确的；不定的
inner	 adj. 内部的；内心的
bear	 n. 熊；粗鲁的人
pretty	 adj. 漂亮的，标致的
therefore	 adv. 因此，所以
goose	 n. 鹅；雌鹅
afford	 v. 担负得起…；提供
pupil	 n. 学生，小学生
dairy	 n. 牛奶场 adj. 乳制品
boundary	 n. 分界线，边界
afterward	 adv. 后来，以后
fan	 n. （运动等）狂热爱好者
election	 n. 选举；当选
wheat	 n. 小麦
plant	 n. 植物；工厂 v. 栽种
page	 n. 页
spite	 3、释义:n. 不顾；恶意，怨恨 v. 刁难，欺侮
relationship	 n. 关系；联系
grape	 n. 葡萄；葡萄藤
restrain	 v. 抑制，遏制；限制
dimension	 n. 尺寸，尺度；面积
saucer	 n. 茶托，浅碟
observer	 n. 观察员，观测者
hero	 n. 英雄；勇士；男主角
happen	 v. 发生；碰巧，恰好
kick	 v. 踢 n. 踢
jet	 n. 喷气式飞机；喷嘴
chemistry	 n. 化学
interaction	 n. 相互作用；干扰
evil	 n. 祸害；邪恶 adj. 坏的
sponsor	 n. 发起者 v. 发起
gown	 n. 长袍，长外衣
shot	 n. 发射；弹丸；射门
gay	 adj. 快乐的；鲜明的
obstacle	 n. 障碍，妨害；障碍物
sometime	 adv. 在某一时候；从前
satisfactory	 adj. 令人满意的，良好的
particularly	 adv. 特别，尤其，格外
distribute	 v. 分发，分送；分布
reason	 n. 理由；理性 v. 推理
cross	 v. 穿过；使交叉
development	 n. 发展；生长；开发
sour	 adj. 酸的；脾气坏的
disadvantage	 n. 不利，不利地位
flush	 v. （脸）发红
minor	 adj. 较小的；较次要的
canvas	 n. 粗帆布；一块油画布
medical	 adj. 医学的；内科的
economical	 adj. 节约的；经济的
could	 modal. 能，会，可以（can的过去式）
oppress	 v. 压迫，压制；压抑
acute	 adj. 敏锐的
Latin	 adj. 拉丁的 n. 拉丁语
rough	 adj. 表面不平的；粗略的
merchant	 n. 商人；零售商
other	 adj. 另外的；其余的
progressive	 adj. 进步的；向前进的
heal	 v. 治愈；使和解
competition	 n. 竞争；比赛
court	 n. 法院，法庭；庭院
drink	 v. 饮 n. 饮料
ball	 n. 球；球状物；舞会
organize	 v. 组织；编组
remain	 v. 剩下，余留；保持
chart	 n. 图，图表；海图
interference	 n. 干涉，干预；阻碍
dock	 n. 船坞；码头
anchor	 n. 锚 v. 抛锚，停泊
breast	 n. 乳房；胸脯，胸膛
glance	 v. 看一下 n. 一瞥
announce	 v. 宣布，宣告，发表
join	 v. 参加；连接
poor	 adj. 贫穷的；贫乏的
reference	 n. 参考；提及
delete	 v. 删除；擦掉
digest	 v. 消化；领会 n. 文摘
great	 adj. 大的；伟大的
nut	 n. 坚果，干果；螺母
gun	 n. 枪，炮，手枪
urge	 v. 催促；推进 n. 冲动
but	 conj. 但是，可是
ought	 modal. 应当，应该
impossible	 adj. 不可能的，办不到的
real	 adj. 真的；现实的
score	 n. 得分，比数；成绩
devise	 v. 设计，发明
equipment	 n. 装备，设备；配备
luck	 n. 好运，幸运；运气
absolutely	 adv. 完全地；绝对地
queue	 n. 行列 v. 排队等候
rural	 adj. 农村的，田园的
office	 n. 办公室；处，局，社
sore	 adj. 痛的；恼火的 n. 疮
confuse	 v. 使混乱，混淆
neighbourhood	 n. 附近地区（的居民）；邻近
Japanese	 adj. 日本的 n. 日本人
fulfil	 v. 履行；满足；完成
chocolate	 n. 巧克力；巧克力糖
chicken	 n. 鸡；鸡肉
limited	 adj. 有限的
kilometre	 n. 千米，公里
separate	 adj. 分离的；个别的
campus	 n. 校园，学校场地
blanket	 n. 毛毯，毯子，羊毛毯
frequently	 adv. 时常，常常
thermometer	 n. 温度计，寒暑表
undoubtedly	 adv. 无容置疑，肯定地
market	 n. 市场；集市；销路
big	 adj. 大的，巨大的
half	 n. 半，一半 adj. 一半的
blade	 n. 刀刃，刀片；叶片
afraid	 adj. 害怕的；担心的
cinema	 n. 电影院；电影，影片
stiff	 adj. 硬的；僵直的
librarian	 n. 图书馆馆长
lamp	 n. 灯
hostile	 adj. 不友善的；敌方的
line	 n. 线；线条；排；路线
extensive	 adj. 广阔的；广泛的
bet	 v. 打赌 n. 打赌
prove	 v. 证明；结果是
sway	 v. 摇动
locomotive	 n. 火车头，机车
along	 prep. 沿着 adv. 向前
oven	 n. 炉，灶；烘箱
bury	 v. 埋葬，葬；埋藏
arrow	 n. 箭；箭状物；〔指示方向的〕箭号，箭头（符号）
green	 adj. 绿色的 n. 绿色
logic	 n. 逻辑，推理；逻辑性
fluid	 n. 流体，液体
press	 v. 压，按；按，揿；催促
firm	 n. 商行，商号，公司
funeral	 n. 葬礼，丧礼，丧葬
compile	 v. 编辑，编制，搜集
grey	 adj. 灰色的 n. 灰色
claw	 n. 爪，脚爪，螯
fluent	 adj. 流利的，流畅的
prominent	 adj. 突出的；凸起的
bitterly	 adv. 苦苦地；悲痛地
dissatisfy	 v. 使不满，使不平
embrace	 v. 拥抱；包括
defence	 n. 防御；防务；辩护
trade	 n. 贸易；职业 v. 交易
owe	 v. 欠；应把…归功于
gray	 adj. 灰色的 n. 灰色
digital	 adj. 数字的，计数的
gradually	 adv. 逐渐地，逐步地
ax	 n. 斧子
estimate	 v. 估计，评价 n. 估计
avoid	 v. 避免；躲开
acceleration	 n. 加速；加速度
also	 adv. 而且，还；亦，也
subway	 n. 地道；地下铁路
circumference	 n. 圆周，周长，圆周线
seek	 v. 寻找，探索；试图
require	 v. 需要；要求，命令
bounce	 v. 反跳，弹起；跳起
minister	 n. 部长，大臣；公使
miracle	 n. 奇迹，令人惊奇的人
clothe	 v. 给…穿衣服
newly	 adv. 新近，最近
confidence	 n. 信任；信赖；信心
lack	 n. 缺乏，不足 v. 缺乏，不足
bureau	 n. 局，司，处；社，所
detection	 n. 察觉，发觉；侦察
jury	 n. 陪审团；评奖团
difference	 n. 差别；差；分歧
hope	 v. 希望 n. 希望
grant	 n. 授给物 v. 授予
insufficient	 adj. 不足的；不适当的
cheerful	 adj. 快乐的，愉快的
committee	 n. 委员会；全体委员
east	 n. 东；东部 adv. 在东方
pronunciation	 n. 发音，发音法
photo	 n. 照片，相片
occupation	 n. 职业；占领，占据
document	 n. 公文，文件；证件
popular	 adj. 流行的；民众的
resume	 v. 重新开始；恢复
eyesight	 n. 视力，目力
canal	 n. 运河；沟渠；管
obviously	 adv. 明显地，显然地
please	 v. 使高兴，请满意
breeze	 n. 微风，和风
mechanic	 n. 技工，机械，机修工
beside	 prep. 在…旁边
lid	 n. 盖子，盖，囊盖
percent	 adj. 百分之…
Englishman	 n. 英国男子
mature	 adj. 成熟的 v. 使成熟
basketball	 n. 篮球运动；篮球
orbit	 n. 运行轨道 v. 环绕
govern	 v. 统治，治理；支配
expose	 v. 使暴露；揭露
nod	 v. 点（头）；点头表示
ash	 n. 灰，灰末；骨灰
privilege	 n. 特权，优惠
grocer	 n. 食品商；杂货商
numerous	 adj. 为数众多的；许多
swift	 adj. 快的；反应快的
arise	 v. 出现；由…引起
foremost	 adj. 最初的；第一流的
wage	 v. 开展（运动）
implication	 n. 含义，暗示，暗指
childish	 adj. 孩子的；幼稚的
name	 n. 名字；名誉 v. 说出
prefer	 v. 更喜欢
exact	 adj. 确切的；精确的
often	 adv. 经常，常常
residence	 n. 居住；驻扎；住处
flood	 n. 洪水 v. 淹没
generation	 n. 一代，一代人；产生
permanent	 adj. 永久的；持久的
genius	 n. 天才，天赋，天资
desert	 n. 沙漠 v. 离弃；擅离
nerve	 n. 神经；勇敢，胆量
northern	 adj. 北方的，北部的
specialize	 v. 成为…专家；专攻
emergency	 n. 紧急情况，突然事件
hen	 n. 母鸡；雌禽
act	 v. 行动；见效 n. 行为
one	 num. 一 pron. 一个人
argument	 n. 争论，辩论；理由
painter	 n. 画家，绘画者；漆工
division	 n. 分，分配；除法
burst	 v. 使爆裂 n. 爆炸
closely	 adv. 紧密地；接近地
church	 n. 教堂，礼拜堂；教会
track	 n. 行踪；路径；轨道
chase	 n. 追逐，追赶；追求
note	 n. 笔记；便条；注释
attract	 v. 吸引；引起……的兴趣；诱惑
both	 pron. 两者（都）
brilliant	 adj. 光辉的；卓越的
consume	 v. 消耗，消费；消灭
axis	 n. 轴，轴线；中心线
plastic	 adj. 可塑的 n. 塑料
relation	 n. 关系，联系；家属
succession	 n. 连续；继任，继承
weaken	 v. 削弱
officer	 n. 官员；干事；军官
keep	 v. 保持；坚持
electronics	 n. 电子学
optimistic	 adj. 乐观的；乐观主义的
permission	 n. 允许，许可，同意
brick	 n. 砖，砖块；砖状物
loose	 adj. 松的；宽松的
welfare	 n. 幸福；福利
paper	 n. 纸；官方文件；文章
former	 adj. 在前的 n. 前者
truth	 n. 事实；真理；真实性
impose	 v. 把…强加；征（税）
neglect	 v. 疏忽；忽视，忽略
harm	 n. 伤害，损害 v. 损害
pie	 n. （西点）馅饼
pioneer	 n. 拓荒者；先驱者
mystery	 n. 神秘；神秘的事物
determination	 n. 决心；决定；确定
reply	 v. 回答，答复 n. 回答，答复
department	 n. 部，司，局，处，系
cake	 n. 饼，糕，蛋糕
parcel	 n. 包裹，小包，邮包
status	 n. 地位，身分
edge	 n. 边缘，边；刀口
refusal	 n. 拒绝
kettle	 n. 水壶；锅
positive	 adj. 积极的；确定的
gaze	 v. 凝视，盯，注视
close	 v. 关，闭；结束
presence	 n. 出席，到场；在
production	 n. 生产；总产量
foolish	 adj. 愚蠢的；鲁莽的
found	 v. 创立，创办；建立
whisper	 v. 低声地讲
gather	 v. 聚集；集合；收集
captive	 n. 俘虏，被监禁的人
colonel	 n. 陆军上校；中校
hateful	 adj. 可恨的，可恶的
routine	 n. 例行公事 adj. 日常的
mess	 n. 混乱，混杂，肮脏
pronounce	 v. 发…的音；宣布
correspond	 v. 相符合；相当
blank	 adj. 空白的 n. 空白
consequence	 n. 结果，后果
hello	 int. 喂
slit	 n. 裂缝 v. 切开，撕开
chalk	 n. 白垩；粉笔
midday	 n. 正午，中午
despise	 v. 鄙视，蔑视
humour	 n. 幽默，诙谐，幽默感
volt	 n. 伏特，伏
roller	 n. 滚筒，滚轴；滚柱
navigation	 n. 航行；航海术
establishment	 n. 建立，设立，确立
needle	 n. 针；编织针
torch	 n. 手电筒；火炬，火把
another	 det. 再一个的；别的
bubble	 n. 泡 v. 冒泡，沸腾
vary	 v. 改变；使多样化
finger	 n. 手指；指状物
charming	 adj. 迷人的，可爱的
abstract	 adj. 抽象的 n. 摘要
endless	 adj. 无止境的
fast	 adj. 快的；偏快的 adv. 快
painful	 adj. 使痛的；费力的
import	 n. 输入，进口 v. 输入，进口
additional	 adj. 附加的，追加的
die	 v. 死，死亡；灭亡
abnormal	 adj. 不正常的；变态的
peasant	 n. 农民
hydrogen	 n. 氢
heel	 n. 脚后跟，踵；中文释义: 后跟
base	 n. 基础，底层；基地
uncover	 v. 揭开…的盖子
interior	 adj. 内的；内地的内部 n. 内部
chain	 n. 链，链条
slippery	 adj. 滑的，使人滑跤的
historical	 adj. 历史的，有关历史的
mechanically	 adv. 机械地
myself	 pron. 我自己；我亲自
signal	 n. 信号 v. 发信号
thoughtful	 adj. 体贴的；沉思的
discipline	 n. 纪律；训练 v. 训练
draft	 n. 草稿；汇票 v. 起草
performance	 n. 演出；表现；履行
workshop	 n. 车间，工场；创作室
listener	 n. 听众之一；听者
paint	 v. （给…）上油漆；画，绘画
generate	 v. 发生；引起
resist	 v. 抵制；抵抗
sensitive	 adj. 敏感的；灵敏的
perform	 v. 演出；履行，执行
fertilizer	 n. 肥料
reinforce	 v. 加强；增援，支援
recognize	 v. 认识，认出；承认
okay	 convention. 对，好
police	 n. 警察；警察当局
forth	 adv. 向前；向外，往外
reproduce	 v. 繁殖，生殖
framework	 n. 框架，构架，结构
gracious	 adj. 有礼貌的；仁慈的
screw	 n. 螺旋，螺丝 v. 拧紧
pause	 n. 中止，暂停 v. 中止，暂停
cheese	 n. 奶酪，干酪
sleeve	 n. 袖子，袖套
donkey	 n. 驴
vacant	 adj. 空的；未被占用的
expense	 n. 花费，消费；费用
lead	 n. 铅，铅制品
friendship	 n. 友谊；友好
bare	 adj. 赤裸的；仅仅的
athlete	 n. 运动员；田径运动员
regarding	 prep. 关于
commonly	 adv. 普通地，一般地
magic	 n. 魔法，巫术；戏法
cook	 v. 烹调，煮；烧菜
intend	 v. 想要，打算；意指
powder	 n. 粉末；药粉；火药
pitch	 n. 沥青
ninth	 num. 第九 n. 九分之一
filter	 v. 过滤 n. 过滤器
deal	 n. 买卖；待遇
collect	 v. 收集；收款
conjunction	 n. 接合，连接；连接词
bond	 n. 债券，公债；联结，联系
jail	 n. 监狱 v. 监禁
arrangement	 n. 安排；整理，排列
competent	 adj. 有能力的
section	 n. 切片；一段；部分，部门
confusion	 n. 混乱；骚乱；混淆
mercy	 n. 仁慈，慈悲，恩惠
successive	 adj. 连续的；接连的
pour	 v. 灌，倒；倾泻
couple	 n. 夫妇；（一）对；几个
mention	 v. 提及，说起 n. 提及，说起
stake	 n. 赌金；桩；奖品
decide	 v. 决定，决心；解决
conscious	 adj. 意识到的；有意的
companion	 n. 同伴；共事者；伴侣
football	 n. 足球
careful	 adj. 仔细的；细致的
receive	 v. 得到；收到；接待
nowhere	 adv. 任何地方都不
settle	 v. 安排；安放；调停
sign	 n. 符号；招牌 v. 签名
hide	 v. 把…藏起来；隐瞒
architecture	 n. 建筑式样；建筑学
daylight	 n. 白昼，日光；黎明
entitle	 v. 给…权利（或资格）
legend	 n. 传说，传奇
appropriate	 adj. 适当的，恰当的
crust	 n. 面包皮；硬外皮
existence	 n. 存在，实在；生活
territory	 n. 领土，版图；领域
outlet	 n. 出口；出路；排遣
compare	 v. 比较，对照；比作
emotional	 adj. 感情的，情绪的
subtract	 v. 减，减去，去掉
Italian	 adj. 意大利的 n. 意大利人
density	 n. 密集，稠密；密度；〔物质的〕密度
drunk	 adj. 醉的；陶醉的
magazine	 n. 杂志，期刊
patience	 n. 忍耐，容忍，耐心
direction	 n. 方向，方位；指导
job	 n. 职业；工作；零活
practise	 v. 练习，实习，训练
slope	 n. 倾斜；斜面 v. 倾斜
ankle	 n. 踝，踝节部
dead	 adj. 死的，无生命的
sphere	 n. 球，圆体；范围
me	 pron. （宾格）我
develop	 v. 发展；形成；开发
immense	 adj. 巨大的；极好的
rabbit	 n. 兔子
outset	 n. 开始，开端
disguise	 v. 隐瞒，掩埋 n. 假装
brisk	 adj. 活泼的；清新的
keyboard	 n. 键盘
onion	 n. 洋葱，洋葱头
energy	 n. 活力；精力；能；能量
shriek	 v. 尖声喊叫 n. 尖叫声
elaborate	 adj. 复杂的；精心制作的
horse	 n. 马；马科动物
requirement	 n. 需要；要求
grain	 n. 谷物，谷粒；颗粒
moment	 n. 时刻；片刻，瞬间
occurrence	 n. 发生，出现；事件
deed	 n. 行为；功绩；劣迹；契约
owl	 n. 猫头鹰，枭
isolate	 v. 使隔离，使孤立
collection	 n. 收藏品；搜集，收集
container	 n. 容器；集装箱
knife	 n. 小刀，刀，餐刀
ignore	 v. 不顾，不理，忽视
sufficient	 adj. 足够的，充分的
proposal	 n. 提议，建议；求婚
milk	 n. 乳，牛奶 v. 挤（奶）
exercise	 n. 锻炼；训练 v. 练习
shortly	 adv. 立刻；简短地
retire	 v. 退休；退职；就寝
communist	 n. 共产党员
supplement	 n. 增补物，补充物 v. 增补，补充
betray	 v. 背叛；辜负；泄漏
meal	 n. 膳食，一餐
August	 n. 八月
during	 prep. 在…期间
brief	 adj. 短暂的；简短的
astonish	 v. 使惊讶，使吃惊
security	 n. 安全工作；安全；安全感
tremble	 v. 发抖，哆嗦；摇动
inferior	 adj. 下等的；劣等的
marble	 n. 大理石
inventor	 n. 发明者；发明家
metal	 n. 金属，金属制品
efficiency	 n. 效率；效能；功效
high	 adj. 高的；高级的 adv. 高
born	 adj. 天生的；出生的
destroy	 v. 破坏；消灭；打破
heating	 n. 加热，供暖
comprise	 v. 包含，包括；构成
ease	 n. 容易；舒适 v. 缓和
liberation	 n. 解放
wholly	 adv. 完全地，全部
split	 v. 被劈开；劈开
basin	 n. 洗脸盆；盆；盆地
weed	 n. 杂草，野草 v. 除草
calm	 adj. 静的，平静的
sweater	 n. 厚运动衫，毛线衫
shear	 v. 剪；剥夺
swallow	 n. 燕子
greet	 v. 问候，招呼；反应
practical	 adj. 实践的；实用的
basically	 adv. 基本上
conductor	 n. 售票员；（乐队）指挥
naturally	 adv. 自然地；天然地
undertake	 v. 从事；承担；保证
despair	 n. 绝望 v. 绝望
nose	 n. 鼻子
morning	 n. 早晨，上午
mild	 adj. 温柔的；和缓的
interrupt	 v. 打断，打扰；中止
period	 n. 时期；学时；句号
loaf	 n. 一条面包，一个面包
resistance	 n. 抵抗；抵制；抵抗力
enforce	 v. 实施，执行；强制
definitely	 adv. 一定地，明确地
flow	 v. 流动；飘垂；涨潮
grow	 v. 增长；生长
federal	 adj. 联邦的；联盟的
agent	 n. 代理人，代理商
lively	 adj. 活泼的
utility	 n. 效用，有用，实用
establish	 v. 建立，设立；确立
distinct	 adj. 与其它不同的
interval	 n. 间隔；休息；间距
motor	 n. 发动机；机动车
brute	 n. 禽兽，畜生
account	 n. 记述；解释；账目
gramme	 n. 克（重量单位）
absence	 n. 缺席，不在场；缺乏
operation	 n. 手术；操作；运算
crash	 v. 碰撞，坠落 n. 碰撞
beef	 n. 牛肉；菜牛
heap	 n. （一）堆；大量
deposit	 v. 使沉淀；存放
displease	 v. 使不愉快，使生气
appoint	 v. 任命，委任；约定
bound	 adj. 一定的；有义务的
merely	 adv. 仅仅，只不过
besides	 adv,prep. 而且；除…之外
park	 n. 公园；停车场
nineteen	 num. 十九，十九个
depress	 v. 使沮丧；按下
cry	 v. 哭，哭泣；叫喊
into	 prep. 进，入；进入到
maths	 n. （英）数学
significance	 n. 意义，意味；重要性
bag	 n. 袋，包，钱包，背包
crack	 n. 裂缝，裂纹 v. 爆裂
certainty	 n. 必然；肯定
lazy	 adj. 懒惰的，懒散的
effect	 n. 结果；效果，效力
hurt	 v. 使受伤；使痛心
block	 n. 街区 v. 堵塞，拦阻
hillside	 n. （小山）山腰，山坡
specialist	 n. 专家
worm	 n. 虫，蠕虫
dictionary	 n. 词典，字典
cabbage	 n. 洋白菜，卷心菜
date	 n. 日期 v. 注…日期
warmth	 n. 暖和，温暖；热烈
latter	 adj. （两者中）后者的
indoors	 adv. 在室内，在屋里
helicopter	 n. 直升机
leg	 n. 腿，腿部
quality	 n. 质量；品质；特性
command	 v. 命令；指挥；控制
preference	 n. 偏爱；优先；优先权
actually	 adv. 实际上；竟然
secondary	 adj. 第二的；次要的
academy	 n. 专科院校；私立中学
report	 v. 报告；汇报
magnet	 n. 磁铁，磁石，磁体
none	 pron. 没有人；没有一点 adv. 毫不
large	 adj. 大的；巨大的
corporation	 n. 公司，企业；社团
thorough	 adj. 彻底的；详尽的
chin	 n. 颏，下巴
nearby	 adj. 附近的 adv. 在附近
react	 v. 作出反应；有影响
map	 n. 地图；图；天体图
vinegar	 n. 醋
article	 n. 文章；物品；条款
angle	 n. 角，角度
zone	 n. 地区，区域，范围
rail	 n. 横条，横杆；铁轨
holy	 adj. 神圣的；圣洁的
copy	 n. 抄件 v. 抄写，复制
elephant	 n. 象
hasten	 v. 催促；赶紧
helpless	 adj. 无助的；无能的
mutter	 v. 轻声低语；抱怨
musical	 adj. 音乐的
silk	 n. 蚕丝，丝，丝织品
agency	 n. 经办；代理；代理处
conflict	 n. 争论；冲突；斗争
anything	 pron. 任何事物；一切
outskirt	 n. 外边，郊区
peculiar	 adj. 特有的；特别的
index	 n. 索引；指数；指标
anxious	 adj. 忧虑的；渴望的
likely	 adj. 可能的 adv. 很可能
mat	 n. 席子；草席；垫子
cushion	 n. 垫子，坐垫，靠垫
flock	 n. 羊群，群；大量
mislead	 v. 将…引入歧途，误导
vague	 adj. 模糊的；含糊的
generator	 n. 发电机；发生者
concrete	 n. 混凝土；具体物
scatter	 v. 撒；散播；使消散
brake	 n. 闸，刹车 v. 制动
brain	 n. 脑，脑髓；脑力
commander	 n. 司令官，指挥员
arrest	 v. 逮捕，拘留；阻止
limb	 n. 肢，臂，翼；树枝
highway	 n. 公路；大路
quite	 adv. 完全；相当；的确
disposal	 n. 丢掉，处理，销毁
analyse	 v. 分析，分解，解析
flight	 n. 航班；飞行；逃跑
consistent	 adj. 坚持的，一贯的
repetition	 n. 重复，反复
inform	 v. 通知，向…报告
flat	 adj. 平的，扁平的
idea	 n. 想法；思想；意见
blue	 adj. 蓝色的 n. 蓝色
married	 adj. 已婚的；婚姻的
kitchen	 n. 厨房，灶间
bridge	 n. 桥，桥梁；桥牌
spare	 v. 抽出；拨出；留出；匀出 adj. 多余的
deepen	 v. 加深；深化
anyone	 pron. 任何人
envelope	 n. 信封；封套；封皮
glare	 v. 瞪眼 n. 瞪眼
fault	 n. 缺点；过失；故障
calculation	 n. 计算，计算结果
driver	 n. 驾驶员，司机
airport	 n. 机场，航空站
intermediate	 adj. 中级的；中间的
location	 n. 位置，场所
unlike	 adj. 不同的 prep. 不象…
detect	 v. 察觉，发觉；侦察
fresh	 adj. 新的；新鲜的
chance	 n. 机会，机遇；可能性
cement	 n. 水泥；胶泥 v. 粘结
release	 v. 释放；放松；发表
extra	 adj. 额外的 adv. 特别地
drill	 n. 钻头；操练 v. 钻孔
accessary	 n. 同谋，从犯
dwelling	 n. 住处，寓所
hardly	 adv. 几乎不，简直不
dance	 v. 跳舞；摇晃 n. 舞
atomic	 adj. 原子的；原子能的
omit	 v. 省略，省去；遗漏
neck	 n. 颈，脖子
lady	 n. 女士，夫人；贵妇人
announcer	 n. 播音员
engineering	 n. 工程；工程学
formula	 n. 公式，式
law	 n. 法律；法令；法则
lieutenant	 n. 陆军中尉；副职官员
dependent	 adj. 依靠的，依赖的
utmost	 adj. 最大的 n. 极限
begin	 v. 开始
cooperate	 v. 合作，协作；配合
rush	 v. 冲，奔；催促
grieve	 v. 悲痛；使悲痛
gymnasium	 n. 体育馆，健身房
brim	 n. 边，边缘；帽沿
variety	 n. 多样化；种类；变种
construct	 v. 建造；建设；构筑
ant	 n. 蚂蚁
lovely	 adj. 可爱的；令人愉快的
principle	 n. 原则，原理
shelter	 n. 隐蔽处；掩蔽，庇护
uniform	 adj. 一样的 n. 制服
promise	 n. 诺言 v. 允诺
handkerchief	 n. 手帕
international	 adj. 国际的，世界（性）的
shade	 n. 荫；遮光物 v. 荫蔽
country	 n. 国家，国土；农村
punctual	 adj. 严守时刻的；准时的
bend	 v. 使弯曲；弯曲
diligent	 adj. 勤勉的，勤奋的
learned	 adj. 有学问的；学术上的
prescribe	 v. 开处（方）；命令
gum	 n. 口香糖；树胶
lock	 n. 锁 v. 锁上，锁住
relativity	 n. 相对性；相对论
