access	 v. 获取 n. 接近，入口
release	 v. 释放；发布
explore	 v. 探索
profound	 adj. 深厚的
exploit	 v. 开采
startup	 n. 启动，开办
constructive	 adj. 建设的，建设性的
unbearable	 adj. 无法忍受的
laundry	 n. 要洗的衣服；刚洗过的衣物；洗衣房
seize	 v. 抓住
poison	 v. 使中毒
bakery	 n. 面包店
tent	 n. 帐篷
wedding	 n. 婚礼
fair	 n. 集市
geographic	 adj. 地理的
comprehensive	 adj. 综合的，全面的
riot	 n. 暴乱
conspicuous	 adj. 显著地
block	 v. 阻碍 n. 街区
acute	 adj. 敏锐的
endure	 v. 忍耐；容忍
assembly	 n. 装配
opponent	 n. 对手
confront	 v. 面对
stir	 v. 搅动；煽动，激起
rocket	 n. 火箭 v. 猛增
attribute	 v. 归因于
sentence	 n. 判决 v. 判决
tempting	 adj. 诱人的，吸引人的
commitment	 n. 承诺，保证
feasible	 adj. 可行的；可能的；可用的
outcome	 n. 结果
diligent	 adj. 勤奋的
deprive	 v. 剥夺，夺去，使丧失
grid	 n. 输电网
distribute	 v. 分发
destruction	 n. 破坏
divide	 v. 分开
highlight	 v. 突出；强调 n. 突出的部分
justify	 v. 证明……正当
announce	 v. 宣布，声称
proposal	 n. 提议
advisory	 n. 报告，警告
mystery	 n. 迷，神秘的事物
punctual	 adj. 准时的
derive	 v. 得到，导出
harmony	 n. 和谐
unwilling	 adj. 不愿意的
view	 v. 看待
financial	 adj. 财政的，经济的
priority	 n. 优先，优先权
impermanent	 adj. 非永久（性）的；不持久的，暂时的
symbolize	 v. 象征
bankrupt	 adj. 破产的，倒闭的
intake	 n. 摄入
addiction	 n. 上瘾
productive	 adj. 富有成效的
admire	 v. 钦佩，称赞
reflect	 v. 反映
underline	 v. 强调
representative	 n. 代表
blame	 v. 指责，责怪
retrain	 v. 再教育；再训练
tasteless	 adj. 无味的
excessive	 adj. 过度的
dishonest	 adj. 不诚实的
caution	 n. 小心，谨慎 v. 警告，告诫
glorious	 adj. 辉煌的
pointless	 adj. 无意义的
significant	 adj. 重要的
mutual	 adj. 相互的
temptation	 n. 诱惑，引诱
passive	 adj. 被动的
evolve	 v. 使发展
treasure	 v. 珍爱
shock	 v. 感到震惊
disservice	 n. 伤害，帮倒忙
ambitious	 adj. 有雄心的，野心勃勃的
fancy	 adj. 华丽的；别致的
accumulate	 v. 积累，增加
fuss	 n. 大惊小怪
ultimately	 adv. 最后，最终
showmanship	 n. 主持演出的技巧
cancel	 v. 取消
regulate	 v. 管理
peer	 n. 同龄人
calculate	 v. 计算
virtually	 adv. 几乎，差不多
accustom	 v. 使习惯
retailer	 n. 零售商
programmer	 n. 程序设计员
advice	 n. 建议
admiration	 n. 钦佩，称赞
courageous	 adj. 有勇气的
respectful	 adj. 有礼貌的，尊重的
makeup	 n. 化妆品
reservation	 n. 预定
apply	 v. 申请；应用
demonstrate	 v. 证明；展示
generation	 n. 一代人；产生
chat	 v. 聊天
ancient	 adj. 古代的
evil	 n. 邪恶，罪恶
indifferent	 adj. 冷漠的
namely	 adv. 即，也就是
effect	 n. 影响
devote	 v. 奉献，致力于
appointment	 n. 约会
appoint	 v. 任命，委派；约定，确定，指定
resemble	 v. 像，相似
assemble	 v. 集合；组装；集合
expressiveness	 n. 表达
visibility	 n. 能见度
distracted	 adj. 分心的
debt	 n. 债务
substitute	 n. 代替者 v. 代替
insecure	 adj. 不安全的
chap	 n. 小伙子，小家伙，家伙
selective	 adj. 选择的,精选的
compensation	 n. 弥补，补偿
dilemma	 n. 困境
foreseeable	 adj. 可以预见的
inadequacy	 n. 不足
guarantee	 v. 担保 n. 保证，担保
discrimination	 n. 歧视
intense	 adj. 强烈的
facilitate	 v. 使便利，促进
mislead	 v. 误导
reassess	 v. 重新评估
response	 n. 反应
essay	 n. 散文，文章
stimulate	 v. 刺激
dessert	 n. 甜点
peaceful	 adj. 平静的；和平的
regularly	 adv. 定期地，有规律地
fascinate	 v. 强烈地吸引，迷住
durability	 n. 持久
discover	 v. 发现
constitute	 v. 组成
administrative	 adj. 管理的
tremble	 v. 颤抖
ignorant	 adj. 无知的
decorate	 v. 装饰
acquire	 v. 获得
annual	 adj. 每年的
due	 adj. 到期的
situation	 n. 情况
archive	 n. 档案馆，档案室；档案
incomparable	 adj. 无比的，无可匹敌的
perspective	 n. 视角，观点；远景
compete	 v. 竞争
joint	 adj. 联合的
overload	 n. 负担太重
mechanic	 n. 机械师
distinguish	 v. 区别，区分
vote	 v. 投票，选举
everlasting	 adj. 永恒的
construction	 n. 建筑
aggressive	 adj. 挑衅的，好斗的；有上进心的
classification	 n. 分类，级别
melt	 v. 融化
detect	 v. 觉察；检测
discourage	 v. 阻止；使气馁
combination	 n. 联合，结合
grave	 n. 坟墓
malfunction	 n. 失灵，故障
reduce	 v. 减少
respectively	 adv. 各自地
forefinger	 n. 食指
wise	 adj. 聪明的，有智慧的
background	 n. 背景
symbol	 n. 象征，标志
quality	 n. 品质
repave	 v. 再铺，重新铺砌
downfall	 n. （雨等的）大下特下
ring	 n. 拳击台
planet	 n. 行星
pension	 n. 养老金
perception	 n. 感知
facility	 n. 设施
proportion	 n. 比例，部分
involve	 v. 卷入，包含
attempt	 n. 尝试，试图 v. 尝试，试图
conventional	 adj. 传统的
detailed	 adj. 细节的，详细的
interpretation	 n. 阐释，说明
guilt	 n. 有罪，犯罪行为
connectivity	 n. 连接，联系
behave	 v. 表现
instruct	 v. 指导；教授；通知；命令；
infinite	 adj. 无限的
hazard	 n. 危险
undervalue	 v. 低估
specific	 adj. 特定的，具体的
appealing	 adj. 吸引人的
fitness	 n. 健康
conclusion	 n. 结论
absent	 adj. 缺席的
antique	 n. 古玩，古董
myth	 n. 神话
intervention	 n. 干涉
trace	 n. 痕迹
protest	 v. 抗议
refuel	 v. （给）加油，加燃料
tackle	 v. 处理
finance	 n. 财政 v. 资助
fine	 v. 罚款
indicate	 v. 表明
dissatisfy	 v. 不满意
expand	 v. 扩大
spontaneous	 adj. 自发的
offense	 n. 犯罪；冒犯
abruptly	 adv. 突然地
recycle	 v. 循环，再利用
rude	 adj. 粗鲁的
contribute	 v. 捐款，贡献
embarrass	 v. 尴尬
weaken	 v. 减少，减弱
mineral	 n. 矿物
sticky	 adj. 粘的
challenge	 n. 挑战 . v. 质疑
excess	 n. 过量，过度
recruit	 v. 招募，吸收 n. 新兵，新成员
overstate	 v. 夸张，夸大
generalization	 n. 概括
hub	 n. 中心
conservative	 adj. 保守的，传统的
restock	 v. 重新进货，再储存
convict	 v. 证明…有罪
deepen	 v. 使加深，加剧
tank	 n. 油箱，水箱
negative	 adj. 消积的；否定的
accelerate	 v. 加速
territory	 n. 领土，领域
impact	 n. 影响
distraction	 n. 分心；消遣
resolve	 v. 解决；下决心
