act	 v. 表演；举动；起作用 n. 行为，法令；一幕
term	 n. 学期;期限,期间;(pl.)条件,条款;术语
terminal	 adj. 晚期的;终点的;期末的 n. 终点(站);终端
terminate	 v. (使)结束，(使)停止
tin	 n. 罐头；锡 adj. 锡制的 v. 镀锡于
bulletin	 n. 公报,公告,告示
continent	 n. 大陆,洲
continual	 adj. 不断的,连续的,频繁的
continue	 v. 继续,连续,延伸
continuous	 adj. 连续的,持续的
tiny	 adj. 极小的,微小的
contain	 v. 包含，容纳；容忍，抑制；可被...除尽
container	 n. 容器;集装箱
detain	 v. 耽搁;扣押,拘留
entertain	 v. 招待,款待;使娱乐;使欢乐;容纳,接受
entertainment	 n. 招待,款待;表演文娱节目
obtain	 v. 获得,得到
retain	 v. 保持,保留
attain	 v. 达到；完成；获得 v. 达到
tomb	 n. 坟,冢
accustomed	 adj. 惯常的；习惯的，适应的(一般作表语)
atom	 n. 原子；微粒，微量
bottom	 n. 底(部);基础,根基;海底,湖底,河床
custom	 n. 习惯,风俗,惯例;(pl.)海关,关税
customary	 adj. 习惯的,惯例的
customer	 n. 顾客,主顾
tomato	 n. 西红柿
to	 prep. (表示方向)到；向；(表示间接关系)给
abstract	 adj. 抽象的 n. 摘要，梗概 v. 提取；摘录要点
attract	 v. 引起的注意(或兴趣等),吸引；引起；激起
attractive	 adj. 吸引人的，引人注意的；漂亮的，迷人的
contract	 n. (承包)合同/契约 v. 订合同/契约；使缩小
distract	 v. 分散;使分心;打扰;使心情烦乱
extract	 v&n. 拔出,抽出;摘录 n. 抽取物;精华;选集
tractor	 n. 拖拉机,牵引车
subtract	 v. (from)减(去)
vacant	 adj. 空的,未占用的;空缺的;神情茫然的
vacation	 n. 休假,假期
vacuum	 n. 真空,真空吸尘器
evacuate	 v. 撤离，疏散，排泄，剥夺
vague	 adj. 不明确的,含糊的,暧昧的
extravagant	 adj. 奢侈的;过分的;(言行等)放肆的
equivalent	 adj. (to)相等的,等价的 n. 相等物,等价物
evaluate	 v. 估价,评价;求…的值
interval	 n. 间隔,间歇;(幕间或工间)休息
invalid	 n. 病人,伤残人 adj. 有病的,伤残的;无效的
invaluable	 adj. 非常宝贵的,无价的
prevalent	 adj. 流行的,普遍的
valid	 adj. 有效的;有根据的;正当的
valley	 n. (山)谷;流域
valuable	 adj. 贵重的,有价值的 n. (pl.)贵重物品,财宝
value	 n. 价格;价值;实用性 v. 评价,估价;尊重
advent	 n. (重要事件等的)到来，来临
adventure	 n. 冒险，冒险活动，奇遇 v. 大胆进行
avenue	 n. 林荫路，大街；(比喻)途径，渠道，方法
convenience	 n. 便利,方便;(pl.)便利设备
convenient	 adj. (to)便利的,方便的
convention	 n. 大会,会议;惯例,常规,习俗;公约,协定
conventional	 adj. 惯例的,常规的
event	 n. 事件,事情
eventually	 adv. 终于,最后
intervene	 v. (in)干涉,干预;插入,介入
revenge	 n. 报复,复仇 v. 替…报仇
invent	 v. 发明,创造;捏造,虚构
invention	 n. 发明,创造,发明物
inventory	 n. 详细目录,存货,财产清册,总量
prevent	 v. (from)预防,防止,阻止,制止,妨碍
revenue	 n. 财政收入,税收
ventilate	 v. 使通风;给…装通风设备
venture	 v. 冒险,拼;大胆表示 n. 冒险事业,拼,闯
advance	 n. 前进，预付 v. 前进，进展 v. 促进，推进
advantage	 n. 优点，长处，有利条件；利益，好处
van	 n. 有篷汽车;有篷货运车厢
vanish	 v. 突然不见;消失
vanity	 n. 虚荣心,浮华
evade	 v. 逃避，回避；避开，躲避
invade	 v. 入侵,侵略,侵袭,侵扰
invasion	 n. 入侵,侵略,侵犯
verse	 n. 韵文,诗;诗节,诗句
adverb	 n. 副词 adj. 副词的
adverse	 adj. 逆的，相反的；敌对的；不利的；有害的
advertise	 v. 公告，公布；为...做广告 v. 登广告
anniversary	 n. 周年，周年纪念日
average	 n. 平均,平均数 adj. 平均的；普通的 v. 平均
avert	 v. 防止，避免 ；转移(目光、注意力等)
beverage	 n. (水，酒等之外的)饮料
controversial	 adj. 引起争论的,有争议的
controversy	 n. 争论，辩论，争吵
conversation	 n. 会话,谈话
conversely	 adv. 相反地
conversion	 n. 转变，转换；信仰的改变；
convert	 v. 变换,转换；改变（信仰等）；兑换（钱）
diverse	 adj. 多种多样的,(from)不同的
diversion	 n. 转向,转移;牵制;解闷;娱乐
divert	 v. 使转向，使改道；转移(注意力)；使娱乐
inverse	 adj. 相反的,倒转的,反转的 n. 相反之物 v. 倒转
invert	 v. 倒置,倒转,颠倒
reverse	 n. 相反;背面 adj. 相反的 v. 颠倒,倒转
shiver	 v&n. 战栗,发抖
silver	 n. 银;银器;银币 v. 镀银
universal	 adj. 普遍的,全体的,通用的;宇宙的,世界的
universe	 n. 宇宙,万物
university	 n. (综合)大学
verb	 n. 动词
verbal	 adj. 用言辞的,用文字的;口头的;动词的
verge	 n. 边,边缘 v. 濒临
verify	 v. 证实,查证;证明
versatile	 adj. 通用的;多才多艺的,多方面的
version	 n. 版本;译本,译文;说法
versus	 prep. (vs.)…对…(在诉讼,比赛等);与…相对
vertical	 adj. 垂直的,竖的 n. 垂线
very	 adv. 很，非常；完全 adj. 正是的；真正，真实的
volcano	 n. 火山
volume	 n. 容积,体积;卷,册;音量
voluntary	 adj. 自愿的,志愿的
volunteer	 n&v. 自愿(者,兵);自愿(提供)
evolution	 n. 进化,演变,发展,进展
evolve	 v. (使)发展;(使)进化;(使)进展
involve	 v. 卷入,陷入,连累;包含,含有,涉及
revolt	 v&n. 反抗,起义
revolution	 n. 革命;旋转,转数
revolutionary	 adj. 革命的,革新的 n. 革命者
revolve	 v. (使)旋转;考虑;【天】公转,循环
vision	 n. 视力,视觉;远见;洞察力;幻想,幻影;想象力
advisable	 adj. 可取的，适当的，明智的
advise	 v. 忠告，劝告，建议；通知，告知
advice	 n. 劝告，忠告，(医生等的)意见
device	 n. 装置,设备,仪表;方法,设计
devise	 v. 设计;发明;图谋;作出(计划);想出(办法)
division	 n. 分,分割;部门,科,处;除法;分界线
envisage	 v. 想象，设想，展望，正视
invisible	 adj. 看不见的,无形的
provision	 n. 供应,供应品;预备;条款;(pl.)给养
revise	 v. 修订,校订;修正,修改
supervise	 v. 管理,监督
visa	 n. (护照等的)签证;维萨信用卡 v. 签证
visible	 adj. 看得见的, 明显的, 显著的
visit	 n. 访问,参观 v. 访问,参观;视察;降临;闲谈
visitor	 n. 访问者,客人,来宾,参观者
visual	 adj. 看的,看得见的;视觉的
inevitable	 adj. 不可避免的,必然发生的
invitation	 n. 邀请,招待;请柬
invite	 v. 邀请,招待
vital	 adj. 生死攸关的,重大的;生命的,生机的
divide	 v. 分,划分,分开;分配;(by)除
dividend	 n. 红利，股息；回报，效益；被除数
evidence	 n. 明显;显著;根据;证据;迹象
evident	 adj. 明显的,明白的
individual	 adj. 个人的,单独的;独特的 n. 个人,个体
provide	 v. 供应,供给,准备,预防,规定
provided	 conj. 倘若,只要,假如
video	 n. 电视,视频;录像 adj. 电视的,视频的;录像的
vivid	 adj. 鲜艳的;生动的,栩栩如生的
review	 v. 回顾,复习 n. 回顾,复习;评论
view	 n. 视野;风景;观察;见解;照片 v. 观察;认为
viewpoint	 n. 观点
revive	 v. 恢复;(使)复苏
survival	 n. 幸存,生存;幸存者,残存物
survive	 v. 幸免于,幸存;比…长命
vigorous	 adj. 朝气蓬勃的,精力旺盛的
voice	 n. 声音;嗓音;发音能力;意见,发言权;语态
void	 adj. 空虚的;没有的;无效的
avoid	 v. 防止，避免；逃避，避开
victory	 n. 胜利
convict	 v. (经审讯)证明…有罪,宣判…有罪 n. 囚犯
conviction	 n. 深信,确信；定罪，判罪；
advocate	 n. 辩护者，拥护者，鼓吹者 v. 拥护，提倡
vocabulary	 n. 词汇,词汇量;词汇表
vocal	 adj. 声音的;有声的;歌唱的 n. 元音;声乐作品
vocation	 n. 职业;召唤;天命;天职;才能
evoke	 v. 唤起(回忆、感情等)；引起
provoke	 v. 挑动;激发;招惹
