sensible	 adj. 可感觉的；明智的
crush	 v. 压碎，压坏，弄皱，压垮；挤入
condemn	 v. 谴责，迫使；判刑；宣告(建筑)不宜使用
precedence	 n. 在前，优先
organ	 n. 器官；报刊；风琴
staple	 n. 主要产品；名产；纤维；主要成分，主食
differentiate	 v. 区别，区分
engage	 v. 雇用；从事；订婚；吸引；啮合
truant	 n. 旷课者；逃学者
embassy	 n. 大使馆
alienate	 v. 离间，使疏远
obligatory	 adj. (法律或道义上)必须的，应尽的
predominant	 adj. 主要的，占优势的
indifferent	 adj. 不感兴趣的，不关心的，质量不高的
delete	 v. 删除文字，擦去(字迹)
cart	 n. 马车 v. 用车运送，携带
translucent	 adj. 透明的，半透明的
posterity	 n. 后裔，子孙，后代
curriculum	 n. 学校的课程
forgive	 v. 原谅，宽恕
component	 n. 组成部分；零件
granular	 adj. 颗粒状的，细粒的
scrutiny	 n. 细察，调查
wary	 adj. 谨慎的，小心的
relevant	 adj. 有关的，切题的，中肯的
spiritual	 adj. 精神的，心灵的；神圣的，超自然的
hectic	 adj. 闹哄哄的，兴奋的
phenomenal	 adj. 非凡的，出众的，庞大的
guarantee	 n&vt. 保证; 担保，保证人，担保物
lame	 adj. 跛的；瘸的，不能说服人的 v. 使跛
nuance	 n. (意义、意见、颜色)细微差别
destination	 n. 目的地
irrespective	 adj. 不考虑的，不顾的
drudgery	 n. 苦工，重活，单调乏味的工作
saline	 adj. 含盐的；咸的
descent	 n. 下降；斜坡；血流
cognitive	 adj. 认识的
submerge	 v. 放于水下；使沉没
concoct	 v. 调合；编造(故事等)
anxiety	 n. 忧虑；渴望
ungainly	 adj. 笨拙的，难看的
impetus	 n. 动力，原动力，推动，激励
asylum	 n. 避难所；疯人院；避难
conjunction	 n. 连词；联合；连接
one	 a&n&porn. 一
visualize	 v. 使形象化；想象
ephemeral	 adj. 短暂的
pants	 n. 裤子
thermostat	 n. 恒温器
stimulate	 v. 刺激，促进
manufacture	 v. 大量制造加工 n. (大量)制造；产品
defiance	 n. 挑战，挑衅；违抗；蔑视
moreover	 adv. 加之，而且
veto	 n. 否决，否决权，禁止 v. 否决，禁止
combat	 n&vt. 战斗，搏斗
symptom	 n. 症状，症候，征兆
casual	 adj. 偶然的，碰巧的；随便的；临时的
concerted	 adj. 商定的，一致的
subsidiary	 adj. 辅助的；附属的 n. 子公司，附属机构
insolent	 adj. 蛮横的，粗鲁的
permit	 v. 允许；许可 n. 许可证
dreary	 adj. 沉闷的，阴沉的
merit	 n. 价值，优点，功绩 v. 值得，应收
torrent	 n. (湍，激，洪)流
flatter	 v. 阿谀，使高兴；(肖像)等胜过(真人真物)
layoff	 n. 临时解雇，停工
evaluate	 v. 估的价，定的值
vent	 n&vt. 出口；发泄
compact	 adj. 紧密的，紧凑的
productivity	 n. 生产能力；生产率
unconditional	 adj. 绝对的，无条件的
lurk	 v. 埋伏，潜伏
stress	 n. 压力；重压 v. 着重，强调重点，重视
zest	 n. 乐趣；滋味，风味; 兴趣
rival	 n. 竞争者，对手
fragrance	 n. 香味，香气
comply	 v. 遵守，照做
trustworthy	 adj. 可信赖的，可靠的
stain	 n&v. 染料，着色剂，污点，沾污处
patent	 adj. 明显的；获得专利的 n. 专利 v. 取得专利
harassment	 n. 烦忧，困扰
dwarf	 n. 矮子，矮小的动植物 v. 使矮小
appraisal	 n. 估价，评价；鉴定
painstaking	 adj. 极小心的；勤恳的
frail	 adj. 脆弱的；脆弱的
competence	 n. 能力，胜任，权限
airing	 n. 通风；讨论
deny	 v. 否认, 否定，拒绝一项要求"
residence	 n. 居住；住处；住宅
achieve	 v. 完成，达到
intellect	 n. 智力，才智
commonplace	 adj. 普通的，平凡的
drowse	 v&n. 瞌睡
aquatic	 adj. 水产的；(运行)水上的
cheer	 n&v. 振奋，高兴，欢呼
charity	 n. 赈济款、物；慈善团体；博爱
lock	 v&n. 把（…）锁住；被锁住
posthumous	 adj. 遗腹的；父亡后出生的；死后的；身后的
puncture	 n. 小孔，刺孔
aupair	 adj. 国外来的(姑娘)帮助料理家务换取住宿的
corporate	 adj. 社团的；法人的；共同的
proclaim	 v. 宣告，声明
fame	 n. 名声，名誉
trifle	 n. 小事，无价值的东西；少量的钱
pervade	 v. 遍及，弥漫
scar	 n. 伤疤，伤痕，(喻)内心创伤
unconscious	 adj. 无畏的，大胆的
investigate	 v. 调查，调查研究
oasis	 n. (沙漠中的)绿洲
hard	 adj. 坚硬的；困难的；难忍的；严厉的；结实的
orthodox	 adj. 正(传)统的
salvage	 n. (从火灾及其他灾难中)抢救财物救助
confusion	 n. 混乱，混同
exceptional	 adj. 异常的，优越的
drought	 n. 干旱
null	 adj. 无效的，无意义的
fetch	 v. (去)取，拿来；(货物)售的(价钱)
harness	 v. 上挽具；治理；利用 n. 挽具，降落伞背带
trivial	 adj. 琐碎的，不重要的；平常的，平凡的
ease	 v&n. 减轻，放松，小心移置；舒适
furnish	 v. 供应，用家具装备房子
paraphernalia	 n. 随身用品；贴身用品
extent	 n. 广度，长度，程度
instrumental	 adj. 起作用的，有助于，乐器的
exorbitant	 adj. 要价过高的，过分的
combustible	 adj. 易燃的，可燃的 n. 易燃物，可燃物
address	 n. 住址；致词 v. 向致词；在信封上写姓名
junk	 n. 旧货，假货 v. 把(当废物)丢弃
reputation	 n. 名誉，名声
obstruct	 v. 阻塞，堵塞；妨碍
enclosure	 n. 围栏；附件
telecommunication	 n. 电信，电信学
custodian	 n. 保管人，监护人；公共建筑看守
meditate	 v. 深思，仔细思考
oblige	 v. (以誓言或契约等)束缚某人；施惠
versus	 prep. [略作v或vs](诉讼或比赛中)对
timidity	 n. 胆怯
volatile	 adj. (液体)易挥发的；(人)反复无常的
indignant	 adj. 义愤的，愤慨的
seal	 n&v. 海豹；封蜡，封印；印记
sovereign	 adj. 主权的；最高的
cute	 adj. 漂亮的，逗人喜爱的
navigation	 n. 航行；驾驶
shock	 n&vt. (使)震惊
account	 n. 账目；帐户；计算 v. 说明
main	 n. (自来水、煤气等)总管道，干线
repertoire	 n. 全部剧目，全部节目
void	 adj. 空的，空虚的
regarding	 prep. 关于
contract	 n. 合同，契约 v. 缔结；负债；感染；使皱缩
resolve	 v. 解决；决定
virtuous	 adj. 有德行的; 善良的
incredible	 adj. 难以置信的，惊人的
compensate	 v. 赔偿，补偿
hysterical	 adj. 歇斯底里的, 狂热的
hug	 vt&n. 紧抱，拥抱
inhabit	 v. 居住于
tweezers	 n. 镊子
oversee	 v. 监督，监管
lateral	 adj. 侧面的；旁边的
scroll	 n. 卷轴; 纸卷
outset	 n. 开始，开端
locker	 n. (公共场所存衣帽的)小橱柜
imperial	 adj. 帝国的，皇帝的
upkeep	 n. 保养费，维修费
voluntary	 adj. 自愿的，志愿的；有意的
relentless	 adj. 无情的，不仁慈的，残酷的
glide	 vi&n. 滑动，滑翔
splendid	 adj. 壮丽的，辉煌的
freak	 n. 怪诞的思想、行动或事件；畸形的
dynamic	 adj. 精力充沛的；动力的 n. (pl)力学，动力学
cardinal	 adj. 主要的，基本的 n. 深红色；基数
lace	 n. 鞋带；花边
derelict	 adj. 被抛弃的
viable	 adj. 能活的，能生存的
fusion	 n. 熔合，熔接
recede	 v. 后退；向后倾斜
prophecy	 n. 预言，预言能力
ego	 n. 自我，自己，个人思考和感觉能力
muscular	 adj. 肌肉的；肌肉发达的
exterior	 a&n. 外部的；外来的，外表
accommodate	 v. 提供住宿；使适应
violate	 v. 违犯，侵犯
jealous	 adj. 妒忌的；妒羡的
initiate	 v. 创始，着手，介绍某人为(会员等)
concrete	 n. 混凝土 adj. 有形的；具体的 v. 浇混凝土于
unrest	 n. 不安；动荡
apply	 v. 要求，申请
havoc	 n. 大灾难，浩劫
poster	 n. 招贴画，广告；广告画
entangle	 v. 缠住，套住
purge	 v. 净化，洗清
sponsor	 n&v. 发起(人)；主办(人)
title	 n. 标题；题目；称号；法律权利，所有权
steamer	 n. 汽锅，汽船，轮船
scorn	 n. 轻蔑；蔑视
inertia	 n. 呆滞，迟钝，惯性
audition	 n. 试听；试演；面试
meadow	 n. 草地
pamper	 v. 纵容，娇惯
memorandum	 n. 备忘录；便函
reluctant	 adj. 不愿意的，勉强的
ragged	 adj. 褴褛的，外形参差不齐的
tentacle	 n. (动物)触角
territorial	 adj. 领土的，领地的
album	 n. 集邮册；相片册
restore	 v. 恢复；归还
creep	 v. 爬行；缓慢移行；(时间)悄悄过去；蔓延
make	 v. 做
attach	 v. 系上；附上；依恋；认为
galaxy	 n. 星系；一群人
encounter	 vt&n. 遭遇，意外地遇到
suitcase	 n. 衣箱
stall	 n. 分隔栏；售货摊；前排座位
staff	 n. 木棍；杆；工作人员
curtail	 v. 截短，削减
wail	 v. vi大声哀号，恸哭；呼啸，尖啸
thereby	 adv. 借以，从而
mediocre	 adj. 平庸的，平常的
valley	 n. 深谷，山谷
tolerance	 n. 容忍；宽恕
renowned	 adj. 有名望的，声誉鹊起的
conspiracy	 n. 阴谋，同谋
protocol	 n. 礼仪，礼节；外交礼节
picnic	 n&vi. 野餐
dazzle	 v. 眩目，耀眼
malnutrition	 n. 营养不良
plight	 n. 困境; 苦境
afflict	 v. 使痛苦，使苦恼
detergent	 n. 去垢剂，清洁剂
engross	 v. 占用；吸引
score	 n&v. 刻痕；记分；乐谱
awkward	 adj. 难使用的，笨拙的；尴尬的
preserve	 v. 保护；保存
fruition	 n. 实现；完成
cane	 n. 手杖，茎；甘蔗
inhibit	 v. 禁止，抑制；阻止
pilot	 n&vt. 试验；飞行员
logic	 n. 逻辑，逻辑学，条理性
singular	 adj. 非凡的，卓越的
hell	 n. 地狱；阴间；苦境
practical	 adj. 实行的；注重实际的，实用的
shuttle	 n. 梭，滑梭 v. 使穿梭般往返移动
offset	 n. 抵销；补偿
destiny	 n. 命运
disorder	 n&vt. 混乱，骚动，(身心)失调
denial	 n. 拒绝，否认，否定
spin	 v. 纺纱，编结；编造故事
onset	 n. 进攻；开始，发作
native	 adj. 天真的，幼稚的
overwrought	 adj. 过分劳累的，过度兴奋的
roast	 v&a. 烤(的)，烘(的)
survey	 vt&n. 环视，眺望；测量；勘定；检查；概述
profile	 n. 侧面；轮廓
offspring	 n. 子孙后代；动物的幼仔
practicable	 adj. 可实行的；能用的，可行的
discharge	 v&n. 卸货；排出(液体，气体)；释放
chorus	 n&vt. 合唱；齐声说
statute	 n. 法令，法规
latitude	 n. 纬度；地区；(言论，行动的)自由
rot	 v&n. 腐掉
phase	 n. 阶段；月的盈亏；方面;相位vt按计划进行
ruffle	 vt&vi. 扰乱，打扰
diverse	 adj. 多种多样的
wicked	 adj. 坏的；邪恶的
omit	 v. 疏忽，忘记；省略；遗漏
diploma	 n. 毕业证书，文凭
crack	 n. 裂缝，破裂声；v使破裂；噼啪作响；解开
remittance	 n. 汇款(海外)，汇款额
vibrate	 v. 摆动；振动
controversy	 n. 论战
microbe	 n. 微生物
frustrate	 v. 挫败；阻挠
omen	 n. 预兆，征兆
fraught	 adj. 充满的；伴随的
disclose	 v. 透露，泄露
superb	 adj. 壮丽的，头等的
talented	 adj. 有才能的，有才干的
hydrogen	 n. 氢气
stagnant	 adj. 不流动的；不变的，不景气的
obstacle	 n. 障碍
pour	 vt&vi. (液体)倒,注,灌；流入，流出"
respiration	 n. 呼吸作用；一次呼吸；植物光合作用
aware	 adj. 知道的，意识的
sectional	 adj. 各部分组成的，各阶层或不同部分的
crisis	 n. 转折点；危机
procure	 v. (努力)取得；获得
trigger	 n. (枪)扳机 v. 引起，激发
discrete	 adj. 分离的，不相关联的
stabilize	 v. 使稳定，使坚固，使安定
nursery	 n. 保育室，托儿所
apt	 adj. 聪明的；合适的；易于的
whip	 n. 鞭子；政党的组织秘书 v. 鞭笞；抽打
protest	 v. 抗议；申明 n. 抗议；反对
thigh	 n. 大腿，股
trickle	 v&n. (使)滴流，(使)细流
reward	 n&v. 奖赏
outlaw	 n. 被剥夺公民权者 v. 禁止
chisel	 n&vt. 凿子，錾子；凿，雕
ideal	 n. 理想的事物；理想 adj. 完美的，理想的
rivet	 n. 铆钉 v. 铆接，铆牢；集中(目光或注意力)
equitable	 adj. 公平的；公正的
thesaurus	 n. 词典，同类词汇编
penetrate	 v. 穿过；透过
dilate	 v. 使膨胀，扩大
participate	 v. 参与，分享
provision	 n. 准备；供应；条款
emphasize	 v. 强调，加强的语气
plank	 n. 厚板，板材，地板
rig	 v. 给船装帆;为提供必要装备 n. 成套设备
pedal	 n&v. 脚噔，踏板；踩踏板
inert	 adj. 无活动能力的；惰性的
tactic	 n. 策略；战术
plague	 n. 瘟疫；麻烦，祸患
deserve	 v. 应得，应受
communication	 n. 通讯，交往，交流，传达的消息；交通
clinic	 n. 诊所，门诊所
nickel	 n. [化]镍；美国五分镍币
orderly	 adj. 整齐的；有秩序的；有条不紊的
faith	 n. 信任，信仰
upset	 v&n. 倾覆，打乱
sabotage	 n. 故意毁坏，故意破坏，阴谋
slice	 n. 片，部分 v. 切片
fantasy	 n. 幻想，怪念头
expire	 v. 满期，到期
manacle	 n. 手铐 v. 上手铐，束缚
discipline	 n&vt. 训练，纪律，戒律，惩罚
foul	 adj. 恶臭的；邪恶的；暴风雨的n犯规v弄脏
sacred	 adj. 神圣的
suspect	 v. 疑有,猜想;觉得可疑 n. 嫌疑犯 adj. 可疑的"
face	 n. 脸，表情 v. 面向，正视，承认，呈现前
narrative	 n. 故事；叙述
oblong	 n&a. 长方形(的)
sacrifice	 n&v. 献祭；牺牲
pacify	 v. 抚慰；平静；平安；绥靖
cocaine	 n. 可卡因，古柯碱
interpret	 v. 解释，说明，认为的意思；口译
conducive	 adj. 有助于的；有益于的
tremble	 vi&n. 发抖，震颤
rack	 n. 行李架
carton	 n. 纸板箱，塑料箱
perish	 vt&vi. 灭亡，使痛苦；腐朽
scatter	 v. 打散；撒；散布
tension	 n. 紧张局势；情绪紧张；不安状态
exclude	 v. 把某人排除在外，排除(可能性等)
flake	 n&vi. 薄片；撒落
linger	 v. 逗留，徘徊
plug	 n&v. 塞子，栓，插头；通电
truce	 n. 休战
issue	 n. 出版，问题，发行 v. 分发，出版，发行
schedule	 n&v. 时间表；列表
yard	 n. 院，场地；码
navigable	 adj. (江河、海洋)可航行的，可通航的
vehement	 adj. 感情强烈的；热烈的；(人)有强烈感情的
eliminate	 v. 消灭，消除
prejudice	 n. 偏见，成见；(法律)损害，伤害
dual	 adj. 二重的，双的
essential	 n&a. 本质(的)，必要(的)
promote	 v. 开放；促进，宣传
appreciate	 v. 欣赏，感激；涨价
motto	 n. 座右铭，箴言
toddle	 v. (如小孩)蹒跚学步
feud	 n&vt. 长期不和；争吵
census	 n. 人口调查
archaic	 adj. (语言、词汇等)古代的，已不通用的
dissolve	 v. 使液化，融化；使解散
carrier	 n. 运货人；带菌者；运输军队的交通工具
cue	 n. 提示，暗示
impromptu	 a&ad. 无准备的(地)；即兴的(地)
amaze	 v. 使惊奇
weary	 adj. 疲倦的，困乏的；令人厌倦的
assurance	 n. 自信；承诺；保险
automation	 n. 自动化，自动操作
undertake	 v. 同意，答应；着手做某事
pessimism	 n. 悲观；悲观主义
proxy	 n. 代理权，代表权；代理人
heal	 v. 治愈；和解
stale	 adj. 食品不新鲜的；陈旧的
destructive	 adj. 破坏的，破坏性的
pounce	 v. 突然袭击；抓住 n. 突袭，猛扑
deliver	 v. 投递，解救；发表；接生
defy	 v. 公然反抗，蔑视，拒绝服从
delegate	 v. 委派为代表，授权 n. 代表
evade	 v. 回避, 躲避"
hilarious	 adj. 狂欢的，热闹的
septic	 adj. 使腐败的
pave	 v. 铺(路等)
roar	 n&v. 吼叫；轰鸣，怒吼
literature	 n. 文学，文学作品，文献，著作
historic	 adj. 有历史意义的
tune	 n. 曲调，旋律；协调，调动
aggressive	 adj. 侵略的，有闯劲的
identification	 n. 认出，识别；身分证明
fuss	 n. 大惊，小怪 v. 忙乱，使烦躁
geometry	 n. 几何学
transit	 n. 运输，搬运
potent	 adj. 有力的，有效的
transition	 n. 转变，过渡
commotion	 n. 混乱，动乱
tropic	 n. 回归线
assert	 v. 宣称；维护
malleable	 adj. (金属)可锻的;有延展性的;(性格)可训练的
resolution	 n. 坚决，坚定；决定，决议；决心，解决
fleet	 n. 舰队；船队
summary	 n. 摘要，概要 adj. 概括的；即时的
irony	 n. 反话，冷嘲，讽刺性的事件、情况等
perspective	 n. 透视；透视画法；视角，观点
polar	 adj. 南(北)极的；极端相反的
attendant	 n. 服务员；仆人
handicap	 v. 妨碍 n. 障碍，残废
eligible	 adj. 合格的，适宜的
crooked	 adj. 弯曲的，欺诈的
diplomatic	 adj. 外交的；外交手腕的
plough	 n&v. 犁，犁形器具；犁地
riot	 n. 暴乱；骚动；放纵
absorb	 v. 吸收；吸引
parody	 n. 模仿，拙劣的模仿
gear	 adj. 齿轮的；轮的、杠杆等装置的 v. 使相适合
errand	 n. 差使；差事
microcosm	 n. 微观世界；缩影
inapt	 adj. 不适当的，不合适的
decent	 adj. 正当的，合适的；文雅的，尚可的
coeducation	 n. 男女同校
utility	 n. 有用，实用；公用事业(煤气，水电)
sterling	 adj. 金银标准成份的，货真价实的，纯正的
ominous	 adj. 不祥的，不吉利的
erect	 v. 建立，使竖立 adj. 直立的，竖直的
immigrant	 n. 移民，侨民
periphery	 n. (圆体的)外面；周围
execute	 v. 实行，贯彻，实施；处死；演奏
arbitrary	 adj. 任性的，专断的
good	 a &n. 好的，好事
interact	 v. 干预，干涉，触犯，妨碍
spectacular	 adj. 壮观的
layman	 n. 俗人，外行，门外汉
rust	 n&v. 锈，生锈；荒废
elderly	 adj. 年纪相当大的
prolong	 v. 延长，拖延
whereby	 adv. 凭什么，靠那个，借以
jog	 v&n. 轻推，轻撞，缓步前进，漫跑
persist	 v. 坚持；持续
settle	 v. 定居，停留；解决；支付
hawk	 n. 鹰，骗子；鹰派成员
heritage	 n. 传统，遗产
pad	 n. 垫子；拍纸簿 v. 步行，走路
ongoing	 adj. 继续的
souvenir	 n. 纪念品
pastime	 n. 消遣，娱乐
foster	 v. 养育，领养
exaggerate	 v. 夸大，夸张
gracious	 adj. 亲切的，和善的；任慈的
familiar	 adj. 熟悉的，通晓的；亲密的，常见的
physiological	 adj. 生理学的
warehouse	 n. 仓库
solitary	 adj. 独居的，孤独的，惟一的；荒凉的
complication	 n. 结构复杂，麻烦
redeem	 v. 买回，赎回；补偿；补救
turnover	 n. 营业收入；营业额；人员调整，人员更替率
sanction	 n. 批准，认可，赞许；制裁
motivate	 v. 促动；激发
thorn	 n. 刺，荆棘
involve	 v. 使陷入，使卷入，包含
architect	 n. 建筑师；设计师
particle	 n. 颗粒，微粒，[语]小品词
accord	 n. 一致，符合
pay	 n. 工资 v. 支付；有利；给予
pharmaceutical	 adj. 制药的；药物的
insult	 v. 侮辱，凌辱 n. 侮辱的言词或行为
tug	 vt&vi. 用力拉，猛拉，拖拉
constituent	 adj. 有选举权的；组成的 v. 选民；成份
piecemeal	 ad&a. 零碎地，零碎的
decimal	 adj. 十进法的，小数的
starch	 n. 淀粉
invincible	 adj. 无敌的，不能征服的
anchor	 n&v. 锚；危难时可依靠的人或物；用锚泊船
avail	 v. 有益于，有用 n. 用处，利益
isolate	 v. 隔离，孤立
limp	 adj. 柔软的，软弱的 vt&n. 跛行，蹒跚
represent	 v. 代表；声称
dissipate	 v. 消散，消失；浪费，挥霍
intersection	 n. 交**点，十字街口
complement	 n. 补足物，船上的定员；补语 v. 补充，补足
vacuum	 n. 真空
personal	 adj. 个人的；身体的
sulphur	 n. (化学)硫
stride	 v&n. 大踏步走
linen	 n. 亚麻布，衬衣裤
grip	 v&n. 紧握，抓紧，握力；柄
sake	 n. 缘故；目的
piety	 n. 虔诚
concern	 "n. 所关切的事；企业；关心v影响,涉及,关心 n. "
intuition	 n. 直觉，直觉知识
troupe	 n. 剧团，戏班
panel	 n&vt. 镶板，控制板；座谈小组；镶饰
ascent	 n. 上升，上坡
anthem	 n. 赞美诗，圣歌
traverse	 v. 横越，穿过
qualify	 v. (使)合格
manifold	 adj. 多样的；种种的
oriental	 a&n. 东方的；东方人
fracture	 n. 碎片，片断；分数
snap	 v. out v. of it从. 中迅速恢复过来；改变
capture	 vt&n. 捕获，俘虏，夺得；战利品
kidney	 n. 肾，腰子
disaster	 n. 灾难，祸患
customary	 adj. 通常的；惯例的
tentative	 adj. 暂时的；试验性的
figure	 n. 数字，算术，图形，人物 v. 相信，计算
undergo	 v. 经历，遭受
sprawl	 v. 植物蔓生；城市无计划扩张
trek	 v. 长途跋涉；旅行
equation	 n. 方程式，等式
mould	 n. 模子，模型；模制品
depict	 v. 描写，描绘
grease	 n. 动物脂肪；油脂状物 v. 涂油脂于
insolvent	 adj. 无偿债能力的
misery	 n. 悲惨，痛苦的事
zeal	 n. 热心，热情
erupt	 v. 喷发，爆发
compliance	 n. 遵守，依从
apparent	 adj. 明显的，表面上的
ore	 n. 矿石
temper	 n. 心情；怒气，脾气 v. 使软化，使缓和
atlas	 n. 地图册；图表集
fuse	 n. 导火线，引信，保险丝 v. 熔，烧断电路
antecedent	 a&n. 先行的；祖先；履历
inflict	 v. 使遭受，强加
glossary	 n. 词汇表；术语汇编
declare	 v. 宣告，声明；断言；申报应纳税物品
generate	 v. 使产生，使发生
regeneration	 n. 新生，更新
jagged	 adj. 边缘不整齐的，参差不齐的
impressive	 adj. 给人深刻印象的，惊人的
parallel	 adj. 平行的，相当的 n. 类似的人或事，比较
patio	 n. 天井
overdue	 adj. 过期未付的
amount	 vi&n. 等于；总数；数量
cast	 n&v. 投，掷，抛；铸造；扮演角色
lodging	 n. 寄宿，住所；(大学生的)校外宿舍
dingy	 adj. 脏的，邋遢的
temperament	 n. 性情，气质
shabby	 adj. 破旧的，褴褛的，卑鄙的，不公平的
foremost	 a&ad. 最重要的(地)，第一流的(地)
merge	 vt&vi. (企业)兼并，合并
attorney	 n. 律师
militant	 adj. 好斗的
wrinkle	 n. 皱纹
maintain	 v. 维持；抚养；坚持；维修
editorial	 n. 社论 adj. 编辑的，编者的
kin	 n. 家族、亲属
contend	 v. 斗争，竞争，争论
partition	 n. 分开，分割
outbreak	 n. (战争、愤怒等)爆发
authoritative	 adj. 有权威的；命令的；可靠的
slippery	 adj. 表面光滑的，(人)不老实的，不可靠的
goal	 n. (足球)球门；得分；目标
outstrip	 v. 胜过，超过
preceding	 adj. 在前的，在先的
transform	 v. 改变(形状性质等)
skim	 v. 浏览，略读；掠过，抹去
insure	 v. 给…保险
debris	 n. 碎片，瓦砾堆
hemisphere	 n. 半球，(地球的)半球
dominant	 adj. 支配的，统治的
antonym	 n. 反义词
emerge	 v. 出现，浮现，暴露
squeeze	 vt&vi. 榨，挤
nicety	 n. 细微的区别及差异
role	 n. 角色，任务
remind	 v. 提醒
torture	 vt&n. 拷打，折磨，使受剧烈痛苦
condense	 v. 浓缩；冷凝；精简
exclusively	 adv. 专门地，排除其他地
integral	 adj. 构成整体所必需的，完整的
token	 n&a. 标专，记号；象征性的
shift	 v. 转变，移动 n. 位置转移，性格转变；轮班
taxation	 n. 税制，税项
tow	 vt&n. 拖；拉
reliable	 adj. 可靠的，可信赖的
deft	 adj. 灵巧的，熟练的
potion	 n. (药等的)一服；一剂
disarray	 n&vt. 弄乱，扰乱
overall	 adj. 包括一切的，全部的 n. 罩衫，工装裤
resource	 n. 资源；机智
species	 n. 生物的种；种类
platform	 n. 月台，站台；讲台；(政党的)政纲，党纲
elastic	 adj. 弹性的，有伸缩性的 n. 橡皮圈
tenancy	 n. 租赁；租期
minimal	 adj. 最小的；最低限度的
inevitable	 adj. 不可避免的，照例必有的
contradict	 v. 反驳，否认，同矛盾
subsidy	 n. 补助金；津贴费
flare	 vi&n. 熊熊燃烧，突然燃烧，火光 v&n. 张开
digest	 v. 消化；领会，融会贯通 n. 文摘，摘要
din	 n&v. 喧闹，嘈杂
shoal	 n. 鱼群
hasty	 adj. 急速的；匆促的
insulate	 v. 使绝缘，使绝热，隔离
colony	 n. 殖民地；侨民
repent	 vi&vt. 悔悟，后悔
illusion	 n. 幻象，错觉
enrolment	 n. 登记，入学
chaos	 n. 混乱，纷乱
pine	 v. 消瘦，衰弱 n. 松树
transfuse	 v. 给输血
comic	 adj. 喜剧的，滑稽的n连环漫画杂志；喜剧演员
infectious	 adj. 传染的；感染性的
liable	 adj. 有倾向的；可能遭受的；有责任的
composite	 adj. 合成的，复合的
moustache	 n. (嘴唇上面的)胡子
acquaint	 v. 使认识；使熟悉
adjoin	 v. 贴近，与毗连
sphere	 n. 球，球面；天体；(兴趣,活动,势力等)范围 "
anecdote	 n. 轶事，趣闻
compartment	 n. 分隔间；火车车厢的分隔间
durable	 adj. 耐用的 n. 耐用品
growl	 v&n. 嗥叫；轰鸣；咆哮着说
submit	 v. (使)服从；提交
arrogant	 adj. 傲慢的，自负的
persecute	 v. 迫害；烦扰
slot	 n. 狭缝；槽沟
access	 n. 通路
terrestrial	 adj. 地球上的，陆地的
crater	 n. 火山口; 弹坑
charge	 v. 指控；控告；冲锋；要价；充电
nurture	 n&vt. 养育，培育，教养
splash	 v&n. 溅水，泼水；显示，鼓吹
modest	 adj. 谦让的，适度的；有礼貌的
inspiration	 n. 灵感，鼓舞人心的人或事，好主意
doubtless	 adv. 无疑地
version	 n. 描述，译文；说法
slack	 adj. 懈怠的；萧条的；呆滞的；松驰的；不紧的
correlate	 v. (使)相关联
subside	 v. 洪水退落；土地下沉；建筑物沉降
donation	 n. 捐款，捐赠
feel	 v&n. 感觉，摸，感知；同情
piracy	 n. 海上掠夺；侵犯版权
oscillate	 v. 摆动，振动；踌躇，犹豫
norm	 n. 标准，规范
trample	 v. 踩，践踏；蔑视，粗暴对待
compliment	 n. 敬意，赞扬；问候 v. 恭维；称赞
genuine	 adj. 真正的，名副其实的
fancy	 adj. 颜色鲜艳的;奇特的n&v想象力,设想,爱好
augment	 v. 增大，增加
smart	 adj. 漂亮的；聪明的；轻快的
gaudy	 adj. 绚丽的
generalize	 v. 概括，归纳
carpenter	 n. 木工，木匠
sincere	 adj. 真挚的；诚恳的
glimmer	 vi&n. (发)微光；少许，微量
muster	 v. 集合，检阅，集中
gene	 n. 基因
devastating	 adj. 破坏性的，毁灭性的
decree	 v&n. 法令，判决
reservoir	 n. 水库；蓄水池
jeopardize	 v. 使受危害，使陷险境
sterilize	 v. 使不结果实；使绝育；使无效；杀菌
deadlock	 n. 僵局，僵局
chant	 n. 圣歌，赞美诗 v. 唱，歌颂
rupture	 n&v. 破裂
ritual	 n. 宗教仪式，典礼；仪式的程序 adj. 仪式的
gaol	 n&vt. 监狱，监禁
leaflet	 n. 散页的印刷品，传单
subsequent	 adj. 接着的，然后的
aviation	 n. 航空(学)
fraud	 n. 诈骗，骗子
initial	 adj. 最初的 n. 人名的首字母 v. 签名首字母于
erase	 v. 擦掉，抹掉
readily	 adv. 迅速地；容易地
limb	 n. 肢；翼；翅膀；大树枝
mint	 n. 薄荷；造币厂
pitch	 n. 球场；声音的高低度；沥青；程度v投掷
counter	 n. 柜台 v. 反对，反击
dedicate	 v. 奉献，供奉，题献(著作)
vindicate	 v. 为辩白；证明正确
current	 adj. 当前的；通用的；流行的 n. 水流；气流
flaunt	 v. 夸耀，夸饰
parliament	 n. 议会，国会
specification	 n. 载明，详述；规格，清单，说明书
anniversary	 n. 周年纪念
homestay	 n. 在当地居民家居住
scan	 v. 细看；浏览
grace	 n. 恩惠；优美；善意；饭前后祷告 v. 使优美
cite	 v. 引用，传讯；举例
tranquility	 n. 安静，平静
severe	 adj. 严重的；严厉的，剧烈的
excess	 n. 超越；超过；暴行 adj. 额外的，附加的
considerate	 adj. 考虑周到的；体谅别人的
distort	 v. 歪曲，弄歪，曲解
corpse	 n. 尸体；被废弃的东西
entity	 n. 实体；存在
