boat	 n. 小船；轮船 v. 划船
join	 v. 参加；结合；连接 n. 结合；连接；接合点
however	 adv. 无论如何；不管怎样（接副词或形容词）；然而；可是 conj. 无论以何种方式; 不管怎样
floor	 n. 地板，地面；楼层；基底；议员席 v. 铺地板；打倒，击倒；（被困难）难倒
quarter	 n. 四分之一；地区；季度；一刻钟；两角五分；节 v. 住宿；驻扎 num. 四分之一
cup	 n. 杯子；奖杯；酒杯 v. 使成杯状；为…拔火罐
machine	 n. 机械，机器；机构；机械般工作的人 v. 用机器制造
rainy	 adj. 下雨的；多雨的 n. (Rainy)人名；(英)雷尼
candle	 n. 蜡烛；烛光；烛形物 v. 对着光检查
complete	 adj. 完整的；完全的；彻底的 v. 完成
chicken	 n. 鸡肉；小鸡；胆小鬼，懦夫 adj. 鸡肉的；胆怯的；幼小的
carry	 v. 拿，扛；携带；支持；搬运 n. 运载；[计] 进位；射程
sand	 n. 沙；沙地；沙洲；沙滩；沙子 v. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
tree	 n. 树；木料；树状物 v. 把赶上树
meal	 n. 一餐，一顿饭；膳食 vi. 进餐
lion	 n. 狮子；名人；勇猛的人；社交场合的名流
record	 v. 记录，记载；标明；将录音 n. 档案，履历；唱片；最高纪录 adj. 创纪录的
fork	 n. 叉；餐叉；耙 v. 叉起；使成叉状
finish	 v. 完成；结束；用完 n. 结束；完美；回味（葡萄酒）
start	 v. 开始；启动 n. 开始；起点
license	 n. 执照，许可证；特许 v. 许可；特许；发许可证给
pen	 n. 钢笔；作家；围栏 v. 写；关入栏中
low	 adj. 低的，浅的；卑贱的；粗俗的；消沉的 adv. 低声地；谦卑地，低下地 n. 低；低价；低点；牛叫声 v. 牛叫
whose	 pron. 谁的（疑问代词）
classmate	 n. 同班同学
zoo	 n. 动物园
post	 n. 岗位；邮件；标杆 v. 张贴；公布；邮递；布置
team	 n. 队；组 v. 使合作
same	 adj. 相同的；同一的；上述的（通常与the连用）；无变化的 pron. 同样的事物或人（通常与the连用） adv. 同样地（通常与the连用） n. (Same)人名；(意)萨梅
could	 aux. 能够 v. 能（can的过去式）
secretary	 n. 秘书；书记；部长；大臣
place	 n. 地方；住所；座位 v. 放置；任命；寄予
supermarket	 n. 超级市场；自助售货商店
noise	 n. [环境] 噪音；响声；杂音 v. 谣传
stairs	 n. 楼梯；梯级（stair的复数）
northern	 adj. 北部的；北方的 n. 北部方言
field	 n. 领域；牧场；旷野；战场；运动场 v. 担任场外队员 adj. 扫描场；田赛的；野生的
classroom	 n. 教室
grade	 n. 年级；等级；成绩；级别；阶段 v. 评分；把…分等级
cook	 v. 烹调，煮 n. 厨师，厨子
him	 pron. 他（宾格） n. (Him)人名；(东南亚国家华语)欣；(柬)亨；(中)谦(广东话·威妥玛)
move	 n. 移动；步骤；迁居；策略 v. 移动；搬家，迁移；离开
wash	 n. 洗涤；洗的衣服；化妆水；冲积物 v. 洗涤；洗刷；冲走；拍打
sunny	 adj. 阳光充足的，和煦的；快活的；性情开朗的
rose	 n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒 adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的 vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味 vi. 起义( rise的过去式)；升起；（数量）增加；休会
seventh	 n. 第七；七分之一 adj. 第七的；七分之一的 adv. 居第七位地
ground	 n. 地面；土地；范围；战场;根据 v. 使接触地面；打基础；使搁浅 adj. 土地的；地面上的；磨碎的；磨过的
hundred	 n. 一百；许多 adj. 一百的；许多的 num. 百；百个
leader	 n. 领导者；首领；指挥者
story	 n. 故事；小说；新闻报道；来历；假话 vt. 用历史故事画装饰 vi. 说谎
nose	 n. 鼻子；嗅觉；突出的部分；探问 v. 嗅；用鼻子触
church	 n. 教堂；礼拜；教派 adj. 教会的；礼拜的 v. 领…到教堂接受宗教仪式
also	 adv. 也；而且；同样 conj. 并且；另外 n. (Also)人名；(罗)阿尔索
fill	 v. 装满，使充满；满足；堵塞；任职 n. 满足；填满的量；装填物
sofa	 n. 沙发；长椅
ninth	 num. 第九 adj. 第九的；九分之一的 n. 九分之一
bus	 n. 公共汽车
inch	 n. 英寸；身高；少许 v. 使缓慢地移动
hot	 adj. 热的；辣的；热情的；激动的；紧迫的 adv. 热；紧迫地 v. 变热 n. (Hot)人名；(塞)霍特；(法)奥特
play	 v. 游戏；扮演；演奏；播放；同…比赛 n. 游戏；比赛；剧本
postman	 n. 邮递员；邮差
touch	 v. 接触；触动；使轻度受害 n. 接触；触觉；格调；少许
white	 adj. 白色的；白种的；纯洁的 n. 白色；洁白；白种人
breakfast	 n. 早餐；早饭 v. 吃早餐
object	 n. 目标；物体；客体；宾语 v. 提出…作为反对的理由
silk	 n. 丝绸；蚕丝；丝织物 adj. 丝的；丝绸的；丝制的 vi. （玉米）处于长须的阶段中
should	 aux. 应该；就；可能；将要
cheap	 adj. 便宜的；小气的；不值钱的 adv. 便宜地
public	 adj. 公众的；政府的；公用的；公立的 n. 公众；社会；公共场所
beside	 prep. 在旁边；与…相比；和…无关
main	 n. 主要部分，要点；体力；总管道 adj. 主要的，最重要的；全力的
angry	 adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
method	 n. 方法；条理；类函数 adj. 使用体验派表演方法的
accident	 n. 事故；意外；[法] 意外事件；机遇
night	 n. 夜晚，晚上；黑暗，黑夜 adj. 夜晚的，夜间的
over	 adv. 结束；越过；从头到尾 prep. 越过；在…之上；遍于…之上 adj. 结束的；上面的 vt. 越过 n. (Over)人名；(俄、西、土)奥韦尔
football	 n. 足球，橄榄球 vi. 踢足球；打橄榄球
yet	 adv. 还；但是；已经 conj. 但是；然而 n. (Yet)人名；(东南亚国家华语)一
snake	 n. 蛇；阴险的人 v. 迂回前进
fresh	 adj. 新鲜的；清新的；淡水的；无经验的 n. 开始；新生；泛滥 adv. 刚刚，才；最新地
imagine	 v. 想像；猜想；臆断
everyday	 adj. 每天的，日常的 n. 平时；寻常日子
either	 adj. 两者之中任一的；两者之中每一的 prep. 任何一个 conj. 也（用于否定句或否定词组后）；根本 pron. 任一，两方，随便哪一个；两者中的一个或另一个
past	 n. 过去；往事 adj. 过去的；结束的 prep. 越过；晚于 adv. 过；经过
subject	 n. 主题；科目；[语] 主语；国民 adj. 服从的；易患…的；受制于…的 v. 使…隶属；使屈从于…
Miss	 n. 女士，小姐，年轻未婚女子
personal	 adj. 个人的；身体的；亲自的 n. 人事消息栏；人称代名词
knee	 n. 膝盖，膝 v. 用膝盖碰
note	 n. 笔记；音符；票据；注解；纸币；便笺；照会；调子 v. 注意；记录；注解
ourselves	 pron. 我们自己；我们亲自
building	 n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）
memory	 n. 记忆，记忆力；内存，[计] 存储器；回忆
introduction	 n. 介绍；引进；采用；入门；传入
dentist	 n. 牙科医生
loud	 adj. 大声的，高声的；不断的；喧吵的 adv. 大声地，高声地，响亮地 n. (Loud)人名；(英)劳德
unit	 n. 单位，单元；装置；[军] 部队；部件
return	 v. 返回；报答 n. 返回；归还；回球 adj. 报答的；回程的；返回的
left	 adj. 左边的；左派的；剩下的 adv. 在左面 n. 左边；左派；激进分子 v. 离开（leave的过去式）
once	 adv. 一次；曾经 conj. 一旦 n. 一次，一回
dead	 adj. 无生命的；呆板的；废弃了的 adv. 完全地 n. 死者
example	 n. 例子；榜样 vt. 作为…的例子；为…做出榜样 vi. 举例
technology	 n. 技术；工艺；术语
butterfly	 n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
illness	 n. 病；疾病
article	 n. 文章；物品；条款；[语] 冠词 v. 订约将…收为学徒或见习生；使…受协议条款的约束
swimming	 n. 游泳；目眩 adj. 游泳的；游泳用的；善于游泳的；晕眩的 v. 游泳；漂浮；旋转（swim的ing形式）
dance	 n. 舞蹈；舞会；舞曲 v. 跳舞；跳跃；飘扬 adj. 舞蹈的；用于跳舞的
tent	 n. 帐篷；住处；帷幕 v. 用帐篷遮盖；使在帐篷里住宿
my	 pron. 我的 int. 哎呀（表示惊奇等）；喔唷 n. (My)人名；(越)美；(老、柬)米
lucky	 adj. 幸运的；侥幸的
but	 conj. 但是；而是；然而 adv. 仅仅，只 prep. 除…以外 n. (But)人名；(俄、罗)布特；(越)笔
hour	 n. 小时；钟头；课时；…点钟
noon	 n. 中午；正午；全盛期
funny	 adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明 n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
movie	 n. 电影；电影院；电影业 adj. 电影的
newspaper	 n. 报纸
out	 adv. 出现；在外；出局；出声地；不流行地 adj. 外面的；出局的；下台的 n. 出局 prep. 向；离去 v. 出来；暴露
against	 prep. 反对，违反；靠；倚；防备 adj. 不利的；对立的
discovery	 n. 发现，发觉；被发现的事物
student	 n. 学生；学者
November	 n. 十一月
Japanese	 adj. 日本（人）的；日语的 n. 日本人；日语
ink	 v. 签署；涂墨水于 n. 墨水，墨汁；油墨
instruction	 n. 指令，命令；指示；教导；用法说明
supper	 n. 晚餐，晚饭；夜宵
fisherman	 n. 渔夫；渔人
flower	 n. 花；精华；开花植物 v. 成熟，发育；开花；繁荣；旺盛
lot	 n. 份额；许多；命运；阄 adv. （与形容词和副词连用）很，非常；（与动词连用）非常 pron. 大量，许多 v. 分组，把…划分（常与out连用）；把（土地）划分成块
or	 conj. 或，或者；还是 n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔
maybe	 adv. 也许；可能；大概 n. 可能性；不确定性
duty	 n. 责任；[税收] 关税；职务
count	 v. 计算；认为 n. 计数；计算；伯爵
thirty	 n. 三十年代 num. 三十 adj. 三十个的
goal	 n. 目标；球门，得分数；终点 vi. 攻门，射门得分
dictionary	 n. 字典；词典
shirt	 n. 衬衫；汗衫，内衣
meeting	 n. 会议；会见；集会；汇合点 v. 会面；会合（meet的ing形式）
half	 n. 一半；半场；半学年 adv. 一半地；部分地 adj. 一半的；不完全的；半途的
short	 adj. 短的；不足的；矮的，低的 n. 短；缺乏；短路；短裤 adv. 不足；突然；唐突地
tie	 v. 系；约束；打结；与…成平局 n. 领带；平局；鞋带；领结；不分胜负
hope	 n. 希望；期望；信心 v. 希望；期望
eighty	 n. 八十；八十岁；八十年代 adj. 八十的，八十个的；八十岁的 num. 八十
private	 adj. 私人的；私有的；私下的 n. 列兵；二等兵
prize	 n. 奖品；奖赏；战利品 v. 珍视；捕获；估价 adj. 获奖的
wife	 n. 妻子，已婚妇女；夫人
twelfth	 adj. 第十二的，第十二个的；十二分之一的 n. 第十二；月的第十二日
shorts	 n. 短裤
write	 v. 写，写字；写作，作曲；写信
energy	 n. [物] 能量；精力；活力；精神
sir	 n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
store	 n. 商店；储备，贮藏；仓库 v. 贮藏，储存
grass	 n. 草；草地，草坪 v. 放牧；使……长满草；使……吃草
soup	 n. 汤，羹；马力 v. 加速；增加马力
street	 n. 街道 adj. 街道的
fact	 n. 事实；实际；真相
help	 v. 帮助；促进；治疗；补救 n. 帮助；补救办法；帮忙者；有益的东西
till	 n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到为止 v. 耕种；犁
tale	 n. 故事；传说；叙述；流言蜚语
alive	 adj. 活着的；活泼的；有生气的
oil	 n. 油；石油；油画颜料 v. 加油；涂油；使融化
lovely	 adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的 n. 美女；可爱的东西
role	 n. 角色；任务
quiet	 adj. 安静的；安定的；不动的；温顺的 n. 安静；和平 v. 使平息；安慰
test	 n. 试验；检验 v. 试验；测试
include	 v. 包含，包括
plain	 adj. 平的；简单的；朴素的；清晰的 n. 平原；无格式；朴实无华的东西 adv. 清楚地；平易地
somewhere	 adv. 在某处；到某处 n. 某个地方
spirit	 n. 精神；心灵；情绪；志气；烈酒 v. 鼓励；鼓舞；诱拐
office	 n. 办公室；政府机关；官职；营业处
healthy	 adj. 健康的，健全的；有益于健康的
twentieth	 n. 二十分之一 adj. 第二十的；二十分之一的 num. 第二十
pear	 n. [园艺] 梨树；梨子
smart	 adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的 n. (Smart)人名；(法)斯马尔；(英、德)斯马特
panda	 n. 熊猫；猫熊
train	 n. 火车；行列；长队；裙裾 v. 培养；训练；瞄准
park	 n. 公园；[交] 停车场 v. 停放；放置；寄存
born	 v. 出世（bear的过去分词） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
progress	 n. 进步，发展；前进 v. 前进，进步；进行
zebra	 n. [脊椎] 斑马 adj. 有斑纹的
nurse	 v. 看护，护理；照顾；培养；给…喂奶 n. 护士；奶妈，保姆
promise	 n. 许诺，允诺；希望 v. 允诺，许诺；给人以…的指望或希望
girl	 n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
traffic	 n. 交通；运输；贸易；[通信] 通信量 v. 用…作交换；在…通行
translate	 v. 翻译；转化；解释；转变为；调动
risk	 n. 风险；危险；冒险 v. 冒…的危险
top	 n. 顶部，顶端；上部；首席；陀螺 v. 高出，超越；结束；达到顶点 adj. 最高的，顶上的；头等的
candy	 v. 用糖煮；使结晶为砂糖；美化 n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品 adj. 新潮的（服饰）；甜言蜜语的
west	 n. 西；西方；西部 adj. 西方的；朝西的 adv. 在西方；向西方；自西方
shoulder	 n. 肩，肩膀；肩部 v. 肩负，承担
successful	 adj. 成功的；一帆风顺的
dinner	 n. 晚餐，晚宴；宴会；正餐
stranger	 n. 陌生人；外地人；局外人
education	 n. 教育；培养；教育学
war	 n. 战争，斗争；军事，战术；冲突，对抗，竞争 v. 打仗，作战；对抗
deep	 n. 深处；深渊 adj. 深的；低沉的；深奥的 adv. 深入地；深深地；迟
watermelon	 n. 西瓜
duck	 n. 鸭子；鸭肉；（英）宝贝儿；零分 v. 闪避；没入水中
forward	 adj. 向前的；早的；迅速的 adv. 向前地；向将来 v. 促进；转寄；运送 n. 前锋
climb	 v. 爬；攀登；上升 n. 爬；攀登
immediately	 adv. 立即，立刻；直接地 conj. 一…就
chess	 n. 国际象棋，西洋棋
discussion	 n. 讨论，议论
lamb	 n. 羔羊，小羊；羔羊肉 v. 生小羊，产羔羊
plenty	 n. 丰富，大量；充足 adj. 足够的，很多的 adv. 足够
car	 n. 汽车；车厢
tidy	 adj. 整齐的；相当大的 v. 整理；收拾；弄整齐 n. 椅子的背罩
pink	 n. 粉红色；化身，典范；石竹花；头面人物 v. 扎，刺，戳；使…变粉红色；使…面红耳赤 adj. 粉红的；比较激进的；石竹科的；脸色发红的
certain	 adj. 某一；必然的；确信；无疑的；有把握的 pron. 某些；某几个 n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦
necessary	 adj. 必要的；必需的；必然的 n. 必需品
bridge	 n. 桥；桥牌；桥接器；船桥 v. 架桥；渡过
level	 n. 水平；标准；水平面 adj. 水平的；平坦的；同高的 v. 瞄准；拉平；变得平坦
son	 n. 儿子；孩子（对年轻人的称呼）；男性后裔
available	 adj. 可获得的；可购得的；可找到的；有空的
pie	 n. 馅饼；饼图；爱说话的人 vt. 使杂乱
population	 n. 人口；[生物] 种群，[生物] 群体；全体居民
care	 n. 关怀；照料；谨慎；忧虑 v. 照顾；关心；喜爱；顾虑
ugly	 adj. 丑陋的；邪恶的；令人厌恶的
luck	 n. 运气；幸运；带来好运的东西 v. 靠运气，走运；凑巧碰上
close	 adj. 紧密的；亲密的；亲近的 v. 关；结束；使靠近 adv. 紧密地 n. 结束
university	 n. 大学；综合性大学；大学校舍
pretty	 adj. 漂亮的；可爱的；优美的 adv. 相当地；颇 n. 有吸引力的事物（尤指饰品）；漂亮的人
die	 v. 死亡；凋零；熄灭 n. 冲模，钢模；骰子
round	 n. 圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 v. 完成；围捕；绕行；弄圆 prep. 附近；绕过；大约；在…周围
thirsty	 adj. 口渴的，口干的；渴望的，热望的
free	 adj. 免费的；自由的，不受约束的；[化学] 游离的 v. 使自由，解放；释放 adv. 自由地；免费 n. (Free)人名；(英)弗里
Atlantic	 n. 大西洋 adj. 大西洋的
ham	 n. 火腿；业余无线电爱好者；蹩脚演员 v. 表演过火 adj. 过火的；做作的
comfortable	 adj. 舒适的，舒服的 n. 盖被
silence	 n. 沉默；寂静；缄默；不谈；无声状态 v. 使沉默；使安静；压制；消除噪音 int. 安静！；别作声！
deaf	 adj. 聋的
father	 n. 父亲，爸爸；神父；祖先；前辈 v. 发明，创立；当…的父亲
circle	 n. 循环，周期；圆；圈子；圆形物 v. 盘旋，旋转；环行
wealth	 n. 财富；大量；富有
then	 adv. 然后；那么；于是；当时；此外 n. 那时 conj. 然后，当时
bank	 n. 银行；岸；浅滩；储库 v. 将…存入银行；倾斜转弯
dog	 n. 狗；丑女人；卑鄙的人；(俚)朋友 v. 跟踪；尾随
difficulty	 n. 困难，困境
ear	 n. 耳朵；穗；听觉；倾听 vi. （美俚）听见；抽穗
kick	 v. 踢；反冲，朝后座 n. 踢；反冲，后座力
alone	 adj. 独自的；单独的；孤独的 adv. 独自地；单独地
proper	 adj. 适当的；本身的；特有的；正派的 adv. 完全地 n. (Proper)人名；(英、德)普罗珀
fast	 adj. 快速的，迅速的；紧的，稳固的 adv. 迅速地；紧紧地；彻底地 v. 禁食，斋戒 n. 斋戒；绝食
litter	 n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱 v. 乱丢；给…垫褥草；把…弄得乱七八糟
water	 n. 水；海水；雨水；海域，大片的水 v. 使湿；供以水；给…浇水
station	 n. 车站；驻地；地位；身份 v. 配置；安置；驻扎
strawberry	 n. 草莓；草莓色
afraid	 adj. 害怕的；恐怕；担心的
brain	 n. 头脑，智力；脑袋 v. 猛击…的头部
coat	 n. 外套 v. 覆盖…的表面
none	 pron. 没有人；一个也没有；没有任何东西 adj. 没有的，一点没有的 adv. 决不，一点也不 n. (None)人名；(葡、罗)诺内；(日)野根(姓)
require	 v. 需要；要求；命令
dumpling	 n. 饺子，汤团；面团布丁
drop	 v. 滴；使降低；使终止；随口漏出 n. 滴；落下；空投；微量；滴剂
almost	 adv. 差不多，几乎
second	 n. 秒；第二名；瞬间；二等品 v. 支持 adj. 第二的；次要的；附加的 num. 第二 adv. 第二；其次；居第二位
friendship	 n. 友谊；友爱；友善
traditional	 adj. 传统的；惯例的
copy	 v. 复制；复印；抄袭 n. 副本；一册；摹仿
seem	 v. 似乎；像是；装作 n. (Seem)人名；(英)西姆
history	 n. 历史，历史学；历史记录；来历
list	 n. [计] 列表；清单；目录 v. 列于表上
beyond	 prep. 超过；越过；那一边；在较远的一边 adv. 在远处；在更远处 n. 远处
Monday	 n. 星期一
season	 n. 时期；季节；赛季 v. 给…调味；使适应
pronounce	 v. 发音；宣判；断言
few	 adj. 很少的；几乎没有的 pron. 很少 n. 很少数
among	 prep. 在…中间；在…之中
again	 adv. 又，此外；再一次；再说；增加 n. （英、保）阿盖恩
reach	 v. 达到；延伸；伸出手；传开 n. 范围；延伸；河段；横风行驶
research	 n. 研究；调查 v. 研究；调查
text	 n. [计] 文本；课文；主题 v. 发短信
autumn	 n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的
fit	 v. 安装；使……适应；使……合身；与……相符 adj. 健康的；合适的；恰当的；准备好的 n. 合身；发作；痉挛
quite	 adv. 很；相当；完全
high	 adj. 高的；高级的；崇高的；高音调的 n. 高水平；天空；由麻醉品引起的快感；高压地带 adv. 高；奢侈地
army	 n. 陆军，军队
silly	 adj. 愚蠢的；不明事理的；没头脑的 n. 傻瓜
airline	 n. 航空公司；航线 adj. 航线的
bright	 adj. 明亮的，鲜明的；聪明的；愉快的 adv. 明亮地；光明地；欢快地 n. 车头灯光
than	 conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后） prep. 比；超过 n. (Than)人名；(老、柬、德)坦；(缅)丹
Japan	 n. 日本（东亚国家名）
captain	 n. 队长，首领；船长；上尉；海军上校 v. 指挥；率领
whenever	 conj. 每当；无论何时 adv. 不论何时；随便什么时候
road	 n. 公路，马路；道路；手段 vt. （狗）沿臭迹追逐（猎物） adj. （美）巡回的
fourteen	 num. 十四；十四个；第十四 n. 十四的记号；十四岁；十四点钟；十五世纪
trip	 v. 绊倒；远足；犯错误；轻快地走 n. 旅行；绊倒；差错
bike	 n. 自行车；脚踏车 v. 骑自行车（或摩托车）
robot	 n. 机器人；遥控设备，自动机械；机械般工作的人
sale	 n. 销售；出售；拍卖；销售额；廉价出售
symbol	 n. 象征；符号；标志
weekend	 n. 周末，周末休假；周末聚会 adj. 周末的，周末用的 v. 度周末
warm	 adj. 温暖的；热情的 v. 同情；激动；变温暖 n. 取暖；加热
dollar	 n. 美元
useless	 adj. 无用的；无效的
cancer	 n. 癌症；恶性肿瘤
there	 adv. 在那里；在那边；在那点上 int. 你瞧 n. 那个地方
blood	 n. 血，血液；血统 v. 从…抽血；使先取得经验
separate	 v. 使分离；使分开；使分居 adj. 单独的；分开的；不同的；各自的； n. 分开；抽印本
situation	 n. 情况；形势；处境；位置
yourselves	 pron. 你们自己；你们本人（yourself的复数）
nobody	 pron. 无人，没有人；没有任何人 n. 无名小卒；小人物
horse	 n. 马；骑兵；脚架；海洛因 v. 使骑马；系马于；捉弄
pleasant	 adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的 n. (Pleasant)人名；(英)普莱曾特
lock	 v. 锁，锁上；隐藏 n. 锁；水闸；刹车
eraser	 n. 橡皮；擦除器；[计] 清除器
shower	 n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 v. 大量地给予；把……弄湿
reply	 v. 回答；[法] 答辩；回击 n. 回答；[法] 答辩
raincoat	 n. （美）雨衣
sixth	 n. 月的第六日，（与the连用的）第六个；六分之一 adj. （与 the 连用）第六的，第六个的；六分之一的
regret	 n. 遗憾；抱歉；悲叹 v. 后悔；惋惜；哀悼
dress	 v. 给…穿衣 n. 连衣裙；女装
crazy	 adj. 疯狂的；狂热的，着迷的
learn	 v. 学习；得知；认识到
ice	 n. 冰；冰淇淋；矜持；（俚）钻石 v. 冰镇；结冰 adj. 冰的
treasure	 n. 财富，财产；财宝；珍品 v. 珍爱；珍藏
page	 n. 页；记录；大事件，时期；男侍者 v. 给…标页码
plastic	 adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
rain	 n. 雨；下雨；雨天；雨季 v. 下雨；降雨
hotel	 n. 旅馆，饭店；客栈 vt. 使…在饭店下榻 vi. 进行旅馆式办公
noodle	 n. 面条；笨蛋
riddle	 v. 解谜；给出谜；充满于 n. 谜语；粗筛；谜一般的人、东西、事情等
thirteen	 n. 十三；十三岁；十三个 num. 十三 adj. 十三的；十三个的
least	 adj. 最小的；最少的（little的最高级） adv. 最小；最少 n. 最小；最少
guard	 n. 守卫；警戒；护卫队；防护装置 v. 警惕
couple	 n. 对；夫妇；数个 v. 结合；成婚
describe	 v. 描述，形容；描绘
air	 n. 空气，大气；天空；样子；曲调 v. 使通风，晾干；夸耀
hate	 v. 憎恨；厌恶；遗憾 n. 憎恨；反感
small	 adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的 adv. 小小地；卑鄙地 n. 小件物品；矮小的人
sight	 n. 视力；景象；眼界；见解 v. 看见；瞄准 adj. 见票即付的；即席的
avoid	 v. 避免；避开，躲避；消除
science	 n. 科学；技术；学科；理科
hungry	 adj. 饥饿的；渴望的；荒年的；不毛的
present	 v. 提出；介绍；呈现；赠送 adj. 现在的；出席的 n. 现在；礼物；瞄准
madam	 n. 夫人；女士；鸨母
bathroom	 n. 浴室；厕所；盥洗室
goat	 n. 山羊；替罪羊（美俚）；色鬼（美俚）
pass	 n. 及格；经过；护照；途径；传球 v. 经过；传递；变化；终止
boy	 n. 男孩；男人
young	 adj. 年轻的；初期的；没有经验的 n. 年轻人；（动物的）崽，仔
jeans	 n. 牛仔裤；工装裤
model	 n. 模型；典型；模范；模特儿；样式 v. 模拟；塑造；模仿 adj. 模范的；作模型用的
like	 v. 喜欢；想；愿意 prep. 像；如同 adj. 同样的；相似的 n. 爱好；同样的人或物 adv. 可能 conj. 好像
push	 v. 推动，增加；对…施加压力，逼迫；按；说服 n. 推，决心；大规模攻势；矢志的追求
happy	 adj. 幸福的；高兴的；巧妙的 n. (Happy)人名；(英、瑞典、喀)哈皮
pronunciation	 n. 发音；读法
twice	 adv. 两次；两倍
toilet	 n. 厕所，盥洗室；梳妆，打扮 vi. 梳妆，打扮 vt. 给…梳妆打扮
husband	 v. 节约地使用（或管理） n. 丈夫
herself	 pron. 她自己（she的反身代词）；她亲自
earth	 n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴 v. 把（电线）[电] 接地；盖（土）；追赶入洞穴
elder	 n. 老人；长辈；年长者；父辈 adj. 年长的；年龄较大的；资格老的
flu	 n. 流感
card	 n. 卡片；纸牌；明信片 v. 记于卡片上
encourage	 v. 鼓励，怂恿；激励；支持
wine	 n. 酒，葡萄酒；紫红色 v. 喝酒
afternoon	 n. 午后，下午
force	 n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
east	 n. 东方；东风；东方国家 adj. 东方的；向东的；从东方来的 adv. 向东方，在东方
daily	 adj. 日常的；每日的 n. 日报；朝来夜去的女佣 adv. 日常地；每日；天天
gun	 n. 枪支；枪状物；持枪歹徒 v. 用枪射击；加大油门快速前进
remain	 v. 保持；依然；留下；剩余；逗留；残存 n. 遗迹；剩余物，残骸
language	 n. 语言；语言文字；表达能力
anywhere	 adv. 在任何地方；无论何处 n. 任何地方
lesson	 n. 教训；课 vt. 教训；上课
save	 v. 节省；保存；储蓄；解救 prep. 除之外 n. 救援
cousin	 n. 堂兄弟姊妹；表兄弟姊妹
granddaughter	 n. 孙女；外孙女
class	 n. 阶级；班级；种类；班；等级 v. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级 adj. 极好的；很好的，优秀的，出色的
violin	 n. 小提琴；小提琴手
me	 pron. 我（宾格） n. 自我；极端自私的人；自我的一部分
sound	 v. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地
beef	 n. 牛肉；肌肉；食用牛；牢骚 v. 抱怨，告发；发牢骚
market	 n. 市场；行情；股票市场；市面；集市；销路；商店 v. 在市场上出售
airport	 n. 机场；航空站
marry	 v. 嫁；娶；与……结婚 n. (Marry)人名；(阿拉伯)马雷；(法)马里
pencil	 n. 铅笔；笔状物 v. 用铅笔写；用眉笔涂
first	 adv. 第一；首先；优先；宁愿 n. 第一；开始；冠军 adj. 第一的；基本的；最早的 num. 第一
thousand	 n. 一千；一千个；许许多多 adj. 成千的；无数的
next	 adv. 然后；下次；其次 adj. 下一个的；其次的；贴近的 n. 下一个 prep. 靠近；居于…之后
strange	 adj. 奇怪的；陌生的；外行的 adv. 奇怪地；陌生地，冷淡地 n. (Strange)人名；(英)斯特兰奇；(瑞典、塞)斯特朗格
them	 pron. 他们；它们；她们 n. (Them)人名；(老)探
twelve	 n. 十二；十二个 num. 十二；十二个 adj. 十二的；十二个的
zero	 n. 零点，零度 num. 零
