paragraph	 n. 段落；短评；段落符号 v. 将…分段
holiday	 n. 假日；节日；休息日 v. 外出度假
maximum	 n. [数] 极大，最大限度；最大量 adj. 最高的；最多的；最大极限的
sponsor	 n. 赞助者；主办者；保证人 v. 赞助；发起
accompany	 v. 陪伴，伴随；伴奏
bother	 v. 烦扰，打扰；使……不安；使……恼怒 n. 麻烦；烦恼
delay	 v. 延期；耽搁 n. 延期；耽搁；被耽搁或推迟的时间
click	 v. 点击；使发咔哒声 n. 单击；滴答声
vague	 adj. 模糊的；含糊的；不明确的；暧昧的 n. (Vague)人名；(法)瓦格；(英)韦格
noble	 adj. 高尚的；贵族的；惰性的；宏伟的 n. 贵族 vt. 抓住；逮捕
applicable	 adj. 可适用的；可应用的；合适的
smart	 adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的 n. (Smart)人名；(法)斯马尔；(英、德)斯马特
slack	 adj. 松弛的；疏忽的；不流畅的 v. 松懈；减弱 n. 煤末；峡谷 adv. 马虎地；缓慢地
attain	 v. 达到，实现；获得；到达 n. 成就
initiative	 n. 主动权；首创精神 adj. 主动的；自发的；起始的
reinforce	 v. 加强，加固；强化；补充 n. 加强；加固物；加固材料
impressive	 adj. 感人的；令人钦佩的；给人以深刻印象的
crop	 n. 产量；农作物；庄稼；平头 v. 种植；收割；修剪；剪短
submit	 v. 使服从；主张；呈递
impression	 n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
spur	 n. 鼓舞，刺激；马刺；山坡 v. 骑马疾驰；给予刺激
react	 v. 反应；影响；反抗；起反作用
exemplify	 v. 例证；例示
prepare	 v. 准备；使适合；装备；起草
contact	 n. 接触，联系 v. 使接触，联系
attach	 v. 使依附；贴上；系上；使依恋
pace	 n. 一步；步速；步伐；速度 v. 踱步；缓慢而行
nervous	 adj. 神经的；紧张不安的；强健有力的
fee	 n. 费用；酬金；小费 v. 付费给……
guess	 v. 猜测；认为；推测；猜中 n. 猜测；推测
reluctant	 adj. 不情愿的；勉强的；顽抗的
leaf	 n. 叶子；（书籍等的）一张；扇页 v. 生叶；翻书页
surgery	 n. 外科；外科手术；手术室；诊疗室
personnel	 n. 人事部门；全体人员 adj. 人员的；有关人事的
fan	 v. 煽动；刺激；吹拂 n. 迷；风扇；爱好者
delicate	 adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
castle	 n. 城堡；象棋中的车 v. 置…于城堡中；筑城堡防御
criterion	 n. （批评判断的）标准；准则；规范；准据
concentration	 n. 浓度；集中；浓缩；专心；集合
obscure	 adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的 v. 使…模糊不清，掩盖；隐藏；使难理解 n. 某种模糊的或不清楚的东西
beard	 v. 公然反对；抓…的胡须 n. 胡须；颌毛
sentiment	 n. 感情，情绪；情操；观点；多愁善感
comprehensive	 adj. 综合的；广泛的；有理解力的 n. 综合学校；专业综合测验
pastime	 n. 娱乐，消遣
pregnant	 adj. 怀孕的；富有意义的
behave	 v. 表现；（机器等）运转；举止端正；（事物）起某种作用
implicit	 adj. 含蓄的；暗示的；盲从的
perform	 v. 执行；完成；演奏
china	 n. 瓷器 adj. 瓷制的
revive	 v. 复兴；复活；苏醒；恢复精神
precious	 adj. 宝贵的；珍贵的；矫揉造作的 n. (Precious)人名；(英)普雷舍斯，普雷舍丝(女名)
pilgrim	 n. 朝圣者；漫游者；（美）最初的移民 vi. 去朝圣；漫游
likewise	 adv. 同样地；也
prize	 n. 奖品；奖赏；战利品 v. 珍视；捕获；估价 adj. 获奖的
strict	 adj. 严格的；绝对的；精确的；详细的
elevate	 v. 提升；举起；振奋情绪等；提升…的职位
inch	 n. 英寸；身高；少许 v. 使缓慢地移动
surpass	 v. 超越；胜过，优于；非…所能办到或理解
address	 v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼
missing	 adj. 失踪的；缺少的 v. 错过（miss的ing形式）；想念；漏掉 n. (Missing)人名；(德)米辛
hypothesis	 n. 假设
novelty	 n. 新奇；新奇的事物；新颖小巧而廉价的物品
protect	 v. 保护，防卫；警戒
clock	 n. 时钟；计时器 v. 记录；记时
enlighten	 v. 启发，启蒙；教导，开导；照耀
biology	 n. （一个地区全部的）生物；生物学
comparison	 n. 比较；对照；比喻；比较关系
accomplish	 v. 完成；实现；达到
audience	 n. 观众；听众；读者；接见；正式会见；拜会
profitable	 adj. 有利可图的；赚钱的；有益的
pride	 n. 自豪；骄傲；自尊心 v. 使得意，以…自豪
danger	 n. 危险；危险物，威胁
resistance	 n. 阻力；电阻；抵抗；反抗；抵抗力
resent	 v. 怨恨；愤恨；厌恶
familiar	 adj. 熟悉的；常见的；亲近的 n. 常客；密友
gender	 n. 性；性别；性交 vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）
victim	 n. 受害人；牺牲品；牺牲者
resume	 n. 摘要；[管理] 履历，简历 v. 重新开始，继续；恢复，重新占用
grasp	 n. 抓住；理解；控制 v. 抓住；领会
evil	 adj. 邪恶的；不幸的；有害的；讨厌的 n. 罪恶，邪恶；不幸
effective	 adj. 有效的，起作用的；实际的，实在的；给人深刻印象
wander	 v. 徘徊；漫步；迷路；离题 n. (Wander)人名；(英)万德(女子教名)
extract	 v. 提取；取出；摘录；榨取 n. 汁；摘录；榨出物；选粹
dependent	 adj. 依靠的；从属的；取决于…的 n. 依赖他人者；受赡养者
coherent	 adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
hook	 n. 挂钩，吊钩 v. 钩住；引上钩
factory	 n. 工厂；制造厂；代理店
prefer	 v. 更喜欢；宁愿；提出；提升
guidance	 n. 指导，引导；领导
regarding	 prep. 关于，至于
auto	 n. 汽车（等于automobile）；自动 vi. 乘汽车
accident	 n. 事故；意外；[法] 意外事件；机遇
susceptible	 adj. 易受影响的；易感动的；容许…的 n. 易得病的人
statistical	 adj. 统计的；统计学的
pupil	 n. 学生；[解剖] 瞳孔；未成年人
intense	 adj. 强烈的；紧张的；非常的；热情的
preferable	 adj. 更好的，更可取的；更合意的
panic	 n. 恐慌，惊慌；大恐慌 adj. 恐慌的；没有理由的 v. 使恐慌
equipment	 n. 设备，装备；器材
cool	 adj. 凉爽的；冷静的；出色的 v. 使…冷却；使…平静下来 n. 凉爽；凉爽的空气 adv. 冷静地
adequate	 adj. 充足的；适当的；胜任的
attendance	 n. 出席；到场；出席人数；考勤
vessel	 n. 船，舰；[组织] 脉管，血管；容器，器皿
inspire	 v. 激发；鼓舞；启示；产生；使生灵感
exploit	 v. 开发，开拓；剥削；开采 n. 勋绩；功绩
radio	 n. 收音机；无线电广播设备 v. 用无线电进行通信
remote	 adj. 遥远的；偏僻的；疏远的 n. 远程
literature	 n. 文学；文献；文艺；著作
format	 n. 格式；版式；开本 v. 使格式化；规定…的格式
recipient	 n. 容器，接受者；容纳者 adj. 容易接受的，感受性强的
persuade	 v. 说服，劝说；使某人相信；劝某人做（不做）某事 adj. 空闲的，有闲的
peak	 n. 山峰；最高点；顶点；帽舌 v. 使达到最高点；使竖起 adj. 最高的；最大值的
debate	 v. 辩论，争论，讨论 n. 辩论；辩论会
expression	 n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
award	 v. 授予；判定 n. 奖品；判决
abroad	 adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
ahead	 adj. 向前；在前的；领先 adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
barrier	 n. 障碍物，屏障；界线 vt. 把…关入栅栏
contend	 v. 竞争；奋斗；斗争；争论
survival	 n. 幸存，残存；幸存者，残存物
entrance	 n. 入口；进入 v. 使出神，使入迷
selection	 n. 选择，挑选；选集；精选品
attend	 v. 出席；上（大学等）；照料；招待；陪伴
dare	 n. 挑战；挑动 v. 敢冒；不惧
comparative	 adj. 比较的；相当的 n. 比较级；对手
sudden	 adj. 突然的，意外的；快速的 n. 突然发生的事
tie	 v. 系；约束；打结；与…成平局 n. 领带；平局；鞋带；领结；不分胜负
alert	 v. 警告；使警觉，使意识到 adj. 警惕的，警觉的；留心的 n. 警戒，警惕；警报
reserve	 n. 储备，储存；自然保护区；预备队；缄默；[金融] 储备金 v. 储备；保留；预约
contest	 v. 争辩；质疑 n. 竞赛；争夺；争论
trigger	 v. 引发，引起；触发 n. 扳机；[电子] 触发器；制滑机
pioneer	 n. 先锋；拓荒者 v. 开辟；倡导；提倡
repair	 v. 修理；修复 n. 修理，修补；修补部位
treat	 v. 治疗；对待；探讨；视为 n. 请客；款待
crown	 n. 王冠；花冠；王权；顶点 v. 加冕；居…之顶；表彰；使圆满完成
slot	 n. 位置；狭槽；水沟；硬币投币口 v. 跟踪；开槽于
context	 n. 环境；上下文；来龙去脉
toll	 n. 通行费；代价；钟声；伤亡人数 v. 征收；敲钟
advice	 n. 建议；忠告；劝告；通知
architecture	 n. 建筑学；建筑风格；建筑式样；架构
qualification	 n. 资格；条件；限制；赋予资格
leisure	 n. 闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
organize	 v. 组织；使有系统化；给予生机；组织成立工会等
supplement	 v. 增补，补充 n. 增补，补充；补充物；增刊，副刊
amateur	 n. 爱好者；业余爱好者；外行 adj. 业余的；外行的
athlete	 n. 运动员，体育家；身强力壮的人
enormous	 adj. 庞大的，巨大的；凶暴的，极恶的
strengthen	 v. 加强；巩固
hero	 n. 英雄；男主角，男主人公
imitate	 v. 模仿，仿效；仿造，仿制
grip	 n. 紧握；柄；支配；握拍方式；拍柄绷带 v. 紧握；夹紧
super	 adj. 特级的；极好的 n. 特级品，特大号；临时雇员
rid	 v. 使摆脱；使去掉 n. (Rid)人名；(英)里德
succession	 n. 连续；继位；继承权；[生态] 演替
thirty	 n. 三十年代 num. 三十 adj. 三十个的
scrutiny	 n. 详细审查；监视；细看；选票复查
tourist	 n. 旅行者，观光客 adj. 旅游的 vt. 在旅行参观 vi. 旅游；观光 adv. 坐旅游车厢；坐经济舱
sad	 adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
pipe	 n. 管；烟斗；笛 v. 吹笛；尖叫
noise	 n. [环境] 噪音；响声；杂音 v. 谣传
contribution	 n. 贡献；捐献；投稿
acclaim	 v. 称赞；为…喝彩，向…欢呼 n. 欢呼，喝彩；称赞
conceive	 v. 怀孕；构思；以为；持有
impossible	 adj. 不可能的；不可能存在的；难以忍受的；不真实的 n. 不可能；不可能的事
bible	 n. 有权威的书
vice	 n. 恶习；缺点；[机] 老虎钳；卖淫 prep. 代替 vt. 钳住 adj. 副的；代替的
perplex	 v. 使困惑，使为难；使复杂化
concert	 n. 音乐会；一致；和谐 v. 使协调；协同安排 adj. 音乐会用的；在音乐会上演出的
yield	 v. 屈服；出产，产生；放弃 n. 产量；收益
spelling	 n. 拼写；拼字；拼法 v. 拼写；意味着（spell的ing形式）；迷住
scope	 n. 范围；余地；视野；眼界；导弹射程 v. 审视
abstract	 n. 摘要；抽象；抽象的概念 adj. 抽象的；深奥的 v. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
reap	 v. 收获，获得；收割 n. (Reap)人名；(英)里普
worse	 adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级） adv. 更糟；更坏；更恶劣地；更坏地 n. 更坏的事；更恶劣的事
absence	 n. 没有；缺乏；缺席；不注意
lucky	 adj. 幸运的；侥幸的
assert	 v. 维护，坚持；断言；主张；声称
encounter	 v. 遭遇，邂逅；遇到 n. 遭遇，偶然碰见
horizon	 n. [天] 地平线；视野；眼界；范围
rush	 n. 冲进；匆促；急流；灯心草 adj. 急需的 v. 使冲；突袭；匆忙地做；飞跃
costly	 adj. 昂贵的；代价高的 n. (Costly)人名；(英)科斯特利
ceremony	 n. 典礼，仪式；礼节，礼仪；客套，虚礼
window	 n. 窗；窗口；窗户
ritual	 n. 仪式；惯例；礼制 adj. 仪式的；例行的；礼节性的
urge	 v. 力劝，催促；驱策，推进 n. 强烈的欲望，迫切要求；推动力
invert	 v. 使…转化；使…颠倒；使…反转；使…前后倒置 n. 颠倒的事物；倒置物；倒悬者 adj. 转化的
invest	 v. 投资；覆盖；耗费；授予；包围
visible	 adj. 明显的；看得见的；现有的；可得到的 n. 可见物；进出口贸易中的有形项目
perspective	 n. 观点；远景；透视图 adj. 透视的
cautious	 adj. 谨慎的；十分小心的
highlight	 v. 突出；强调；使显著；加亮 n. 最精彩的部分；最重要的事情；加亮区
desperate	 adj. 不顾一切的；令人绝望的；极度渴望的
final	 adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版
proof	 n. 证明；证据；校样；考验；验证；试验 adj. 防…的；不能透入的；证明用的；耐…的 v. 试验；校对；使不被穿透
cruel	 adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
ideology	 n. 意识形态；思想意识；观念学
bid	 v. 投标；出价；表示；吩咐 n. 出价；叫牌；努力争取
vacuum	 n. 真空；空间；真空吸尘器 adj. 真空的；利用真空的；产生真空的 v. 用真空吸尘器清扫
proud	 adj. 自豪的；得意的；自负的 n. (Proud)人名；(英)普劳德
pop	 abbr. 卖点广告（Point of Purchase）
quiet	 adj. 安静的；安定的；不动的；温顺的 n. 安静；和平 v. 使平息；安慰
chronic	 adj. 慢性的；长期的；习惯性的 n. (Chronic)人名；(英)克罗尼克
bulk	 n. 体积，容量；大多数，大部分；大块 v. 使扩大，使形成大量；使显得重要
busy	 adj. 忙碌的；热闹的；正被占用的 v. 使忙于 n. (Busy)人名；(匈)布希；(法)比西
belt	 n. 带；腰带；地带 v. 用带子系住；用皮带抽打
burn	 v. 燃烧；烧毁，灼伤；激起…的愤怒 n. 灼伤，烧伤；烙印
posture	 n. 姿势；态度；情形 v. 摆姿势
reference	 n. 参考，参照；涉及，提及；参考书目；介绍信；证明书 v. 引用
craft	 n. 工艺；手艺；太空船 v. 精巧地制作
gate	 n. 大门；出入口；门道 v. 给…装大门
nutrition	 n. 营养，营养学；营养品
gasp	 v. 喘气；喘息；渴望 n. 喘气
boycott	 v. 联合抵制；拒绝参加 n. 联合抵制
incredible	 adj. 难以置信的，惊人的
engine	 n. 引擎，发动机；机车，火车头；工具
mood	 n. 情绪，语气；心境；气氛
retain	 v. 保持；雇；记住
barely	 adv. 仅仅，勉强；几乎不；公开地；贫乏地
aid	 n. 援助；帮助；助手；帮助者 v. 援助；帮助；有助于
weekly	 adj. 每周的；周刊的；一周一次的 n. 周刊 adv. 每周一次；逐周
normal	 adj. 正常的；正规的，标准的 n. 正常；标准；常态
thrive	 v. 繁荣，兴旺；茁壮成长
basketball	 n. 篮球；篮球运动
ultimate	 adj. 最终的；极限的；根本的 n. 终极；根本；基本原则
correct	 v. 改正；告诫 adj. 正确的；恰当的；端正的
skilled	 adj. 熟练的；有技能的；需要技能的
temper	 n. 脾气；（钢等）回火；性情；倾向 v. 使回火；锻炼；调和；使缓和
spell	 v. 拼，拼写；意味着；招致；拼成；迷住；轮值 n. 符咒；一段时间；魅力
frustrate	 v. 挫败；阻挠；使感到灰心 adj. 挫败的；无益的
fierce	 adj. 凶猛的；猛烈的；暴躁的 n. (Fierce)人名；(英)菲尔斯
incline	 v. 倾斜；倾向；易于 n. 倾斜；斜面；斜坡
string	 n. 线，弦，细绳；一串，一行
slice	 n. 薄片；部分；菜刀，火铲 v. 切下；把…分成部分；将…切成薄片
hall	 n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
optimistic	 adj. 乐观的；乐观主义的
praise	 n. 赞扬；称赞；荣耀；崇拜 v. 赞美，歌颂；表扬
excuse	 n. 借口；理由 v. 原谅；为…申辩；给…免去
governor	 n. 主管人员；统治者，管理者；[自] 调节器；地方长官
arm	 n. 手臂；武器；袖子；装备；部门 v. 武装起来
pyramid	 n. 金字塔；角锥体 v. 渐增；上涨；成金字塔状
foot	 n. 脚；英尺；步调；末尾 v. 步行；跳舞；总计
shot	 n. 发射；炮弹；射手；镜头 adj. 用尽的；破旧的；杂色的，闪光的 v. 射击（shoot的过去式和过去分词）
concerning	 prep. 关于；就…而言 v. 涉及；使关心（concern的ing形式）；忧虑
fresh	 adj. 新鲜的；清新的；淡水的；无经验的 n. 开始；新生；泛滥 adv. 刚刚，才；最新地
march	 v. （坚定地向某地）前进；行军，进军；游行示威；进展，进行 n. 行进，前进；行军；游行示威；进行曲
watch	 v. 观察；注视；看守；警戒 n. 手表；监视；守护；值班人
rank	 n. 排；等级；军衔；队列 adj. 讨厌的；恶臭的；繁茂的 v. 排列；把…分等
oxygen	 n. [化学] 氧气，[化学] 氧
faith	 n. 信仰；信念；信任；忠实
hire	 n. 雇用，租用；租金，工钱 v. 雇用；出租
expansion	 n. 膨胀；阐述；扩张物
superstition	 n. 迷信
technique	 n. 技巧，技术；手法
mouth	 n. 口，嘴；河口 v. 做作地说，装腔作势地说；喃喃地说出
forest	 v. 植树于，使成为森林 n. 森林
regulate	 v. 调节，规定；控制；校准；有系统的管理
valid	 adj. 有效的；有根据的；合法的；正当的
overlook	 v. 忽略；俯瞰；远眺；检查；高耸于…之上 n. 忽视；眺望
entrepreneur	 n. 企业家；承包人；主办者
plead	 v. 借口；为辩护；托称
chair	 n. 椅子；讲座；（会议的）主席位；大学教授的职位 v. 担任（会议的）主席；使…入座；使就任要职
chain	 n. 链；束缚；枷锁 v. 束缚；囚禁；用铁链锁住
painful	 adj. 痛苦的；疼痛的；令人不快的
enlarge	 v. 扩大；放大；详述
shoulder	 n. 肩，肩膀；肩部 v. 肩负，承担
tentative	 adj. 试验性的，暂定的；踌躇的 n. 假设，试验
odd	 adj. 奇数的；古怪的；剩余的；临时的；零散的 n. 奇数；怪人；奇特的事物
statesman	 n. 政治家；国务活动家
abandon	 n. 放任；狂热 v. 遗弃；放弃
correlate	 v. 关联 n. 相关物；相关联的人 adj. 关联的
differ	 v. 使…相异；使…不同 n. (Differ)人名；(法)迪费
certainly	 adv. 当然；行（用于回答）；必定
heavy	 adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
durable	 adj. 耐用的，持久的 n. 耐用品
prevail	 v. 盛行，流行；战胜，获胜
ambition	 n. 野心，雄心；抱负，志向 v. 追求；有…野心
honor	 n. 荣誉；信用；头衔 v. 尊敬（等于honour）；给…以荣誉
split	 v. 分离；使分离；劈开；离开；分解 n. 劈开；裂缝 adj. 劈开的
index	 n. 指标；指数；索引；指针 v. 做索引
foreign	 adj. 外国的；外交的；异质的；不相关的
supply	 n. 供给，补给；供应品 v. 供给，提供；补充
disposition	 n. 处置；[心理] 性情；[军] 部署；倾向
rain	 n. 雨；下雨；雨天；雨季 v. 下雨；降雨
consent	 v. 同意；赞成；答应 n. 同意；（意见等的）一致；赞成
unity	 n. 团结；一致；联合；个体
sober	 adj. 冷静的，清醒的；未醉的 v. 使严肃；使醒酒，使清醒 n. (Sober)人名；(英)索伯
housing	 n. 房屋；住房供给；[机] 外壳；遮盖物；机器等的防护外壳或外罩
table	 n. 桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的
recur	 v. 复发；重现；采用；再来；循环；递归
programme	 n. 计划，规划；节目；程序 v. 编程序；制作节目
palace	 n. 宫殿；宅邸；豪华住宅
caution	 n. 小心，谨慎；警告，警示 v. 警告
moderate	 adj. 稳健的，温和的；适度的，中等的；有节制的 v. 变缓和，变弱
nonetheless	 adv. 尽管如此，但是
channel	 v. 引导，开导；形成河道 n. 通道；频道；海峡
unfold	 v. 打开；呈现
partly	 adv. 部分地；在一定程度上
emphasis	 n. 重点；强调；加强语气
turbulent	 adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
compensation	 n. 补偿；报酬；赔偿金
client	 n. [经] 客户；顾客；委托人
rally	 v. 团结；重整；恢复；（网球等）连续对打 n. 集会；回复；公路赛车会
lab	 n. 实验室，研究室
feeble	 adj. 微弱的，无力的；虚弱的；薄弱的
appearance	 n. 外貌，外观；出现，露面
announce	 v. 宣布；述说；预示；播报
clean	 adj. 清洁的，干净的；清白的 v. 使干净 adv. 完全地 n. 打扫
consist	 v. 由…组成；在于；符合
condemn	 v. 谴责；判刑，定罪；声讨
aspire	 v. 渴望；立志；追求
evident	 adj. 明显的；明白的
sunday	 n. 星期日；礼拜日
fitting	 n. 装配，装置；试穿，试衣 adj. 适合的，适宜的；相称的
comply	 v. 遵守；顺从，遵从；答应
render	 v. 致使；提出；实施；着色；以…回报 n. 打底；交纳；粉刷
percentage	 n. 百分比；百分率，百分数
existence	 n. 存在，实在；生存，生活；存在物，实在物
participant	 adj. 参与的；有关系的 n. 参与者；关系者
limitation	 n. 限制；限度；极限；追诉时效；有效期限；缺陷
trap	 v. 诱捕；使…受限制；使…陷入困境 n. 陷阱；圈套；[建] 存水湾
stable	 n. 马厩；牛棚 adj. 稳定的；牢固的；坚定的 v. 被关在马厩
purpose	 n. 目的；用途；意志 v. 决心；企图；打算
pool	 n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
senator	 n. 参议员；（古罗马的）元老院议员；评议员，理事
hospital	 n. 医院
lounge	 n. 休息室；闲逛；躺椅；（英）酒吧间 v. 闲逛；懒洋洋地躺卧；闲混
numerical	 adj. 数值的；数字的；用数字表示的（等于numeric）
evaluate	 v. 评价；估价；求…的值
fashion	 n. 时尚；时装；样式；时髦人物 v. 使用；改变；做成…的形状
realise	 v. 认识到，明白
marriage	 n. 结婚；婚姻生活；密切结合，合并
credit	 n. 信用，信誉；[金融] 贷款；学分；信任；声望 v. 相信，信任；把…归给，归功于；赞颂
transition	 n. 过渡；转变；[分子生物] 转换；变调
disaster	 n. 灾难，灾祸；不幸
reverse	 n. 背面；相反；倒退；失败 v. 颠倒；倒转 adj. 反面的；颠倒的；反身的
institute	 v. 开始（调查）；制定；创立；提起（诉讼） n. 学会，协会；学院
confirm	 v. 确认；确定；证实；批准；使巩固
confine	 n. 界限，边界;约束；限制 v. 限制；禁闭
frame	 n. 框架；结构；[电影] 画面 v. 设计；建造；陷害；使…适合 adj. 有木架的；有构架的
cent	 n. 分；一分的硬币；森特（等于半音程的百分之一）
muscle	 n. 肌肉；力量 v. 加强；使劲搬动；使劲挤出
mature	 adj. 成熟的；充分考虑的；到期的；成年人的 v. 成熟；到期
physician	 n. [医] 医师；内科医师
identity	 n. 身份；同一性，一致；特性；恒等式
amaze	 v. 使吃惊
reduction	 n. 减少；下降；缩小；还原反应
shark	 n. 鲨鱼；骗子 v. 诈骗
massive	 adj. 大量的；巨大的，厚重的；魁伟的
steady	 adj. 稳定的；不变的；沉着的 v. 稳固 adv. 稳定地；稳固地 n. 关系固定的情侣；固定支架
literacy	 n. 读写能力；精通文学
ignorance	 n. 无知，愚昧；不知，不懂
invisible	 adj. 无形的，看不见的；无形的；不显眼的，暗藏的
consultant	 n. 顾问；咨询者；会诊医生
suspend	 v. 延缓，推迟；使暂停；使悬浮
infant	 n. 婴儿；幼儿；未成年人 adj. 婴儿的；幼稚的；初期的；未成年的
jaw	 n. 颌；下巴；狭窄入口；唠叨 v. 教训；唠叨
column	 n. 纵队，列；专栏；圆柱，柱形物
deduce	 v. 推论，推断；演绎出
fuel	 v. 得到燃料 n. 燃料；刺激因素
suspicious	 adj. 可疑的；怀疑的；多疑的
embody	 v. 体现，使具体化；具体表达 n. (Embody)人名；(英)恩博迪
hamburger	 n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
embark	 v. 从事，着手；上船或飞机
road	 n. 公路，马路；道路；手段 vt. （狗）沿臭迹追逐（猎物） adj. （美）巡回的
jog	 v. 慢跑；轻推；蹒跚行进；使颠簸 n. 慢跑；轻推，轻撞
shortcoming	 n. 缺点；短处
analyse	 v. 分析；分解；细察
telephone	 n. （美）电话；电话机；电话耳机 v. 打电话
calorie	 n. 卡路里（热量单位）
poisonous	 adj. 有毒的；恶毒的；讨厌的
vain	 adj. 徒劳的；自负的；无结果的；无用的
interference	 n. 干扰，冲突；干涉
violent	 adj. 暴力的；猛烈的
instrument	 n. 仪器；工具；乐器；手段；器械
clinic	 n. 临床；诊所
shelter	 n. 庇护；避难所；遮盖物 v. 保护；使掩蔽
charter	 v. 特许；包租；发给特许执照 n. 宪章；执照；特许状
republican	 adj. 共和国的；共和政体的；共和主义的；拥护共和政体的 n. 共和主义者
minimum	 n. 最小值；最低限度；最小化；最小量 adj. 最小的；最低的
absolute	 adj. 绝对的；完全的；专制的 n. 绝对；绝对事物
negligible	 adj. 微不足道的，可以忽略的
emergency	 n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
curious	 adj. 好奇的，有求知欲的；古怪的；爱挑剔的
declaration	 n. （纳税品等的）申报；宣布；公告；申诉书
spark	 n. 火花；朝气；闪光 v. 发动；鼓舞；求婚
cast	 v. 投，抛；计算；浇铸；投射（光、影、视线等） n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
cash	 n. 现款，现金 v. 将…兑现；支付现款
thumb	 v. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄 n. 拇指
garment	 n. 衣服，服装；外表，外观 v. 给…穿衣服
undoubtedly	 adv. 确实地，毋庸置疑的
strength	 n. 力量；力气；兵力；长处
confusion	 n. 混淆，混乱；困惑
saturate	 v. 浸透，使湿透；使饱和，使充满 adj. 浸透的，饱和的；深颜色的
visual	 adj. 视觉的，视力的；栩栩如生的
stream	 n. 溪流；流动；潮流；光线 v. 流；涌进；飘扬
backward	 adj. 向后的；反向的；发展迟缓的 adv. 向后地；相反地
assembly	 n. 装配；集会，集合
resolve	 v. 决定；溶解；使…分解；决心要做… n. 坚决；决定要做的事
coordinate	 n. 坐标；同等的人或物 adj. 并列的；同等的 v. 调整；整合
remind	 v. 提醒；使想起
purse	 n. (女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起，使缩拢；撅嘴
cake	 n. 蛋糕；块状物；利益总额 v. 使结块
hearing	 n. 听力；审讯，听讯 v. 听见（hear的ing形式）
dissolve	 v. 使溶解；使分解；使液化 n. 叠化画面；画面的溶暗
calm	 adj. 静的，平静的；沉着的 v. 使平静；使镇定 n. 风平浪静
equality	 n. 平等；相等；[数] 等式
glare	 n. 刺眼；耀眼的光；受公众注目 v. 瞪眼表示
deprive	 v. 使丧失，剥夺
fume	 v. 冒烟；发怒 n. 烟；愤怒，烦恼
preface	 n. 前言；引语 v. 为…加序言；以…开始
convention	 n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗
soar	 v. 高飞；高耸；往上飞舞 n. 高飞；高涨
boat	 n. 小船；轮船 v. 划船
canal	 n. 运河；[地理] 水道；[建] 管道；灌溉水渠 v. 在…开凿运河
bound	 adj. 有义务的；必定的；受约束的；装有封面的 v. 束缚；使跳跃 n. 范围；跳跃
edition	 n. 版本
rocket	 v. 飞驰，飞快地移动；迅速增加 n. 火箭
fleet	 adj. 快速的，敏捷的 n. 舰队；港湾；小河 v. 飞逝；疾驰；掠过
oral	 adj. 口头的，口述的 n. 口试
imitation	 n. 模仿，仿造；仿制品 adj. 人造的，仿制的
walk	 n. 步行，走；散步 v. 散步；走过
convenience	 n. 便利；厕所；便利的事物
accuracy	 n. [数] 精确度，准确性
instruct	 v. 指导；通知；命令；教授
childhood	 n. 童年时期；幼年时代
civilize	 v. 使文明；教化；使开化
esteem	 v. 尊敬；认为；考虑；估价 n. 尊重；尊敬
diligent	 adj. 勤勉的；用功的，费尽心血的 n. (Diligent)人名；(法)迪利让
reception	 n. 接待；接收；招待会；感受；反应
constitute	 v. 组成，构成；建立；任命
