consistent	 adj. 一致的
assessment	 n. 评估，评价
frustrate	 v. 使挫败，使沮丧
abolition	 n. 废除
detective	 n. 侦探
skyscraper	 n. 摩天大楼
corruption	 n. 腐败
intolerant	 adj. 无法容忍的
pierce	 v. 刺穿
compensate	 v. 弥补
gap	 n. 差距
worship	 v. 崇拜，喜爱
gallery	 n. 美术馆
coach	 n. 教练
cancel	 v. 取消
strike	 n. 罢工
rebellion	 n. 叛逆
distract	 v. 分心，分散注意
imperative	 adj. 必须的,必要的
geology	 n. 地质学
sway	 v. 影响
costume	 n. 服装
manual	 adj. 手工的；体力的
quantifiable	 adj. 可量化的
expenditure	 n. 费用，花销
breed	 v. 繁殖；导致
emerge	 v. 出现
noted	 adj. 著名的
position	 v. 安放 n. 位置；职位
extinction	 n. 灭绝
receptionist	 n. 接待员
reckless	 adj. 鲁莽的
abuse	 n. 虐待 v. 滥用
accuse	 v. 指控
biochemistry	 n. 生物化学
optimism	 n. 乐观
predict	 v. 预测
notoriously	 adv. 臭名昭著地
board	 n. 董事会
pose	 v. 形成
memorandum	 n. 备忘录
puzzling	 adj. 迷惑的，困扰的
reliable	 adj. 可靠的
replacement	 n. 代替
reinforce	 v. 增强，强化
impart	 v. 传授，教授
diversity	 n. 多样性
occupation	 n. 职业
intense	 adj. 激烈的，强烈的
dramatically	 adv. 大幅度地；戏剧性地
awareness	 n. 意识
virtually	 adv. 几乎
maturity	 n. 成熟
rare	 adj. 罕见的，稀少的
curb	 v. 限制，控制
favor	 v. 恩惠；善意的行为
productivity	 n. 生产力
mechanism	 n. 机制
helicopter	 n. 直升飞机
validity	 n. 有效性；真实性
relevant	 adj. 相关的
miracle	 n. 奇迹
fertilizer	 n. 肥料
shady	 adj. 阴凉的
poll	 n. 民意测验
countermeasure	 n. 对策
worldly	 adj. 世间的，尘世的
legislator	 n. 立法者
campaign	 n. 活动
odds	 n. 可能性
shepherd	 v. 引导，带领
schedule	 n. 计划表
access	 v. 取得，获取
owl	 n. 猫头鹰
interpret	 v. 口译；解释
intervention	 n. 干涉
bemoan	 v. 抱怨；惋惜
determine	 v. 决定
incur	 v. 引起，导致
literal	 adj. 字面的
proposition	 n. 提议，主题
feasibility	 n. 可行
destructive	 adj. 破坏性的，毁灭性的
denationalize	 v. 使非国有化
resort	 n. 度假胜地
engage	 v. 忙于，从事；雇佣
disarm	 v. 解除，消除
approximately	 adv. 大约
cover	 v. 遮盖，遮蔽
validation	 n. 证实
widespread	 adj. 广泛传播的
unethical	 adj. 不道德的
withdraw	 v. 撤销，撤退
relay	 v. 接替，转播
fluently	 adv. 流利地
mysteriously	 adv. 神秘地
hinder	 v. 阻碍
session	 n. 会议；学年
postdoctoral	 adj. 博士后的
prioritize	 v. 优先
bipartisan	 adj. 两党的
reluctance	 n. 勉强，不情愿
intuitive	 adj. 直觉的
quote	 v. 引用
pragmatic	 adj. 务实的，讲求实际的
alleviate	 v. 减轻，缓解
underlying	 adj. 潜在的，基础的
generate	 v. 产生
dysfunction	 n. 失常
invasive	 adj. 入侵的
ignore	 v. 忽视
specific	 adj. 具体的
elegant	 adj. 高雅的，雅致的
capital	 adj. 资金的，资本的
indicate	 v. 表明
eligible	 adj. 适合的；胜任的
procedure	 n. 程序
unrealistic	 adj. 不现实的
occur	 v. 发生
aggravate	 v. 加重，加剧
frankly	 adv. 坦率地
thrilling	 adj. 令人兴奋的
irreversible	 adj. 不可逆的；不可取消的
marine	 adj. 海洋的
interracial	 adj. 种族间的
grave	 adj. 严重的
undocumented	 adj. 无证明的
appoint	 v. 任命
rhetorical	 adj. 修辞的
momentum	 n. 动力，势头
deserve	 v. 值得
drastically	 adv. 激烈地，猛烈地
particle	 n. 粒子，微粒
miniature	 adj. 微型的
merit	 v. 值得 n. 优点
category	 n. 种类
liability	 n. 责任；债务
hack	 v. 黑客攻击
matter	 v. 重要；要紧
brutal	 adj. 残酷的
biodiversity	 n. 生物多样性
subsequently	 adv. 随后
bother	 v. 困扰
subconscious	 adj. 下意识的，潜意识的
genetic	 adj. 基因的
recurrence	 n. 再次发生
defect	 n. 缺点
retailer	 n. 零售商
memo	 n. 备忘录
chain	 n. 连锁店
executive	 n. 执行官
ballet	 n. 芭蕾
enrollment	 n. 入学人数
propose	 v. 提出
frantic	 adj. 疯狂的
allegedly	 adv. 据说
manipulate	 v. 操纵
coverage	 n. 报道
novel	 adj. 新颖的
previous	 adj. 之前的
neutrality	 n. 中立
underscore	 v. 强调
indispensable	 adj. 必不可少的
puzzle	 v. 迷惑
illustrate	 v. 阐明，说明
sanitation	 n. 卫生环境，卫生设备
defensive	 adj. 防守的，防御的
perspective	 n. 视角，观点
migration	 n. 迁徙，移居
float	 v. 漂浮
flexible	 adj. 灵活的
capable	 adj. 有能力的
practical	 adj. 实践的；实用的
territory	 n. 领域，领土
urbanization	 n. 城市化
privilege	 n. 特权
forthcoming	 adj. 即将来临的
widen	 v. 拓宽，变宽
deduction	 n. 扣款
virtual	 adj. 虚拟的；事实上的
boast	 v. 自夸
monetary	 adj. 货币的
dim	 adj. 暗淡的；愚蠢的
sensible	 adj. 理智的
infant	 n. 婴儿
precedent	 n. 先例
activate	 v. 激活
accomplish	 v. 实现
immigration	 n. 移民
approve	 v. 赞同
pessimist	 n. 悲观主义者
aggressive	 adj. 挑衅的
toxic	 adj. 有毒的
ruling	 n. 裁定
prolong	 v. 延长
tension	 n. 紧张
specialist	 n. 专家
encounter	 v. 遭遇
reap	 v. 收割，收获
institute	 n. 研究所，学会，学院
maintenance	 n. 维修
legend	 n. 传奇
groundless	 adj. 无理由的，无根据的
undertake	 v. 承担；着手，开始
commodity	 n. 商品
stimulate	 v. 刺激；激励
tough	 adj. 困难的，粗暴的
vital	 adj. 重要的
ankle	 n. 脚踝
surgical	 adj. 手术的
peculiar	 adj. 奇怪的；特有的
fade	 v. 褪色
pursuit	 n. 追求
sophisticated	 adj. 复杂的，精密的；老于世故的
lobbyist	 n. 游说者
lessen	 v. 减少
handgun	 n. 手枪
influential	 adj. 有影响力的
detached	 adj. 冷静的，超然的
biography	 n. 传记
curriculum	 n. 课程
margin	 n. 利润
fearlessly	 adv. 无畏地，大胆地
randomly	 adv. 随机地
discrimination	 n. 歧视
stimulus	 n. 刺激
competence	 n. 能力
sneak	 v. 溜走
exceed	 v. 超过
turbulence	 n. 气流；骚乱
address	 v. 解决
