a	 art. 一(个)；每一(个)
conjunction	 n. 接合，连接；连接词
connect	 v. 连接，连结；联系
connection	 n. 连接，联系；连贯性
conquer	 v. 征服，战胜；破除
conquest	 n. 攻取，征服；克服
conscience	 n. 良心，道德心
conscious	 adj. 意识到的；有意的
consciousness	 n. 意识，觉悟；知觉
consent	 n. 同意，赞成 v. 同意
consequence	 n. 结果，后果
consequently	 adv. 因此，因而，所以
conservation	 n. 保存，保护；守恒
conservative	 adj. 保守的 n. 保守的人
consider	 v. 认为；考虑；关心
considerable	 adj. 相当大的；重要的
considerate	 adj. 考虑周到的；体谅的
consideration	 n. 考虑，思考；体贴
consist	 v. 由…组成；在于
consistent	 adj. 坚持的，一贯的
constant	 adj. 经常的；永恒的
constitution	 n. 章程；体质；构造
construct	 v. 建造；建设；构筑
construction	 n. 建造；建筑；建筑物
consult	 v. 请教，查阅
consume	 v. 消耗，消费；消灭
consumption	 n. 消耗量；消耗
contact	 v. 使接触；与…联系
contain	 v. 包含，容纳；等于
container	 n. 容器；集装箱
contemporary	 adj. 当代的，同时代的
contempt	 n. 轻蔑；藐视；受辱
content	 adj. 满意的，满足的
contest	 v. 争夺，争取；辩驳
continent	 n. 大陆；陆地；洲
continual	 adj. 不断的；连续的
continue	 v. 继续，连续；延伸
continuous	 adj. 连续不断的，持续的
contract	 n. 契约，合同；婚约
contradiction	 n. 矛盾，不一致；否认
contrary	 adj. 相反的 n. 相反
contrast	 n. 对比，对照，悬殊
contribute	 v. 捐献，捐助；投稿
control	 v. 控制，克制 n. 控制
convenience	 n. 便利，方便；厕所
convenient	 adj. 便利的；近便的
convention	 n. 习俗，惯例；公约
conventional	 adj. 普通的；习惯的
conversation	 n. 会话，非正式会谈
conversely	 adv. 相反地
conversion	 n. 转变，转化；改变
convert	 v. 使转变；使改变
convey	 v. 传送；运送；传播
convince	 v. 使确信，使信服
cook	 v. 烹调，煮 v. 烧菜
cool	 adj. 凉的，冷静的
cooperate	 v. 合作，协作；配合
coordinate	 v. 使协调，调节
cope	 v. 对付，应付
copper	 n. 铜；铜币，铜制器
copy	 n. 抄件 v. 抄写，复制
cord	 n. 细绳，粗线，索
cordial	 adj. 真诚的，诚恳的
core	 n. 果实的心，核心
corn	 n. 谷物；(英)小麦
corner	 n. 角；犄角；边远地区
corporation	 n. 公司，企业；社团
correct	 adj. 正确的 v. 纠正
correction	 n. 改正，纠正，修改
correspond	 v. 相符合；相当
correspondent	 n. 通信者；通讯员
corresponding	 adj. 相应的；符合的
corridor	 n. 走廊，回廊，通路
cost	 n. 价格，代价；成本
costly	 adj. 昂贵的；价值高的
cottage	 n. 村舍，小屋
cotton	 n. 棉；棉线；棉布
cough	 v. 咳，咳嗽 n. 咳嗽
could	 aux. v(can的过去式)
council	 n. 理事会，委员会
count	 v. 计算 v. 数，计数
counter	 n. 柜台；计数器
country	 n. 国家，国土；农村
countryside	 n. 乡下，农村
county	 n. 英国的郡，美国的县
couple	 n. 夫妇；(一)对；几个
courage	 n. 勇气，胆量，胆识
course	 n. 课程；过程；一道菜
court	 n. 法院，法庭；庭院
cousin	 n. 堂(或表)兄弟(姐妹)
cover	 v. 盖，包括 n. 盖子
cow	 n. 母牛，奶牛；母兽
coward	 n. 懦夫；胆怯者
crack	 n. 裂缝，裂纹 v. 爆裂
craft	 n. 工艺；手艺，行业
crane	 n. 起重机，摄影升降机
crash	 v. 碰撞，坠落 n. 碰撞
crawl	 v. 爬，爬行
crazy	 adj. 疯狂的，荒唐的
cream	 n. 奶油，乳脂；奶油色
create	 v. 创造；引起，产生
creative	 adj. 创造性的，创作的
creature	 n. 生物，动物，家畜
credit	 n. 信用贷款；信用
creep	 v. 爬行；缓慢地行进
crew	 n. 全体船员
cricket	 n. 板球；蟋蟀
crime	 n. 罪，罪行；犯罪
criminal	 n. 犯人，罪犯，刑事犯
cripple	 n. 跛子；残废的人
crisis	 n. 危机；存亡之际
critic	 n. 批评家，爱挑剔的人
critical	 adj. 决定性的；批评的
criticism	 n. 批评；批判；评论
criticize	 v. 批评；评论；非难
crop	 n. 农作物，庄稼；一熟
cross	 v. 穿过；使交叉
crow	 n. 鸦，乌鸦 v. 啼
crowd	 n. 群；大众；一伙人
crown	 n. 王冠，冕；花冠
crude	 adj. 简陋的；天然的
cruel	 adj. 残忍的，残酷的
crush	 v. 压碎，碾碎；镇压
crust	 n. 面包皮；硬外皮
cry	 v. 哭，哭泣；叫喊
crystal	 n. 水晶，结晶体；晶粒
cube	 n. 立方形；立方
cubic	 adj. 立方形的；立方的
cucumber	 n. 黄瓜
cultivate	 v. 耕；种植；培养
culture	 n. 文化，文明；教养
cunning	 adj. 狡猾的，狡诈的
cup	 n. 杯子；(一)杯；奖杯
cupboard	 n. 碗柜，碗碟橱；食橱
cure	 v. 医治；消除 n. 治愈
curiosity	 n. 好奇，好奇心；珍品
curious	 adj. 好奇的；稀奇古怪的
curl	 n. 卷毛；螺旋 v. 卷曲
current	 adj. 当前的；通用的
curse	 n. 诅咒，咒骂；天谴
curtain	 n. 帘，窗帘；幕(布)
curve	 n. 曲线；弯 v. 弄弯
cushion	 n. 垫子，坐垫，靠垫
custom	 n. 习惯，风俗；海关
customer	 n. 顾客，主顾
cut	 v. 切，割，剪；减少
cycle	 n. n自行车，循环
daily	 adj. 每日的 n. 日报
dairy	 n. 牛奶场；乳制品
dam	 n. 水坝，水堤；障碍物
damage	 v. 损害，毁坏 n. 损害
damp	 adj. 潮湿的，有湿气的
dance	 v. 跳舞；摇晃 n. 舞
danger	 n. 危险；危险事物
dangerous	 adj. 危险的，不安全的
dare	 vt&aux. v敢；竟敢
daring	 adj. 大胆的，勇敢的
dark	 adj. 暗的；黑色的
darling	 n. 亲爱的人；宠儿
dash	 v. 使猛撞；溅 n. 猛冲
data	 n. 数据; n. 资料
date	 n. 日期 v. 注…日期
daughter	 n. 女儿
dawn	 n. 黎明；开端 v. 破晓
day	 n. (一)天，白昼，白天
daylight	 n. 白昼，日光；黎明
dead	 adj. 死的，无生命的
deadly	 adj. 致命的，死一般的
deaf	 adj. 聋的；不愿听的
deal	 n. 买卖；待遇 v. 给予
dear	 adj. 亲爱的 int. 啊
death	 n. 死，死亡；灭亡
debate	 n&vi. 争论，辩论
debt	 n. 债，债务，欠债
decade	 n. 十年，十年期
decay	 v. 腐烂；衰败 n. 腐烂
deceit	 n. 欺骗，欺诈
deceive	 v. 欺骗，蒙蔽，行骗
December	 n. 十二月
decent	 adj. 正派的；体面的
decide	 v. 决定，决心；解决
decision	 n. 决定，决心；果断
deck	 n. 甲板；舱面；层面
declare	 v. 断言；声明；表明
decorate	 v. 装饰，装璜，修饰
decrease	 vi&n. 减少，减少
deduce	 v. 演绎，推论，推断
deed	 n. 行为；功绩；契约
deep	 adj. 深的；纵深的
deepen	 vt. 加深 vi. 深化
deer	 n. 鹿
defeat	 v. 战胜，击败；挫败
defect	 n. 缺点，缺陷，欠缺
defence	 n. 防御；防务；辩护
defend	 v. 保卫，防守
define	 v. 给…下定义；限定
definite	 adj. 明确的；肯定的
definitely	 adv. 一定地，明确地
definition	 n. 定义，释义；定界
degree	 n. 程度；度；学位
delay	 v. 推迟；耽搁；延误
delegation	 n. 代表团
delete	 v. 删除；擦掉
delicate	 adj. 纤细的；易碎的
delicious	 adj. 美味的，怡人的
delight	 n. 快乐 v. 使高兴
deliver	 v. 投递，送交；发表
delivery	 n. 投递；交付；分娩
demand	 v. 要求；需要；询问
democracy	 n. 民主，民主制
democratic	 adj. 民主的，民主政体的
demonstrate	 v. 说明；论证；表露
dense	 adj. 密集的；浓厚的
density	 n. 密集，稠密；密度
deny	 v. 否定；拒绝相信
depart	 v. 离开，起程；出发
department	 n. 部，司，局，处，系
departure	 n. 离开，出发，起程
depend	 v. 依靠，依赖；相信
dependent	 adj. 依靠的，依赖的
deposit	 v. 使沉淀；存放
depress	 v. 使沮丧；按下
depth	 n. 深度；深厚；深处
derive	 v. 取得 v. 起源
descend	 v. 下来，下降；下倾
describe	 v. 形容；描写，描绘
description	 n. 描写，形容；种类
desert	 n. 沙漠 v. 离弃；擅离
deserve	 v. 应受，值得
design	 v. 设计 n. 设计；图样
desirable	 adj. 值得相望的；可取的
desire	 v. 相望；要求 n. 愿望
desk	 n. 书桌，办公桌
despair	 n. 绝望 v. 绝望
desperate	 adj. 拼死的；绝望的
despise	 v. 鄙视，蔑视
despite	 prep. 不管，不顾
destination	 n. 目的地，终点；目标
destroy	 v. 破坏；消灭；打破
destruction	 n. 破坏，毁灭，消灭
detail	 n. 细节；枝节；零件
detect	 v. 察觉，发觉；侦察
detection	 n. 察觉，发觉；侦察
determination	 n. 决心；决定；确定
determine	 v. 决定；查明；决心
develop	 v. 发展；形成；开发
development	 n. 发展；开发；生长
device	 n. 器械，装置；设计
devil	 n. 魔鬼，恶魔
devise	 v. 设计，发明
devote	 v. 将…奉献，致力于
dew	 n. 露，露水
diagram	 n. 图解，图表，简图
dial	 n. 钟面；拨号盘 v. 拨
dialect	 n. 方言，土语，地方话
dialog	 n. 对话，对白
diameter	 n. 直径
diamond	 n. 金钢石，钻石；菱形
diary	 n. 日记，日记簿
dictate	 vt&vi. 口授；命令
dictation	 n. 口授笔录，听写
dictionary	 n. 词典，字典
die	 v. 死，死亡；灭亡
differ	 v. 不同，相异
difference	 n. 差别；差；分歧
different	 adj. 差异的；各种的
difficult	 adj. 困难的；难对付的
difficulty	 adj. 困难；难事；困境
dig	 v. 掘，挖；采掘
digest	 v. 消化；领会 n. 文摘
digital	 adj. 数字的，计数的
diligent	 adj. 勤勉的，勤奋的
dim	 adj. 昏暗的；朦胧的
dimension	 n. 尺寸，尺度；面积
dinner	 n. 正餐，主餐；宴会
dip	 v. 浸，蘸 v. 浸一浸
direct	 adj. 直接的；直率的
direction	 n. 方向，方位；指导
directly	 adv. 直接地；立即
director	 n. 指导者；理事；导演
dirt	 n. 尘，土；污物，污垢
dirty	 adj. 脏的；下流的
disable	 v. 使无能，使伤残
disadvantage	 n. 不利，不利地位
disagree	 v. 有分歧；不一致
disappear	 v. 不见，失踪；消失
disappoint	 v. 使失望，使受挫折
disaster	 n. 灾难，灾祸；天灾
discard	 v. 丢弃，抛弃，遗弃
discharge	 v. 释放；排出 n. 释放
discipline	 n. 纪律；训练 v. 训练
disclose	 v. 揭开，揭发；透露
discourage	 v. 使泄气，使灰心
discover	 v. 发现；暴露，显示
discovery	 n. 发现；被发现的事物
discuss	 v. 讨论，谈论；论述
discussion	 n. 讨论，谈论；论述
disease	 n. 病，疾病；病害
disguise	 v. 隐瞒，掩埋 n. 假装
disgust	 n. 厌恶，憎恶
dish	 n. 碟，盘子；菜肴
dishonour	 n. 不光彩；丢脸的人
disk	 n. 圆盘，唱片；磁盘
dislike	 vt&n. 不喜爱，厌恶
dismiss	 v. 不再考虑；解雇
disorder	 n. 混乱，杂乱；骚乱
display	 v. 陈列，展览；显示
displease	 v. 使不愉快，使生气
disposal	 n. 丢掉，处理，销毁
dispose	 v. 去掉，丢掉；销毁
dispute	 v. 争论，争执 n. 争论
dissatisfy	 v. 使不满，使不平
dissolve	 v. 使溶解；解散
distance	 n. 距离，间距；远处
distant	 adj. 在远处的，疏远的
distinct	 adj. 与其它不同的
distinction	 n. 差别，不同，区分
distinguish	 v. 区别，辨别，认别
distress	 n. 忧虑，悲伤；不幸
distribute	 v. 分发，分送；分布
distribution	 n. 分发，分配；分布
district	 n. 区；地区，区域
disturb	 v. 打扰，扰乱；弄乱
ditch	 n. 沟，沟渠，渠道
dive	 v. 跳水；潜水；俯冲
diverse	 adj. 不一样的，相异的
divide	 v. 分；分配；分开
division	 n. 分，分配；除法
divorce	 n. 离婚，离异 vi. 离婚
do	 aux. v v. 做，干，办
dock	 n. 船坞；码头；船厂
doctor	 n. 医生，医师；博士
document	 n. 公文，文件；证件
dog	 n. 狗，犬，犬科动物
dollar	 n. 元(货币单位)
domestic	 adj. 本国的；家庭的
donkey	 n. 驴；笨蛋
door	 n. 门，通道；一家
dorm	 n. 宿舍
dormitory	 n. 集体寝室；宿舍
dose	 n. 剂量，用量；一剂
dot	 n. 点，圆点 v. 打点于
double	 adj. 两倍的；双的
doubt	 n. 怀疑；疑虑 v. 怀疑
doubtful	 adj. 难以预测的；怀疑的
doubtless	 adv. 无疑地；很可能
down	 adv. 向下，在下面
downstairs	 adv. 在楼下 adj. 楼下的
downward	 adj. 向下的 adv. 向下地
dozen	 n. 一打，十二个
draft	 n. 草稿；汇票 v. 起草
drag	 v. 拖，拉；拖曳
dragon	 n. 龙；凶暴的人
drain	 v. 排去；放水 n. 耗竭
drama	 n. 一出戏剧，剧本
dramatic	 adj. 引人注目的，戏剧的
draw	 v. 画，划；拖；拨出
drawer	 n. 抽屉
drawing	 n. 图画，素描；绘图
dread	 n. 畏惧；恐怖 v. 惧怕
dream	 n. 梦；梦想 v. 做梦
dress	 n. 女服，童装；服装
drift	 v. 漂流，漂泊 n. 漂流
drill	 n. 钻头；操练 v. 钻孔
drink	 v. 饮 v. 喝 n. 饮料
drip	 v. 滴下；漏水 n. 水滴
drive	 v. 驾驶；打入；驱
driver	 n. 驾驶员，司机
drop	 v. 使落下；降低
drought	 n. 旱灾，干旱
drown	 v. 淹死，溺死
drug	 n. 药，药物，药材
drum	 n. 鼓；鼓状物，圆桶
drunk	 adj. 醉的；陶醉的
dry	 adj. 干的，干燥的
duck	 n. 鸭，雌鸭；鸭肉
due	 adj. 预期的；应给的
dull	 adj. 枯燥的；不鲜明的
dumb	 adj. 哑的；无言的
dump	 v. 倾卸，倾倒；倾销
durable	 adj. 耐久的，耐用的
duration	 n. 持续，持久
during	 prep. 在…期间
dusk	 n. 薄暮，黄昏，幽暗
dust	 n. 尘土，灰尘
duty	 n. 职责；责任；税
dwelling	 n. 住处，寓所
dye	 v. 染 n. 染料；染色
dying	 adj. 垂死的；临终的
dynamic	 adj. 有活力的；动力的
each	 pron. 各，各自 adj. 各
eager	 adj. 渴望的，热切的
eagle	 n. 鹰
ear	 n. 耳朵；听力，听觉
early	 adv. 早 adj. 早的，早期的
earn	 v. 赚得，挣得；获得
earnest	 adj. 认真的，诚恳的
earth	 n. 地球；陆地，地面
earthquake	 n. 地震；大震荡
ease	 n. 容易，舒适 v. 缓和
easily	 adv. 容易地；舒适的
east	 n. 东；东部 adv. 在东方
eastern	 adj. 东方的；朝东的
easy	 adj. 容易的；安逸的
eat	 v. 吃，喝 v. 吃饭
echo	 n. 回声，反响 v. 重复
economic	 adj. 经济的，经济学的
economical	 adj. 节约的；经济学的
economy	 n. 经济；节约，节省
edge	 n. 边缘，边；刀口
edition	 n. 版，版本，版次
editor	 n. 编辑，编者，校订者
educate	 v. 教育；培养；训练
education	 n. 教育；训导；教育学
effect	 n. 结果；效果，效力
effective	 adj. 有效的；有影响的
efficiency	 n. 效率；功效，效能
efficient	 adj. 效率高的，有能力的
effort	 n. 努力；努力的成果
egg	 n. 蛋，鸡蛋，卵
eight	 num. 八，八个，第八
eighteen	 num. 十八，十八个
eighth	 num. 第八 n. 八分之一
eighty	 num. 八十，八十个
either	 pron. (两者)任何一个
elaborate	 adj. 复杂的；精心制作的
elastic	 n. 松紧带 adj. 有弹性的
elbow	 n. 肘，肘部；弯管
elder	 adj. 年龄较大的 n. 长者
elect	 v. 选举，推选；选择
election	 n. 选举，选择权；当选
electric	 adj. 电的，电动的
electrical	 adj. 电的，电气科学的
electricity	 n. 电，电学；电流
electron	 n. 电子
electronic	 adj. 电子的
electronics	 n. 电子学
element	 n. 成分；要素；元素
elementary	 adj. 基本的；初级的
elephant	 n. 象
elevator	 n. 电梯；升降机
eleven	 num. 十一，十一个
eleventh	 num. 第十一(个)
eliminate	 v. 消灭，消除，排除
elimination	 n. 消灭，排除，消除
else	 adv. 其它，另外 adj. 别的
elsewhere	 adv. 在别处，向别处
embarrass	 v. 使窘迫，使为难
embrace	 v. 拥抱；包括；包围
emerge	 v. 出现，涌现；冒出
emergency	 n. 紧急情况，突然事件
emit	 v. 散发；发射；发表
emotion	 n. 情感，感情；激动
emotional	 adj. 感情的，情绪的
emperor	 n. 皇帝
emphasis	 n. 强调，重点，重要性
emphasize	 v. 强调，着重
empire	 n. 帝国
employ	 v. 雇用；用；使忙于
employee	 n. 受雇者，雇员，雇工
employer	 n. 雇佣者，雇主
employment	 n. 工业；雇用；使用
empty	 adj. 空的；空洞的
enable	 v. 使能够，使可能
enclose	 v. 围住，圈起；附上
encounter	 v. 遭遇，遇到 n. 遭遇
encourage	 v. 鼓励，支持，助长
end	 n. 末端；目标 v. 结束
ending	 n. 结尾，结局；死亡
endless	 adj. 无止境的
endure	 v. 忍受；容忍
enemy	 n. 敌人；仇敌；敌兵
energy	 n. 活力；精力；能
enforce	 v. 实施，执行；强制
engage	 v. 使从事于；聘用
engine	 n. 发动机，引擎；机车
engineer	 n. 工程师，技师
engineering	 n. 工程，工程学
England	 n. 英格兰；英国
English	 n. 英语 adj. 英国人的
Englishman	 n. 英国男子
enjoy	 v. 享受；欣赏，喜爱
enlarge	 v. 扩大，扩展；放大
enormous	 adj. 巨大的，庞大的
enough	 adj. 足够的 adv. 足够地
ensure	 v. 保证；保护；赋予
enter	 v. 走进，进入；参加
entertain	 v. 使欢乐；招待
enthusiasm	 n. 热情，热心，热忱
enthusiastic	 adj. 热情的，热心的
entire	 adj. 全部的，整个的
entitle	 v. 给…权利(或资格)
entrance	 n. 入口，门口；进入
entry	 n. 入口处；登记；进入
envelope	 n. 信封；封套；封皮
environment	 n. 环境，外界；围绕
envy	 vt&n. 妒忌；羡慕
equal	 adj. 相等的；平等的
equality	 n. 等同，平等；相等
equation	 n. 方程(式)；等式
equip	 v. 装备，配备
equipment	 n. 装备，设备，配备
equivalent	 adj. 相等的；等量的
era	 n. 时代，年代；纪元
erect	 v. 建造；使竖立
error	 n. 错误，谬误；差错
escape	 v. 逃跑；逸出 n. 逃跑
especially	 adv. 特别，尤其，格外
essay	 n. 短文，散文，小品文
essential	 adj. 必要的，本质的
establish	 v. 建立，设立；确立
establishment	 n. 建立，设立，确立
estimate	 v. 估计，评价 n. 估计
Europe	 n. 欧洲
European	 adj. 欧洲的 n. 欧洲人
evaluate	 v. 评价，估…的价
evaporate	 v. 使蒸发 v. 蒸发
eve	 n. 前夜，前夕，前一刻
even	 adv. 甚至；甚至更，还
evening	 n. 傍晚，黄昏，晚上
event	 n. 事件，大事；事变
eventually	 adv. 终于；最后
ever	 adv. 在任何时候；曾经
every	 adj. 每一的；每隔…的
everybody	 pron. 每人，人人
everyday	 adj. 每天的，日常的
everyone	 pron. 每人，人人
everything	 pron. 每件事，事事
everywhere	 adv. 到处，处处
evidence	 n. 根据；证据，证人
evident	 adj. 明显的，明白的
evil	 n. 邪恶；祸害 adj. 坏的
evolution	 n. 进化，演化；发展
evolve	 v. 使进化；使发展
exact	 adj. 确切的；精确的
exactly	 adv. 确切地；恰恰正是
exaggerate	 vt&vi. 夸大，夸张
exam	 n. 考试；检查，细查
examination	 n. 考试；检查，细查
examine	 v. 检查，仔细观察
example	 n. 例子，实例；模范
exceed	 v. 超过，胜过；超出
exceedingly	 adv. 极端地，非常
excellent	 adj. 优秀的，杰出的
except	 prep. 除…之外
exception	 n. 例外，除外
excess	 n. 超越；过量；过度
excessive	 adj. 过多的，极度的
exchange	 v. 交换；交流 n. 交换
excite	 v. 使激动；引起
exciting	 adj. 令人兴奋的
exclaim	 v. 呼喊；惊叫
exclude	 v. 把…排除在外
exclusively	 adv. 专门地
excursion	 n. 远足；短途旅行
excuse	 v. 原谅；免除 n. 借口
execute	 v. 将…处死；实施
executive	 adj. 执行的 n. 执行者
exercise	 n. 锻炼，训练 v. 练习
exert	 v. 尽(力)，运用
exhaust	 v. 使筋疲力尽；用尽
exhibit	 v. 显示；陈列，展览
exhibition	 n. 展览，陈列；展览会
exist	 v. 存在；生存，生活
existence	 n. 存在，实在；生存
exit	 n. 出口；退场 v. 退出
expand	 v. 扩大；使膨胀
expansion	 n. 扩大，扩充；扩张
expect	 v. 预料，预期；等待
expectation	 n. 期待，期望，预期
expense	 n. 花费，消费；费用
expensive	 adj. 昂贵的，花钱多的
experience	 n. 经验，感受；经历
experiment	 n. 实验；试验
experimental	 adj. 实验的，试验的
expert	 n. 专家 adj. 熟练的
explain	 v. 解释；为…辩解
explanation	 n. 解释，说明；辩解
explode	 v. 使爆炸 v. 爆炸
exploit	 v. 剥削；利用；开拓
explore	 vt&vi. 探险，探索
explosion	 n. 爆炸，爆发，炸裂
explosive	 n. 炸药 adj. 爆炸的
export	 v. 输出，出口；运走
expose	 v. 使暴露；揭露
exposure	 n. 暴露；揭露；曝光
express	 v. 表示 n. 快车，快递
expression	 n. 词句；表达；表情
extend	 v. 延长；扩大；致
extension	 n. 延长部分；伸展
extensive	 adj. 广阔的；广泛的
extent	 n. 广度；范围；程度
exterior	 adj. 外部的；对外的
external	 adj. 外部的，外面的
extra	 adj. 额外的 adv. 特别地
extraordinary	 adj. 非同寻常的，特别的
extreme	 adj. 极度的；尽头的
extremely	 adv. 极端，极其，非常
eye	 n. 眼睛；眼力；鉴赏力
eyesight	 n. 视力，目力
fable	 n. 寓言；虚构的故事
fabric	 n. 织物，纺织品；结构
face	 n. 脸；表面；外表
facility	 n. 设备；容易；便利
fact	 n. 事实；实际，实情
factor	 n. 因素；因子，系数
factory	 n. 工厂，制造厂
faculty	 n. 才能，能力；系，科
fade	 v. 褪色；逐渐消失
Fahrenheit	 n. 华氏温度计
fail	 v. 失败；失灵；不能
failure	 n. 失败；失败的人
faint	 adj. 微弱的；虚弱的
fair	 adj. 公平的；相当的
fairly	 adv. 相当；公平地
faith	 n. 信任，信心；信仰
faithful	 adj. 忠诚的；如实的
fall	 v. 落下；跌倒；陷落
FALSE	 adj. 不真实的；伪造的
fame	 n. 名声，名望
familiar	 adj. 熟悉的；冒昧的
family	 n. 家，家庭；家族
famine	 n. 饥荒；严重的缺乏
famous	 adj. 著名的，出名的
fan	 n. (运动等)狂热爱好者
fancy	 n. 想象力；设想；爱好
far	 adj. 远的 adv. 远，遥远
fare	 n. 车费，船费，票价
farewell	 int. 再会 n. 告别
farm	 n. 农场，农庄；饲养场
farmer	 n. 农民，农夫；农场主
farther	 adv. 更远地 adj. 更远的
fashion	 n. 样子，方式；风尚
fashionable	 adj. 流行的，时髦的
fast	 adj. 快的；偏快的 adv. 快
fasten	 v. 扎牢，扣住
fatal	 adj. 致命的；命运的
fate	 n. 命运，天数
father	 n. 父亲；神父；创始人
fatigue	 n. 疲劳，劳累
fault	 n. 缺点；过失；故障
faulty	 adj. 有错误的，有缺点的
favour	 n. 好感；赞同；恩惠
favourable	 adj. 有利的；赞成的
favourite	 adj. 特别受喜爱的
fear	 n. 害怕；担心 v. 害怕
fearful	 adj. 害怕的，可怕的
feasible	 adj. 可行的；可能的
feast	 n. 盛宴，筵席；节日
feather	 n. 羽毛；翎毛；羽状物
feature	 n. 特征，特色；面貌
February	 n. 二月
federal	 adj. 联邦的；联盟的
fee	 n. 费，酬金；赏金
feeble	 adj. 虚弱的；微弱的
feed	 v. 喂(养) v. 吃饲料
feedback	 n. 回授，反馈，反应
feel	 v. 有知觉 v. 触，摸
feeling	 n. 感情；感觉，知觉
fellow	 n. 人，家伙；伙伴
female	 n. 雌性的动物；女子
fence	 n. 栅栏
fertile	 adj. 肥沃的；多产的
fertilizer	 n. 肥料
festival	 n. 节日；音乐节
fetch	 v. 拿来；请来，接去
fever	 n. 发热，发烧；狂热
few	 adj. 很少的；少数的
fibre	 n. 纤维，纤维质
fiction	 n. 小说；虚构，杜撰
field	 n. 田野；田；运动场
fierce	 adj. 凶猛的，狂热的
fifteen	 num. 十五；十五个
fifth	 num. 第五 n. 五分之一
fifty	 num. 五十，五十个
fight	 v. 打(仗)；斗争
figure	 n. 数字；外形；人物
file	 n. 档案 v. 把…归档
fill	 v. 装满，盛满；占满
film	 n. 影片；胶卷；薄层
filter	 v. 过滤 n. 滤纸
final	 adj. 最后的；决定性的
finally	 adv. 最后；不可更改的
finance	 n. 财政，金融；财源
financial	 adj. 财政的，金融的
find	 v. 找到；发觉；找出
finding	 n. 发现；调查的结果
fine	 adj. 美好的；纤细的
finger	 n. 手指；指状物
finish	 v. 完成，结束 n. 结束
fire	 n. 火；火灾 v. 开火
fireman	 n. 消防队员；司炉工
firm	 n. 商行，商号，公司
first	 num. 第一 adv. 最初
fish	 n. 鱼，鱼肉 v. 钓鱼
fisherman	 n. 渔民，渔夫，打鱼人
fist	 n. 拳(头)
fit	 v. 适合；安装 v. 适合
five	 num. 五，五个，第五
fix	 v. 使固定；决定
flag	 n. 旗，旗帜；旗舰旗
flame	 n. 火焰；光辉；热情
flare	 v. 闪耀 v. 使闪亮
flash	 n. 闪光 v. 闪，闪烁
flat	 adj. 平的，扁平的
flavour	 n. 味，味道；风味
fleet	 n. 舰队；船队，机群
flesh	 n. 肉，肌肉；肉体
flexible	 adj. 易弯曲的；灵活的
flight	 n. 航班；飞行；逃跑
float	 v. 漂浮 v. 使漂浮
flock	 n. 羊群，群；大量
flood	 n. 洪水 v. 淹没
floor	 n. 地板；楼层
flour	 n. 面粉，粉；粉状物质
flourish	 v. 繁荣，茂盛，兴旺
flow	 v. 流动；飘垂；涨潮
flower	 n. 花，花卉；开花
flu	 n. 流行性感冒
fluent	 adj. 流利的，流畅的
fluid	 n. 流体，液体
flush	 v. 奔流；(脸)发红
fly	 n. 蝇，苍蝇 v. 飞行
focus	 v. 聚焦，注视 n. 焦点
fog	 n. 雾；烟雾，尘雾
fold	 v. 折叠；合拢 n. 褶
folk	 n. 人们，家属，亲属
follow	 v. 跟随；结果是
following	 adj. 接着的；下列的
fond	 adj. 喜爱的；溺爱的
food	 n. 食物，食品，养料
fool	 n. 蠢人，傻子 v. 欺骗
foolish	 adj. 愚蠢的；鲁莽的
foot	 n. 脚；最下部；英尺
football	 n. 足球比赛；足球
footstep	 n. 脚步；脚步声；足迹
for	 prep. 为；给；因为
forbid	 v. 禁止，不许；阻止
force	 v. 强迫 n. 力，力量
forecast	 n. 预测，预报 v. 预示
forehead	 n. 额头，前部
foreign	 adj. 外国的；外来的
foreigner	 n. 外国人
foremost	 adj. 最初的；第一流的
forest	 n. 森林；森林地带
forever	 adv. 永远，总是，老是
forget	 v. 忘记，遗忘
forgive	 v. 原谅，饶恕，宽恕
fork	 n. 餐叉；叉；分叉
form	 n. 形式；形状 v. 形成
formal	 adj. 正式的；礼仪上的
formation	 n. 形成；构成；形成物
former	 adj. 在前的 n. 前者
formula	 n. 公式，式
forth	 adv. 向前；向外，往外
fortnight	 n. 两星期，十四天
fortunate	 adj. 幸运的，侥幸的
fortunately	 adv. 幸运地，幸亏
fortune	 n. 命运，运气；财产
forty	 num. 四十，第四十
forward	 adv. 向前；今后，往后
found	 v. 创立，创办；建立
foundation	 n. 基础；地基；基金
fountain	 n. 泉水，喷泉；源泉
four	 num. 四，四个，第四
fourteen	 num. 十四，第十四
fourth	 num. 第四，四分之一
fox	 n. 狐狸；狡猾的人
fraction	 n. 小部分；片断；分数
fragment	 n. 碎片，破片，碎块
frame	 n. 框架，框子；构架
framework	 n. 框架，构架，结构
France	 n. 法国，法兰西
frank	 adj. 坦白的，直率的
free	 adj. 自由的；空闲的
freedom	 n. 自由；自主
freely	 adv. 自由地；直率地
freeze	 v. 冻；结冻 v. 使结冰
freight	 n. 货运；货物；运费
French	 adj. 法国的 n. 法国人
frequency	 n. 屡次；次数；频率
frequent	 adj. 时常发生的；经常的
frequently	 adv. 时常，常常
fresh	 adj. 新的；新鲜的
friction	 n. 摩擦，摩擦力
Friday	 n. 星期五
fridge	 n. 电冰箱
friend	 n. 朋友，友人
friendly	 adj. 友好的，友谊的
friendship	 n. 友谊，友好
