trade	 v. 做买卖；交换
divine	 adj. 神的；敬神的
deliberate	 adj. 深思熟虑的；审慎的
profound	 adj. 见解深刻的；渊博的
trench	 n. 深沟；壕沟，战壕
photography	 n. 摄影术
editorial	 n. 社论，期刊的社论
sociology	 n. 社会学
conceive	 v. 设想，以为；怀孕
reject	 v. 舍弃，抛弃；排斥
serpent	 n. 蛇（尤指大蛇或毒蛇）
extravagant	 adj. 奢侈的；过度的
maid	 n. 少女；处女
maiden	 n. 少女，未婚女子
scorch	 v. 烧焦；枯萎
context	 n. 上下文；来龙去脉
Heaven	 n. 上帝，神
counsel	 n. 商议；忠告；律师
tradesman	 n. 商人，店主；手艺人
trader	 n. 商人
dealer	 n. 商人；毒品贩；发牌者
ware	 n. 物品；商品，货物
merchandise	 n. 商品，货物
blue	 adj. 伤心的；下流的
goodness	 n. 善良，善行，美德
underwear	 n. 衫衣，内衣，贴身衣
cancel	 v. 取消
gap	 n. 差距；山口，山峡
sift	 v. 筛，过滤
shark	 n. 鲨鱼；诈骗钱财者
gravel	 n. 砂跞；砂砾层；结石
sardine	 n. 沙丁鱼
tone	 n. 色调，光度
scan	 n. 扫描
uproar	 n. 骚动，扰乱；喧嚣
prose	 n. 散文
emission	 n. 散发；传播；发出物
stroll	 n. 散步，溜达，闲逛
triangular	 adj. 三角的；三者间的
mute	 n. 弱音器
choice	 n. 入选者 adj. 优等的
tolerant	 adj. 容忍的；有耐力的
commodity	 n. 日用品，商品，物品
routine	 adj. 日常的 n. 常规
undertaking	 n. 任务，事业；承诺
deem	 v. 认为，相信，想
awake	 v. 认识到
recognition	 n. 认出，识别
identification	 n. 身份证；认出，鉴定
merciful	 adj. 仁慈的，宽大的
hostage	 n. 人质
pitch	 n. 沥青
personnel	 n. 人事部门
humanity	 n. 人类；人性，人情
personality	 n. 人格，个性；名人
thermal	 adj. 热的；温热的
tropic	 n. 回归线；热带地区
tropical	 adj. 热带的；（天气）湿热的
concession	 n. 让步，迁就
combustion	 n. 燃烧
whisker	 n. 髯，连鬓胡子
flock	 v. 群集，聚集
conviction	 n. 确信，信服，深信
certainty	 n. 确实性，确信，确实
positively	 adv. 确定的，断然
quantify	 v. 确定…的数量
deficient	 adj. 缺乏的；欠缺的
deficiency	 n. 缺乏；不足
scarcity	 n. 缺乏，不足
flaw	 n. 缺点，瑕疵
induce	 v. 劝诱；引起
persuasion	 n. 劝说，说服
claim	 n. 权利，所有权
late	 adj. 去世不久的
extract	 v. 取出；提取 n. 摘录
crank	 n. 曲柄 v. 用曲柄转动
expel	 v. 开除；驱逐；排出
dissipate	 v. 驱散；消散；浪费
spherical	 adj. 球形的，球面的
global	 adj. 全球的
Jupiter	 n. 木星；丘庇特
plea	 n. 请愿，请求，恳求
petition	 n. 请愿 v. 向…请愿
sight	 n. 景象；名胜，风景
mistress	 n. 情妇，情人
mosque	 n. 清真寺
cleanliness	 n. 清洁
inclination	 n. 倾斜，点头；斜坡
rap	 n. 轻敲击声 v. 敲击
rash	 adj. 轻率的；鲁莽的
bronze	 n. 青铜色
industrious	 adj. 勤劳的，勤奋的
admiration	 n. 钦佩；赞美，羡慕
agreeable	 adj. 惬意的；同意的
section	 n. 部分
segment	 n. 切片，部分；段，节
slit	 v. 切开 n. 狭长的切口
hardy	 adj. 强壮的，耐劳的
compulsory	 adj. 强迫的，义务的
constraint	 n. 限制，束缚，约束
mighty	 adj. 强大的；巨大的
thoughtless	 adj. 欠考虑的；自私的
denounce	 v. 谴责，声讨；告发
pious	 adj. 虔诚的；虔奉宗教的
lobby	 n. 前厅，（剧院的）门廊
consistent	 adj. 前后一致的，连贯的
predecessor	 n. 前辈，前任者
visa	 n. 签证
modesty	 n. 谦逊；端庄
gracious	 adj. 谦和的
migrate	 v. 迁移，移居
kilowatt	 n. 千瓦（特）
pertinent	 adj. 恰当的；有关的
apt	 adj. 恰当的；聪明的
utensil	 n. 器皿，用具
maple	 n. 槭树，枫树
follower	 n. 信徒，追随者
siren	 n. 汽笛，警报器
motel	 n. 汽车游客旅馆
garage	 n. 汽车修理站
motorway	 n. 汽车道，快车路
hitherto	 adv. 迄今，到目前为止
barometer	 n. 气压计，睛雨表
pant	 v. 气喘
jack	 n. 起重器；传动装置
scratch	 n. （某人皮肤上的）划痕，划伤
count	 n. 起拆理由，罪状
message	 n. 启示，要旨，教训
enlighten	 v. 启发，开导；启蒙
implore	 v. 乞求，恳求，哀求
knight	 n. 骑士，武士；爵士
marvel	 n. 奇迹；惊奇 v. 惊奇
subsequently	 adv. 其后，其次，接着
cheat	 n. 欺诈；骗取
periodical	 n. 期刊，杂志
currently	 adv. 当前
universally	 adv. 普遍地，一般地
bushel	 n. 蒲式耳（容量单位）
raisin	 n. 葡萄干
fracture	 n. 破裂；裂痕 v. 破裂
destructive	 adj. 破坏（性）的，危害的
bankrupt	 adj. 破产的 v. 使破产
persecute	 v. 迫害，残害
incline	 n. 坡度
flask	 n. 瓶
tack	 n. 平头钉 v. 钉住
terrace	 n. 平台，阳台，露台
civilian	 n. 平民 adj. 平民的
tranquil	 adj. 平静的；稳定的
equation	 n. 平衡；反应式
equilibrium	 n. 平衡，均衡；均衡论
commonplace	 adj. 平凡的 n. 平常话
frequency	 n. 频繁，屡次；频率
barren	 adj. 贫瘠的；不孕的
float	 n. 漂浮物；浮标，木筏
bleach	 v. 漂白，变白
flake	 n. 片，薄片
deflection	 n. 偏斜，歪斜；偏差
prejudice	 n. 偏见，成见；损害
adjacent	 adj. 毗连的；紧接着的
cape	 n. 披肩，斗篷；海角
clash	 n. 冲突，抵触；碰撞声
collide	 v. 碰撞；冲突，抵触
ingredient	 n. 配料，成分
shell	 n. 炮弹，猎枪子弹
battery	 n. 炮组，排炮
foam	 n. 泡沫塑料；泡沫
bypass	 n. 旁通管 v. 绕过
limp	 v. 蹒跚，跛行 n. 跛行
stagger	 v. 蹒跚，使摇晃
ascend	 v. 攀登，登高
dispatch	 v. 派遣；调度 n. 急件
faction	 n. 派别，宗派，小集团
hover	 v. 徘徊；傍徨；翱翔；盘旋
drainage	 n. 排水；下水道
range	 v. 排列
clap	 n. 拍手喝采声；霹雳声
reptile	 n. 爬行动物
overhear	 v. 偶然听到；偷听
ohm	 n. 欧姆
hostess	 n. 女主人；旅馆女老板
feminine	 adj. 女性的；女子气的
waitress	 n. 女侍者，女服务员
goddess	 n. 女神
blouse	 n. 女衬衫；罩衫
coward	 adj. 懦怯的，胆小的
radiator	 n. 暖气片；散热器
strive	 v. 努力，奋斗，力求
mess	 v. 弄脏，弄乱，搞糟
distortion	 n. 歪曲；畸变
shorten	 v. 弄短，缩小，减少
Saturn	 n. 土星
milky	 adj. 牛奶的；乳白色的
wrench	 v. 拧，扭伤 n. 拧
wring	 v. 拧，挤，扭，榨
peer	 v. 凝视
nickel	 n. 镍；镍币
junior	 n. 年少者；晚辈
annually	 adv. 年年，每年
practicable	 adj. 能实行的；适用的
capability	 n. 能力，才能
basin	 n. 内海；盆地；流域
interior	 n. 内部 adj. 内部的
tickle	 v. 挠，胳肢；逗乐
incredible	 adj. 难以置信的，惊人的
difficult	 adj. 难以满足的
refugee	 n. 难民，流亡者
pumpkin	 n. 南瓜
polar	 adj. 南（北）极的；极性的
masculine	 adj. 男性的
baron	 n. 男爵；贵族；巨商
endurance	 n. 耐久力，持久力
sodium	 n. 钠
pasture	 n. 牧场
intent	 adj. 目不转睛的，热切的
end	 n. 目标，目的
oyster	 n. 牡蛎
magician	 n. 魔法师；变戏法的人
skyscraper	 n. 摩天楼
module	 n. 模块；组件
ambiguous	 adj. 模棱两可的；分歧的
feel	 v. 摸起来
destiny	 n. 命运，天数
doom	 n. 厄运，毁灭 v. 注定
proposition	 n. 命题，主题；提议
bid	 v. 报价；命令
destine	 v. 命定，注定；预定
sensible	 adj. 明显的，感觉得到的
explicit	 adj. 明晰的；直率的
decidedly	 adv. 明确地，坚决地
formulation	 n. 表述方式
brightness	 n. 明亮，辉煌，聪明
classic	 n. 名著 adj. 不朽的
promptly	 adv. 敏捷地，迅速地
sensitivity	 n. 敏感（性）；灵敏性
representation	 n. 描写；陈述；代表
nursery	 n. 苗圃
deposition	 n. 免职，罢免
confidential	 adj. 秘密的；亲信的
enchant	 v. 迷住；用魔法迷惑
fascinate	 v. 迷住，迷人
superstition	 n. 迷信，迷信行为
stray	 v. 迷路 adj. 迷路的
perplex	 v. 迷惑，困惑，难住
bewilder	 v. 迷惑，把…弄糊涂
snap	 v. 猛咬；突然折断
hurl	 v. 猛投；猛冲
jerk	 v. 猛地一拉，急拉
ally	 n. 盟国；同盟者，伙伴
threshold	 n. 门槛；入门，开端
charm	 n. 魅力；妩媚 v. 迷人
fair	 adj. 美丽的
offensive	 adj. 冒犯的；进攻的
pore	 n. 毛孔，气孔，细孔
fuss	 n. 大惊小怪 v. 忙乱
cartoon	 n. 动画片；漫画
vine	 n. 蔓，藤，藤本植物
expire	 v. 满期，到期；断气
bull	 n. 买空的证券投机商
wharf	 n. 码头，停泊所
circus	 n. 马戏；马戏团
filter	 v. 滤过
ass	 n. 傻瓜，蠢笨的人；驴
propeller	 n. 螺旋桨，推进器
spiral	 adj. 螺旋（形）的，盘旋的
nut	 n. 螺帽，螺母
Roman	 n. 古罗马人；罗马人
thesis	 n. 论文；论题，论点
forum	 n. 论坛，讨论会
oval	 adj. 卵形的 n. 卵形
video	 adj. 录像的
reed	 n. 芦笛，牧笛
leakage	 n. 漏，泄漏；漏出物
hug	 v. 搂 n. 紧紧拥抱
stairway	 n. 楼梯
monopoly	 n. 垄断；独占，专利
bridle	 n. 马笼头；马勒 v. 束缚；抑制
willow	 n. 柳树，柳木
streamline	 n. 流线；流线型
rascal	 n. 流氓，恶棍，无赖
prevalent	 adj. 流行的；盛行的
exile	 v. 流放 n. 被流放者
flux	 n. 流；涨潮；流量
track	 v. 留下足迹
gramophone	 n. 留声机
otherwise	 adv. 另外；在其他方面
province	 n. 领域，范围，职权
consul	 n. 领事
retail	 n. 零售
flexible	 adj. 灵活的，可变通的
inspiration	 n. 灵感；妙想；鼓舞
grove	 n. 林子，小树林，园林
neighbouring	 adj. 邻近的，接壤的
vicinity	 n. 邻近；附近地区
fission	 n. 裂开；分裂生殖
prey	 n. 猎物 v. 捕获
martyr	 n. 烈士，殉难者
grin	 v. 咧着嘴笑
expect	 v. 料想，认为
quantitative	 adj. 量的；定量的
blush	 v. 脸红，害臊 n. 脸红
allied	 adj. 联合的；联姻的
ripple	 n. 涟漪，细浪，波纹
mitten	 n. 连指手套
attachment	 n. 爱慕；附件；连接物
junction	 n. 连接点，汇合处
chestnut	 n. 栗子；栗树；栗色
exceptional	 adj. 优越的；例外的
solar	 adj. 利用太阳光的
impose	 v. 将（想法、信仰等）强加于（某人）
utilization	 n. 利用，效用
stereo	 n. 立体声 adj. 立体声的
cubic	 adj. 立方体的；立方的
legislation	 n. 立法；法规
historian	 n. 历史学家；编史家
historic	 adj. 历史的；历史性的
mechanics	 n. 力学，机械学
intellect	 n. 理智，智力，才智
ideally	 adv. 理想地；理论上
abstract	 adj. 理论上的 n. 抽象派作品
slang	 n. 俚语；行话，黑话
courtesy	 n. 礼貌，谦恭
twilight	 n. 黄昏
ion	 n. 离子
excursion	 n. （尤指集体）远足，短途旅行
grim	 adj. 严厉的
prism	 n. 棱镜；棱柱（体）
troublesome	 adj. 困难的
analogue	 n. 类似物
similarity	 n. 类似，相似；类似点
flank	 n. 肋，肋腹；侧面
comprehend	 v. 了解，理解，领会
optimism	 n. 乐观，乐观主义
sophisticated	 adj. 老于世故的；高级的
straightforward	 adj. 老实的，坦率的
wasteful	 adj. 浪费的
idleness	 n. 懒惰；赋闲无事
shabby	 adj. 破旧的；褴褛的
dust	 n. 灰尘
flight	 n. 溃退，逃跑
rapture	 n. 狂喜，欢天喜地
fury	 n. 狂怒，暴怒；猛烈
violent	 adj. 狂暴的
furious	 adj. 狂暴的；强烈的
satisfaction	 n. 满足，愉快
snack	 n. 快餐，小吃
rapidity	 n. 快，迅速；陡，险峻
parade	 v. 夸耀（才能等）
pants	 n. 裤子；男用短衬裤
bitterness	 n. 苦味，辛酸，苦难
wither	 v. 枯萎；使衰弱
clasp	 v. 扣住，扣紧，钩住
fastener	 n. 扣件，钮扣，揿钮
stammer	 v. 口吃地说 n. 口吃
panic	 n. 恐慌，惊慌
terrorist	 n. 恐怖分子
peacock	 n. 孔雀
fantastic	 adj. 空想的；奇异的
pneumatic	 adj. 空气的；气动的
aerial	 adj. 空气的；航空的
spatial	 adj. 空间的，占据空间的
void	 adj. 无效的；空的
gnaw	 v. 啃，咬断，啮
longing	 n. 渴望 adj. 显示渴望的
suspicious	 adj. 可疑的；猜疑的
shady	 adj. 可疑的，靠不住的
questionable	 adj. 可疑的，不可靠的
portable	 adj. 可移动的
grateful	 adj. 感谢的，感激的
adjustable	 adj. 可调整的，可校准的
frightful	 adj. 可怕的；讨厌的
formidable	 adj. 可怕的；难对付的
dreadful	 adj. 可怕的；令人畏惧的
monstrous	 adj. 极大的；可怕的
possibility	 n. 可能的事
likelihood	 n. 可能（性）
respectable	 adj. 可敬的；人格高尚的
appreciable	 adj. 可察觉的
shameful	 adj. 可耻的；不道德的
comparable	 adj. 可比较的；类似的
particular	 adj. 特称的；苛求的
whereby	 adv. 靠什么；靠那个
ponder	 v. 考虑，沉思
exploration	 n. 考察；勘探；探查
generosity	 n. 慷慨，宽宏大量
discern	 v. 弄清楚，辨别；看出，辨出
fell	 v. 砍倒（树等）；砍伐
carry	 v. 刊登
inaugurate	 v. 使就职；开始
initiate	 v. 开始，创始；启蒙
commence	 v. 开始；获得学位
reclaim	 v. 开垦，开拓；回收
evolution	 n. 进化
start	 v. 开动，着手；开设
unlock	 v. 开…的锁；开启
sheriff	 n. 郡长
monarch	 n. 君主，最高统治者
sovereign	 n. 君主 adj. 统治的
bugle	 n. 军号，喇叭
extinct	 adj. 绝种的
decisive	 adj. 决定性的；果断的
govern	 v. 决定，支配；控制
winding	 n. 蜿蜒曲折的路径 adj. 蜿蜒曲折的
curly	 adj. 卷曲的；有卷毛的
reel	 v. 卷，绕
mob	 v. 团团围住（名人等）
polymer	 n. 聚合物，多聚物
hurricane	 n. 飓风，十二级风
sting	 n. 剧痛；刺痛 v. 刺
repel	 v. 使厌恶；拒绝
gigantic	 adj. 巨大的；巨人似的
uphold	 v. 维护
exemplify	 v. 举例证明（解释）
rectangle	 n. 矩形，长方形
administration	 n. 局（或署、处等）
reside	 v. 居住，驻扎；属于
dwell	 v. 居住；凝思，细想
induction	 n. 就职；归纳推理
Christ	 n. 救世主（耶稣基督）
symposium	 n. 座谈会
whoever	 pron. 究竟是谁
rectify	 v. 纠正；调整
vein	 n. 静脉，血管；矿脉
competitor	 n. 竞争者，敌手
competitive	 adj. 竞争的，比赛的
contend	 v. 竞争；坚决主张
alert	 adj. 警惕的
warning	 n. 警告，告诫，鉴诫
whale	 n. 鲸
selection	 n. 选择；精选的东西
thorough	 adj. 精心的；详尽的
finely	 adv. 精细地；美好地
literary	 adj. 文学的
refinery	 n. 精炼厂，提炼厂
vigorous	 adj. 精力旺盛的，茁壮的
fright	 n. 惊吓，恐怖
astonishment	 n. 惊奇，惊讶
dismay	 n. 惊慌，沮丧，灰心
empirical	 adj. 经验主义的
longitude	 n. 经线，经度
support	 v. 经受，承受
economics	 n. 经济学；经济
prohibition	 n. 禁止；禁令，禁律
shortcut	 n. 近路；捷径
inlet	 n. 水湾；进口
perfection	 n. 尽善尽美；无比精确
notwithstanding	 prep. 尽管，虽然
prudent	 adj. 谨慎的；精明的
compact	 adj. 紧密的 v. 使紧凑
tightly	 adv. 紧地，牢固地
barely	 adv. 勉强；仅仅
metallic	 adj. 金属的
tuna	 n. 金枪鱼
henceforth	 adv. 今后，从今以后
mustard	 n. 芥子，芥末
presentation	 n. 介绍；呈现
interpret	 v. 口译；解释
version	 n. 解释
untie	 v. 解开，松开；解放
tackle	 v. 解决，对付 n. 用具
dissolve	 v. 解除（婚约等）
tuberculosis	 n. 结核病，肺结核
incorporate	 v. 结合，合并，收编
construction	 n. 建筑结构
economically	 adv. 在经济上；节约地
abbreviation	 n. 节略，缩写，缩短
thrifty	 adj. 节俭的
interview	 v. 接见，会见，会谈
receiver	 n. 接待者；收受者
yeast	 n. 酵母
doctrine	 n. 教义，主义；学说
tutor	 v. 教，指导
disillusion	 v. 觉醒，使觉醒
horn	 n. 角状物；喇叭形物
reef	 n. 礁，礁石，暗礁
coke	 n. 焦炭
symphony	 n. 交响乐；交响乐团
intercourse	 n. 交际，往来，交流
soy	 n. 大豆，黄豆；酱油
parachute	 n. 降落伞
degradation	 n. 降级；退化；衰变
oar	 n. 桨
discourse	 n. 讲话，演说，讲道
ginger	 n. 姜，生姜
splash	 v. 溅泼；泼水 n. 溅泼声
architect	 n. 建筑师；创造者
theory	 n. （未证明的）见解，看法，推测
clip	 v. 剪；剪辑报刊
diminish	 v. 减少，减小
lessen	 v. 减少，变少
inspector	 n. 检查员；巡官
reserve	 n. 缄默，自我克制
challenge	 n. 艰巨任务
enterprise	 n. 艰巨的事业；事业心
resolute	 adj. 坚决的，果敢的
firmness	 n. 坚固，坚定，稳固
sturdy	 adj. 牢固的；坚定的
steady	 adj. 稳定的，扎实的
stability	 n. 稳定
insistent	 adj. 坚持的
persistence	 n. 坚持；持续，存留
persevere	 v. 坚持，不屈不挠
shrill	 adj. 尖声的 v. 尖声地叫
bridge	 v. 架桥于，用桥连接
rate	 n. 价格 v. 对…评定
hypothesis	 n. 假设；前提
sham	 n. 假冒；膺品 v. 假装
fake	 n. 假货，膺品 adj. 假的
presume	 v. 假定，假设，揣测
beetle	 n. 甲虫
clamp	 v. 夹住，夹紧 n. 夹子
sandwich	 v. 夹入，挤进
homely	 adj. 家常的
fowl	 n. 家禽；禽肉
poultry	 n. 家禽
heater	 n. 加热器
deepen	 vt. （使色泽等）加浓
heighten	 v. 加高，提高；增加
line	 v. 加衬里于
stillness	 n. 寂静，无声
lodging	 n. 寄宿，住宿；住所
successor	 n. 继承人，继任者
succession	 n. 继承（权）
quarterly	 adj&adv. 季度的（地）
craft	 n. 技巧
souvenir	 n. 纪念品
documentary	 adj. 纪录的；文献的
marginal	 adj. 边缘的；记在页边的
terminal	 n. 计算机终端；线接头
scheme	 v. 计划，搞阴谋
geometrical	 adj. 几何学的
bazaar	 n. 集市，廉价商店
gathering	 n. 集会，聚会，聚集
set	 n. 集（合）
disorder	 n. 疾病，小病
complaint	 n. 疾病，病痛
forthcoming	 adj. 即将到来的；现成的
polarity	 n. （人、意见或观念的）截然相反，截然对立；极性
extreme	 n. 极端不同的性质
guitar	 n. 吉他，六弦琴
timely	 adj. 及时的；适时的
irritate	 v. 激怒；引起不愉快
drastic	 adj. 激烈的；严厉的
severe	 adj. 艰难的；简朴的
Christian	 adj. 基督教的
elemental	 adj. 基本的；自然力的
radical	 adj. 基本的；激进的
ultimate	 adj. 首要的；基本的
energetic	 adj. 积极的；精力旺盛的
muscular	 adj. 肌肉发达的，强健的
witty	 adj. 机智的；风趣的
mechanism	 n. 机械装置；机制
tact	 n. 机敏，圆滑，得体
ingenious	 adj. 精巧制成的；机灵的
ingenuity	 n. 机灵；设计新颖
framework	 n. 体制
fence	 n. 击剑（术），击剑
stall	 n. 货摊，书摊；马厩
fellowship	 n. 伙伴关系；联谊会
Mars	 n. 火星
ham	 n. 火腿
piston	 n. 活塞
vigour	 n. 活力，精力；元气
cloudy	 adj. 混浊的；模糊不清的
mixer	 n. 搅拌器
engagement	 n. 婚约；约会
bribe	 n. 贿赂 v. 向…行贿
corrupt	 v. 使腐化 adj. 腐败的
response	 n. 回应
badge	 n. 徽章，像章；标志
wield	 v. 挥（剑）；行使
locust	 n. 蝗虫
wasp	 n. 黄蜂
royalty	 n. 皇家，王族，皇族
desolate	 adj. 荒芜的；孤独的
illusion	 n. 幻想；错觉；假象
modification	 n. 修改
environmental	 adj. 环境的，环境产生的
pregnant	 adj. 怀孕的；意义深长的；意义深长的
fossil	 n. 化石
glider	 n. 滑翔机；滑翔导弹
pulley	 n. 滑轮，滑车，皮带轮
slide	 n. 滑动，滑行
granite	 adj. 花岗岩，花岗石
correlate	 n. 互相关联的事物
walnut	 n. 核桃；胡桃树
arc	 n. 弧，弓形物；弧光
exclamation	 n. 呼喊，惊叫；感叹
outcome	 n. 后果，成果
ruby	 n. 红宝石
hit	 n. 轰动一时的人（或事）
traverse	 v. 横越
transverse	 adj. 横的
bed	 n. 河床，（湖）底
harmonious	 adj. 和谐的，协调的
monk	 n. 和尚，僧侣，修道士
cooperative	 adj. 合作的 n. 合作社
hinge	 n. 合页，折叶，铰链
proper	 adj. 合乎体统的，正派的
composite	 adj. 合成的 n. 合成物
synthesis	 n. 综合，综合物；（化学或生物学物质的）合成；（用电子方式对声音、语音或音乐的）合成
applause	 n. 喝彩；夸奖，称赞
applaud	 v. 鼓掌；喝彩
hurrah	 int. 好哇，万岁，乌拉
pal	 n. 好朋友；同谋
hospitality	 n. 好客，殷勤
romantic	 adj. 好幻想的
howl	 n. 嚎叫；哀号；吠
aerospace	 n. 航空航天工业
log	 n. 航海日志；飞行日志
pedestrian	 n. 行人，步行者
move	 n. 行动，步骤
hesitate	 v. 犹豫；迟疑不决
pest	 n. 害虫
strait	 n. 海峡
turtle	 n. 海龟，玳瑁
custom	 n. 海关
seaport	 n. 海港，港口，港市
cable	 n. 电缆
pirate	 n. 海盗
seaside	 n. 海滨（胜地）；海边
surplus	 n. 过剩，剩余（物资）
overestimate	 v. 过高估计
excessively	 adv. 过分，极端地
excess	 n. 过度行为，暴行
orchard	 n. 果园
peel	 n. 果皮，蔬菜皮
stone	 n. 果核，（水果的）硬核
slap	 v. 掴 n. 巴掌
inland	 adj. 国内的；内地的
boiler	 n. 锅炉
roller	 n. 滚筒；滚柱
valuable	 n. 贵重物品，财宝
salmon	 n. 鲑，大马哈鱼
silicon	 n. 硅（旧名矽）
regulation	 n. 规章，规则
regularity	 n. 规则性；整齐，端正
define	 v. 规定；立（界限）
provision	 n. 规定，条款，条项
replacement	 n. 取代；置换
spacious	 adj. 广阔的，广大的
amplitude	 n. 振幅；广大；充足
radial	 adj. 放射状的
photoelectric	 adj. 光电的
optical	 adj. 光的；光学的
shrub	 n. 灌木，灌木丛
irrigation	 n. 灌溉；（医）冲洗法
inertia	 n. 惯性；无力
orchestra	 n. 管弦乐队
blast	 n. 管乐器的声音
pipe	 n. 管乐器
coffin	 n. 棺材，灵柩
bureaucracy	 n. 官僚主义；官僚机构
monster	 n. 怪物；畸形的动植物
client	 n. 顾客；诉讼委托人
obstinate	 adj. 固执的；顽强的
inherent	 adj. 固有的，生来的
fixture	 n. 固定设备
pluck	 v. 鼓起（勇气），振作
agitation	 n. 鼓动，煸动；搅动
skeleton	 n. 骨骼，骷髅；骨架
thigh	 n. 股，大腿
cereal	 n. 谷类，五谷，禾谷
antique	 adj. 古代的 n. 古物
assessment	 n. 估定；查定
constitute	 v. 构成，组成
hound	 n. 猎犬
gutter	 n. 沟，边沟；檐槽
tribute	 n. 献礼；贡物
number	 v. 共计，达…之数
commonwealth	 n. 联邦
arch	 n. 拱门 v. （使）拱起
vault	 n. 拱顶；（教堂的）地下墓室
mercury	 n. 汞，水银
consolidate	 v. 巩固；合并
impartial	 adj. 公正的，无偏见的
convention	 n. 公约，（换俘等）协定
duke	 n. 公爵；君主
rooster	 n. 公鸡
studio	 n. 播音室；工作室
earnings	 n. 工资，收入；收益
implement	 n. 工具 v. 贯彻
workpiece	 n. 工（作）件
combat	 v. 跟…战斗，格斗
impart	 v. 给予；传递；告诉
energize	 v. 供给…能量
vaccinate	 v. 给…接种疫苗
flavour	 v. 给…调味
insulator	 n. 隔离者；绝缘体
lattice	 n. 格子结构
dove	 n. 鸽子，斑鸠
reveal	 v. 告诉，揭示，泄露
plateau	 n. 高原；平稳时期
lofty	 adj. 高耸的；高尚的
tower	 v. 高耸，屹立；翱翔
elevation	 n. 高度，海拔
intervene	 v. 干涉，干预
dry	 adj. 干巴巴的，枯燥的
olive	 n. 橄榄；橄榄树
sentiment	 n. 感情；情绪
perception	 n. 感知；理解力
sensation	 n. 感觉，知觉；轰动
Thanksgiving	 n. 感恩节
chill	 v. 感到寒冷；冷藏
outline	 v. 概述，概括
notion	 n. 概念；看法
conception	 n. 概念，观念，想法
summary	 adj. 概括的；速决的
generalize	 v. 概括出
impress	 v. 盖印，在…打记号
mend	 v. 修理；改正
duplicate	 n. 复制品 v. 复制
complication	 n. 复杂，混乱；并发症
complexity	 n. 复杂（性）
satellite	 n. 附属国
appendix	 n. 附录；阑尾
extra	 n. 附加物；额外的东西
incidentally	 adv. 附带地；顺便提及
charge	 n. 负荷；充电 v. 装满
negative	 adj. 负的；（结果）阴性的
corrosion	 n. 腐蚀，侵蚀；锈
erosion	 n. 腐蚀，侵蚀；糜烂
subsidiary	 adj. 辅助的，补充的
coach	 v. 指导，训练；辅导
answer	 v. 符合，适合
emerge	 v. 浮现，出现；显露
obedient	 adj. 服从的，顺从的
obedience	 n. 服从，顺从
maintenance	 n. 扶养费；维持
veto	 n. 否决，否决权；禁止
denial	 n. 否定；拒绝相信
Buddhism	 n. 佛教，释教
dedicate	 v. 奉献；献身
flatter	 v. 奉承，阿谀，谄媚
pineapple	 n. 凤梨，波萝
seam	 n. 缝口；接缝；骨缝
landscape	 n. 风景，景色，景致
windmill	 n. 风车
plump	 adj. 丰满的
abundance	 n. 丰富，充裕
indignation	 n. 愤怒，愤慨，义愤
shatter	 v. 粉碎，破碎；毁坏
molecular	 adj. 分子的；克分子的
limb	 n. 肢；手臂；腿
offset	 v. 抵销
fraction	 n. 分数
distract	 v. 分散（心思）；打扰
installment	 n. 分期付款
split	 n. 分裂，分化，派系
detach	 v. 分开；派遣（军队）
partition	 n. 分开，分割；隔墙
interface	 n. 分界面
relay	 v. 分程传递；使接替；转播
diverge	 v. 分岔；分歧
litter	 n. 废物；杂乱 v. 乱扔
abolish	 v. 废除，取消
gangster	 n. 匪徒，歹徒，暴徒
extraordinarily	 adv. 非常地，特别地
fly	 v. 飞跑；逃跑，消失
aviation	 n. 飞行（术）
indulge	 v. 放纵（感情），纵情
herd	 v. 成群；放牧
magnify	 v. 放大，扩大
imitation	 n. 仿制品，伪制物
pattern	 v. 仿制，仿造，模仿
reproduce	 v. 仿造
estate	 n. 财产，产业；房地产
hamper	 v. 妨碍，阻碍，牵制
handicap	 v. 妨碍，使不利
handy	 adj. 方便的；便于使用的
offence	 n. 犯罪，犯规；冒犯
blunder	 v. 犯大错 n. 大错
mirror	 n. 反映，借鉴
reactor	 n. 反应堆
echo	 v. 回响
contrary	 n. 反对命题
contradict	 v. 反驳，否认
propagation	 n. 繁殖；传播；蔓延
propagate	 v. 传播，普及；繁殖
toss	 v. 翻来覆去
decree	 n. 法令，政令
flannel	 n. 法兰绒
valve	 n. 阀，阀门；电子管
originate	 v. 发源；首创
spokesman	 n. 发言人，代言人
outlet	 n. 发泄（感情等）的方法
incidence	 n. 发生率，影响；入射
generate	 v. 发生，产生；生成
invoice	 n. 发票，发货清单
detector	 n. 发觉者，探测器
flame	 v. 燃烧
exert	 v. 发挥（威力），施加
luminous	 adj. 发光的；夜明的
beam	 v. 发光，发热；开怀大笑
motive	 adj. 发动的，运动的
dynamo	 n. 发电机
rattle	 v. 发出格格声
dioxide	 n. 二氧化物
bait	 n. 饵；引诱物
subsequent	 adj. 尔后的
whereas	 conj. 而，却，反之
youngster	 n. 儿童，少年，年轻人
offspring	 n. 儿女，子孙，后代
malice	 n. 恶意；蓄意犯罪
spite	 n. 恶意，怨恨
nightmare	 n. 恶梦；经常的恐惧
yoke	 n. 轭，牛轭；枷锁
deprive	 v. 夺去；使（人）失去
