pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
landing	 n. 登陆；码头；楼梯平台 v. 登陆（land的ing形式）
collateral	 adj. 并行的；旁系的；附属的 n. 抵押品；[法] 担保品；旁系亲属
quote	 v. 报价；引述；举证 n. 引用
leader	 n. 领导者；首领；指挥者
temporarily	 adv. 临时地，临时
recruitment	 n. 补充；征募新兵
blow	 n. 吹；打击；殴打 v. 风吹；喘气
minutes	 n. 分钟（minute的复数）；会议记录；备忘录 v. 把…记录在案；为…测定时间（minute的单三形式）
check	 v. 检查，核对；制止，抑制；在…上打勾 n. <美>支票；制止，抑制；检验，核对
inch	 n. 英寸；身高；少许 v. 使缓慢地移动
vision	 n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄） vt. 想象；显现；梦见
suitcase	 n. [轻] 手提箱；衣箱
tense	 adj. 紧张的；拉紧的 v. 变得紧张；使拉紧 n. 时态
paramount	 adj. 最重要的，主要的；至高无上的 n. 最高统治者
ultimately	 adv. 最后；根本；基本上
century	 n. 世纪，百年；（板球）一百分
grievance	 n. 不满，不平；委屈；冤情
addition	 n. 添加；[数] 加法；增加物
decimal	 adj. 小数的；十进位的 n. 小数
letterhead	 n. 印在信纸的信头；印有信头的信纸
labour	 n. 劳动力，人工；分娩 v. 劳动；分娩；费力地前进
overpay	 v. 多付；多给报酬
amuse	 v. 娱乐；消遣；使发笑；使愉快
flexitime	 n. 弹性上班制（等于flextime）
address	 v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼
deprive	 v. 使丧失，剥夺
infect	 v. 感染，传染
target	 n. 目标；靶子 v. 把……作为目标；规定……的指标；瞄准某物
group	 n. 组；团体 adj. 群的；团体的 v. 聚合
specialty	 n. 专业，专长；特产；特性；招牌菜 adj. 特色的；专门的；独立的
average	 n. 平均；平均数；海损 adj. 平均的；普通的；通常的 v. 算出…的平均数；将…平均分配；使…平衡
nil	 n. 无，零
educate	 v. 教育；培养；训练
total	 adj. 全部的；完全的；整个的 v. 总数达 n. 总数，合计
benefit	 n. 利益，好处；救济金 v. 有益于，对…有益
workforce	 n. 劳动力；工人总数，职工总数
diversify	 v. 使多样化，使变化；增加产品种类以扩大
overturn	 v. 推翻；倾覆；破坏 n. 倾覆；周转；破灭
search	 v. 搜寻；调查；探求 n. 搜寻；探究，查究
deflation	 n. 通货紧缩；放气
untapped	 adj. 未开发的；未使用的；塞子未开的
contribution	 n. 贡献；捐献；投稿
overqualified	 adv. 条件太好地；超过合格之最低要求 adj. 资历过高的
black	 adj. 黑色的；黑人的；邪恶的 n. 黑色；黑人；黑颜料 v. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
undue	 adj. 过度的，过分的；不适当的；未到期的
commentator	 n. 评论员，解说员；实况播音员；时事评论者
refurbish	 v. 刷新；再磨光
basement	 n. 地下室；地窖
preferential	 adj. 优先的；选择的；特惠的；先取的
comparable	 adj. 可比较的；比得上的
attract	 v. 吸引；引起
scenario	 n. 方案；情节；剧本；设想
dumping	 n. 倾销；倾泻 v. 倾倒（dump的ing形式）
extroversion	 n. [心理] 外向性；[医] 外翻
contingency	 n. 偶然性；[安全] 意外事故；可能性；[审计] 意外开支；[离散数学或逻辑学]偶然式
bankruptcy	 n. 破产
warrantee	 n. 被保证人；被担保人
view	 n. 观察；视野；意见；风景 v. 观察；考虑；查看
explain	 v. 说明；解释
decent	 adj. 正派的；得体的；相当好的
optimum	 adj. 最适宜的 n. 最佳效果；最适宜条件
blackmail	 n. 勒索，敲诈；勒索所得之款 v. 勒索，敲诈
screw	 v. 旋，拧；压榨；强迫 n. 螺旋；螺丝钉；吝啬鬼
acceptability	 n. 可接受性；可容许性
stake	 n. 桩，棍子；赌注；火刑；奖金 v. 资助，支持；系…于桩上；把…押下打赌
division	 n. [数] 除法；部门；分配；分割；师（军队）；赛区
midday	 n. 中午；正午 adj. 正午的
wage	 v. 进行；发动；从事 n. 工资；代价；报偿
slightly	 adv. 些微地，轻微地；纤细地
accommodate	 v. 容纳；使适应；供应；调解
refund	 v. 退还；偿还，归还 n. 退款；偿还，偿还额
PIN	 n. 大头针，针；栓；琐碎物 v. 钉住；压住；将……用针别住
donate	 v. 捐赠；捐献 n. 捐赠；捐献
foodstuff	 n. 食品，食物；粮食，食料
swamp	 n. 沼泽；湿地 v. 使陷于沼泽；使沉没；使陷入困境
thorough	 adj. 彻底的；十分的；周密的
monopoly	 n. 垄断；垄断者；专卖权
revaluate	 vt. 重新估价；重新评价；使升值
keyboard	 n. 键盘 v. 键入；用键盘式排字机排字
racket	 n. 球拍；吵闹，喧闹 v. 过着花天酒地的生活
embassy	 n. 大使馆；大使馆全体人员
compliment	 n. 恭维；称赞；问候；致意；道贺 v. 恭维；称赞
firm	 adj. 坚定的；牢固的；严格的；结实的 v. 使坚定；使牢固 adv. 稳固地 n. 公司；商号
traditional	 adj. 传统的；惯例的
living	 adj. 活的；现存的；活跃的；逼真的 n. 生活；生存；生计 v. 生活；居住（live的ing形式）；度过
backing	 n. 支持；后退；支持者；衬背 v. 支持（back的ing形式）
fire	 n. 火；火灾；炮火；炉火；热情；激情；磨难 v. 点燃；解雇；开除；使发光；烧制；激动；放枪
represent	 v. 代表；表现；描绘；回忆；再赠送
antitrust	 adj. [经] 反垄断的；[经] 反托拉斯的
altruistic	 adj. 利他的；无私心的
history	 n. 历史，历史学；历史记录；来历
assessable	 adj. 可估价的；可评价的；可征收的；可征税的
provincial	 adj. 省的；地方性的；偏狭的 n. 粗野的人；乡下人；外地人
endeavor	 n. 努力；尽力（等于endeavour） v. 努力；尽力（等于endeavour）
adulterant	 n. 掺杂物 adj. 掺杂用的
wealthy	 adj. 富有的；充分的；丰裕的 n. 富人
inflate	 v. 使充气；使通货膨胀
barrister	 n. 律师；（加拿大）出庭律师（等于arrister-at-law）；（英）（有资格出席高等法庭并辩护的）专门律师
conceive	 v. 怀孕；构思；以为；持有
bound	 adj. 有义务的；必定的；受约束的；装有封面的 v. 束缚；使跳跃 n. 范围；跳跃
lecture	 n. 演讲；讲稿；教训 v. 演讲；训诫
considerable	 adj. 相当大的；重要的，值得考虑的
impossible	 adj. 不可能的；不可能存在的；难以忍受的；不真实的 n. 不可能；不可能的事
photocopy	 n. 复印件；影印 v. 影印，复印
placard	 n. 海报，标语牌；招贴 v. 张贴，悬挂；公布；张贴公告于
volatility	 n. [化学] 挥发性；易变；活泼
slight	 adj. 轻微的，少量的；脆弱的；细长的；不重要的 v. 轻视，忽略；怠慢 n. 怠慢；轻蔑
poll	 n. 投票；民意测验；投票数；投票所 v. 投票；剪短；对…进行民意测验；获得选票 adj. 无角的；剪过毛的；修过枝的
pole	 n. 杆；极点；电极 v. 用竿支撑
turnover	 n. 翻覆；[贸易] 营业额；流通量；半圆卷饼；失误 adj. 翻过来的；可翻转的
obsolescence	 n. [生物] 退化；荒废
brainstorm	 n. 集思广益；头脑风暴；灵机一动 v. 集体讨论；集思广益以寻找
oval	 adj. 椭圆的；卵形的 n. 椭圆形；卵形
key	 n. （打字机等的）键；关键；钥匙 v. 键入；锁上；调节…的音调；提供线索 adj. 关键的
overcharge	 n. 过度充电；超载；装药过多 v. 对……索价过高；使……过度充电
eager	 adj. 渴望的；热切的；热心的 n. (Eager)人名；(英)伊格
apology	 n. 道歉；谢罪；辩护；勉强的替代物
agent	 n. 代理人，代理商；药剂；特工 vt. 由…作中介；由…代理 adj. 代理的
contractual	 adj. 契约的，合同的
predicament	 n. 窘况，困境；状态
directorship	 n. 管理者的职位
disjointed	 adj. 脱节的；杂乱的；脱臼的
measurement	 n. 测量；[计量] 度量；尺寸；量度制
sale	 n. 销售；出售；拍卖；销售额；廉价出售
executive	 adj. 行政的；经营的；执行的，经营管理的 n. 总经理；执行委员会；执行者；经理主管人员
cough	 n. 咳嗽，咳嗽声；咳嗽病 v. 咳出
neat	 adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
receptive	 adj. 善于接受的；能容纳的
against	 prep. 反对，违反；靠；倚；防备 adj. 不利的；对立的
example	 n. 例子；榜样 vt. 作为…的例子；为…做出榜样 vi. 举例
spillover	 n. 溢出；外流人口
stale	 adj. 陈腐的；不新鲜的 v. 变陈旧；撒尿；变得不新鲜 n. 尿
flier	 n. 飞行员；快车；飞行物；（美）广告传单
terminate	 v. 使终止；使结束；解雇 adj. 结束的
advertise	 v. 通知；为…做广告；使突出
abate	 v. 减轻；减少；废除 n. (Abate)人名；(英、意、法、埃塞)阿巴特
department	 n. 部；部门；系；科；局
consensus	 n. 一致；舆论；合意
employer	 n. 雇主，老板
accentuate	 v. 强调；重读
retire	 v. 退休；撤退；退却 n. 退休；退隐；退兵信号
purchase	 n. 购买；紧握；起重装置 v. 购买；赢得
intangible	 adj. 无形的，触摸不到的；难以理解的
unprecedented	 adj. 空前的；无前例的
assimilation	 n. 同化；吸收；[生化] 同化作用
enhance	 v. 提高；加强；增加
organization	 n. 组织；机构；体制；团体
area	 n. 区域，地区；面积；范围
litigate	 v. 在法庭相争；提出诉讼
style	 n. 风格；时尚；类型；字体 v. 设计；称呼；使合潮流
circulation	 n. 流通，传播；循环；发行量
experience	 n. 经验；经历；体验 v. 经验；经历；体验
discipline	 n. 学科；纪律；训练；惩罚 v. 训练，训导；惩戒
employee	 n. 雇员；从业员工
coupon	 n. 息票；赠券；联票；[经] 配给券
collegiate	 adj. 大学的；学院的；大学生的
acculturation	 n. 文化适应；文化移入；文化互渗（不同文化在频繁交流中的互相影响）
correspondence	 n. 通信；一致；相当
society	 n. 社会；交往；社团；社交界
consolidate	 v. 巩固，使固定；联合
backwards	 adv. 倒；向后；逆
audit	 v. 审计；[审计] 查账 n. 审计；[审计] 查账
suspension	 n. 悬浮；暂停；停职
capable	 adj. 能干的，能胜任的；有才华的
headquarters	 n. 总部；指挥部；司令部
haggle	 n. 讨价还价；争论 v. 乱劈；乱砍
dimension	 n. 方面;[数] 维；尺寸；次元；容积 vt标出尺寸 adj. 规格的
diminish	 v. 使减少；使变小
downtime	 n. （工厂等由于检修，待料等的）停工期；[电子] 故障停机时间
mission	 n. 使命，任务；代表团；布道 vt. 派遣；向……传教
stand	 v. 站立；位于；停滞 n. 站立；立场；看台；停止
arrival	 n. 到来；到达；到达者
passport	 n. 护照，通行证；手段
depositor	 n. 存款人，存放者；寄托者
outlay	 vt. 花费 n. [会计] 经费；支出；费用
recipe	 n. 食谱；[临床] 处方；秘诀；烹饪法
yield	 v. 屈服；出产，产生；放弃 n. 产量；收益
concern	 v. 涉及，关系到；使担心 n. 关系；关心；关心的事；忧虑
score	 n. 分数；二十；配乐；刻痕 v. 获得；评价；划线，刻划；把…记下
court	 n. 法院；球场；朝廷；奉承 v. 招致（失败、危险等）；向…献殷勤；设法获得
receipt	 n. 收到；收据；收入 v. 收到
bizarre	 adj. 奇异的（指态度，容貌，款式等）
impose	 v. 利用；欺骗；施加影响
council	 n. 委员会；会议；理事会；地方议会；顾问班子
cure	 v. 治疗；治愈；使硫化；加工处理 n. 治疗；治愈；[临床] 疗法
integral	 adj. 积分的；完整的，整体的；构成整体所必须的 n. 积分；部分；完整
break	 v. 打破；折断；弄坏；削弱 n. 破裂；间断；（持续一段时间的状况的）改变；间歇
operation	 n. 操作；经营；[外科] 手术；[数][计] 运算
deliver	 v. 交付；发表；递送；释放；给予（打击）；给…接生 n. 投球
pending	 adj. 未决定的；行将发生的 prep. 在…期间；直到…时为止；在等待…之际 v. 待定；悬而不决（pend的ing形式） n. (Pending)人名；(瑞典)彭丁
combine	 v. 使化合；使联合，使结合 n. 联合收割机；联合企业
embrace	 v. 拥抱；信奉，皈依；包含 n. 拥抱
quantifiable	 adj. 可以计量的
contradictory	 adj. 矛盾的；反对的；反驳的；抗辩的 n. 对立物；矛盾因素
worth	 adj. 值…的 n. 价值；财产
mogul	 n. 有权势的人；显要人物
fetch	 v. 取来；接来；到达；吸引 n. 取得；诡计
mailshot	 n. 邮寄广告
structure	 n. 结构；构造；建筑物 v. 组织；构成；建造
lessor	 n. 出租人
regulator	 n. 调整者；监管者；校准器
welfare	 n. 福利；幸福；福利事业；安宁 adj. 福利的；接受社会救济的
vitality	 n. 活力，生气；生命力，生动性
accountable	 adj. 有责任的；有解释义务的；可解释的
flexible	 adj. 灵活的；柔韧的；易弯曲的
discount	 n. 折扣；贴现率 v. 贴现；打折扣出售商品
destination	 n. 目的地，终点
include	 v. 包含，包括
emotion	 n. 情感；情绪
traffic	 n. 交通；运输；贸易；[通信] 通信量 v. 用…作交换；在…通行
skill	 n. 技能，技巧；本领，技术
underestimate	 v. 低估；看轻 n. 低估
confident	 adj. 自信的；确信的
experienced	 adj. 老练的，熟练的；富有经验的
poster	 n. 海报，广告；招贴
haulage	 n. 拖运；拖曳；运费
abandon	 n. 放任；狂热 v. 遗弃；放弃
allay	 v. 减轻；使缓和；使平静
converge	 v. 使汇聚
pension	 n. 退休金，抚恤金；津贴；膳宿费 v. 发给养老金或抚恤金
delivery	 n. [贸易] 交付；分娩；递送
bodywork	 n. 车体；车身制造
gap	 n. 间隙；缺口；差距；分歧 v. 裂开
satellite	 n. 卫星；人造卫星；随从；卫星国家
follower	 n. 追随者；信徒；属下
subject	 n. 主题；科目；[语] 主语；国民 adj. 服从的；易患…的；受制于…的 v. 使…隶属；使屈从于…
moment	 n. 片刻，瞬间，时刻；重要，契机
merge	 v. 合并；使合并；吞没 n. (Merge)人名；(意)梅尔杰
stagnate	 v. 停滞；淤塞；变萧条
manifest	 v. 证明，表明；显示 n. 载货单，货单；旅客名单 adj. 显然的，明显的；明白的
plenty	 n. 丰富，大量；充足 adj. 足够的，很多的 adv. 足够
constraint	 n. [数] 约束；局促，态度不自然；强制
influence	 n. 影响；势力；感化；有影响的人或事 v. 影响；改变
talent	 n. 才能；天才；天资
recover	 v. 恢复；弥补；重新获得 n. 还原至预备姿势
hammer	 v. 锤击；敲打；重复 n. 铁锤；链球；[解剖] 锤骨；音锤
conspire	 v. 共谋；协力
prospectus	 n. 内容说明书；样张；创办计划书；学校的入学简介
headhunter	 n. 猎头者；物色人才的人；猎取人头的蛮人
dollar	 n. 美元
radical	 adj. 激进的；根本的；彻底的 n. 基础；激进分子；[物化] 原子团；[数] 根数
evaluator	 n. 评估员；[电子] 鉴别器；求值程序
cheapen	 v. 减去…的价格；贬低
similar	 adj. 相似的 n. 类似物
nominate	 v. 推荐；提名；任命；指定
pollute	 v. 污染；玷污；败坏
interlude	 n. 插曲；穿插；幕间节目；[数] 插算 v. 使中断
admittance	 n. 进入；入场权；通道
divergent	 adj. 相异的，分歧的；散开的
interview	 n. 接见，采访；面试，面谈 v. 采访；接见；对…进行面谈；对某人进行面试
accommodation	 n. 住处，膳宿；调节；和解；预订铺位
proposal	 n. 提议，建议；求婚
ripe	 adj. 熟的，成熟的；时机成熟的 vt. 搜查；调查 vi. 进行搜查 n. (Ripe)人名；(意、瑞典)里佩
healthy	 adj. 健康的，健全的；有益于健康的
salutation	 n. 称呼；问候；招呼；寒喧
voucher	 n. 收据；证人；保证人；证明者；代金 vt. 证实的可靠性
design	 v. 设计；计划；构思 n. 设计；图案
qualified	 adj. 合格的；有资格的 v. 限制（qualify的过去分词）；描述；授权予
expenditure	 n. 支出，花费；经费，消费额
cause	 n. 原因；事业；目标 v. 引起；使遭受
equity	 n. 公平，公正；衡平法；普通股；抵押资产的净值
count	 v. 计算；认为 n. 计数；计算；伯爵
save	 v. 节省；保存；储蓄；解救 prep. 除之外 n. 救援
location	 n. 位置（形容词locational）；地点；外景拍摄场地
deeply	 adv. 深刻地；浓浓地；在深处
chat	 v. 聊天；闲谈 n. 聊天；闲谈
middle	 adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部
prior	 adj. 优先的；在先的，在前的 adv. 在前，居先 n. (Prior)人名；(法、西、葡、捷)普里奥尔；(英)普赖尔；(意)普廖尔
squeeze	 v. 挤；紧握；勒索 n. 压榨；紧握；拥挤；佣金
level	 n. 水平；标准；水平面 adj. 水平的；平坦的；同高的 v. 瞄准；拉平；变得平坦
results	 n. 结果；成绩（result的复数） v. 结果发生；终归（result的三单形式）
faulty	 adj. 有错误的；有缺点的
official	 adj. 官方的；正式的；公务的 n. 官员；公务员；高级职员
centralize	 v. 使集中；使成为…的中心；使集权
annul	 v. 取消；废除；宣告无效
agiotage	 n. 兑换；股票买卖；汇兑业务，货币兑换
competence	 n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
objective	 adj. 客观的；目标的；宾格的 n. 目的；目标；[光] 物镜；宾格
appropriate	 adj. 适当的；恰当的；合适的 v. 占用，拨出
musical	 adj. 音乐的；悦耳的 n. 音乐片
premise	 v. 引出，预先提出；作为…的前提 n. 前提；上述各项；房屋连地基
doubt	 n. 怀疑；疑问；疑惑 v. 怀疑；不信；恐怕；拿不准
correlation	 n. [数] 相关，关联；相互关系
heavy	 adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
machine	 n. 机械，机器；机构；机械般工作的人 v. 用机器制造
professional	 adj. 专业的；职业的；职业性的 n. 专业人员；职业运动员
relative	 adj. 相对的；有关系的；成比例的 n. 亲戚；相关物；[语] 关系词；亲缘植物
comparison	 n. 比较；对照；比喻；比较关系
statement	 n. 声明；陈述，叙述；报表，清单
denationalize	 v. 使（工业等）非国有化；使变成私营；开除…的国籍
manufacture	 n. 制造；产品；制造业 v. 制造；加工；捏造
dust	 n. 灰尘；尘埃；尘土 v. 撒；拂去灰尘
operate	 v. 运转；动手术；起作用
bulletin	 n. 公告，公报 v. 公布，公告
thin	 adj. 薄的；瘦的；稀薄的；微弱的 v. 使瘦；使淡；使稀疏 adv. 稀疏地；微弱地 n. 细小部分
controller	 n. 控制器；管理员；主计长
release	 v. 释放；发射；让与；允许发表 n. 释放；发布；让与
transshipment	 n. 转运；转载
cotton	 n. 棉花；棉布；棉线 v. 一致；理解；和谐；亲近 adj. 棉的；棉制的
accomplish	 v. 完成；实现；达到
equivalent	 adj. 等价的，相等的；同意义的 n. 等价物，相等物
appreciate	 v. 欣赏；感激；领会；鉴别
fixture	 n. 设备；固定装置；固定于某处不大可能移动之物
scope	 n. 范围；余地；视野；眼界；导弹射程 v. 审视
earnest	 adj. 认真的，热心的；重要的 n. 认真；定金；诚挚
quittance	 n. 收据；免除，赦免；报酬，补偿
durable	 adj. 耐用的，持久的 n. 耐用品
affect	 v. 影响；感染；感动；假装 n. 情感；引起感情的因素
adverse	 adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
network	 n. 网络；广播网；网状物
awful	 adj. 可怕的；极坏的；使人敬畏的
risk	 n. 风险；危险；冒险 v. 冒…的危险
aftermarket	 n. 零件市场；二级市场（等于secondary market）
affiliate	 n. 联号；隶属的机构等 v. 使附属；接纳；使紧密联系
spacious	 adj. 宽敞的，广阔的；无边无际的
staff	 n. 职员；参谋；棒；支撑 adj. 职员的；行政工作的 v. 供给人员；给…配备职员
patronage	 n. 赞助；光顾；任免权
mould	 v. 发霉 n. 模具；霉
rise	 v. 上升；增强；起立；高耸 n. 上升；高地；增加；出现
able	 adj. 能；[经管] 有能力的；能干的 n. (Able)人名；(伊朗)阿布勒；(英)埃布尔
fundraising	 n. 筹款；资金募集 adj. 募款的
retention	 n. 保留；扣留，滞留；记忆力；闭尿
accessible	 adj. 易接近的；可进入的；可理解的
tailor	 v. 剪裁；使合适 n. 裁缝
exhibition	 n. 展览，显示；展览会；展览品
receive	 v. 收到；接待；接纳
evolve	 v. 发展，进化；进化；使逐步形成；推断出
healthcare	 n. 医疗保健；健康护理，健康服务；卫生保健
abstract	 n. 摘要；抽象；抽象的概念 adj. 抽象的；深奥的 v. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
understaffed	 adj. 人手不足的；人员不足的
application	 n. 应用；申请；应用程序；敷用
undercharge	 v. 充电不足；索价低于常价；弹药装填不足 n. 充电不足；低的索价；填不够量的火药
audience	 n. 观众；听众；读者；接见；正式会见；拜会
standard	 n. 标准；水准；旗；度量衡标准 adj. 标准的；合规格的；公认为优秀的
revaluation	 n. 重新估价；再评价
premium	 n. 额外费用；奖金；保险费;(商)溢价 adj. 高价的；优质的
coach	 n. 教练；旅客车厢；长途公车；四轮大马车 v. 训练；指导
profitable	 adj. 有利可图的；赚钱的；有益的
diligent	 adj. 勤勉的；用功的，费尽心血的 n. (Diligent)人名；(法)迪利让
print	 n. 印刷业；印花布；印刷字体；印章；印记 v. 印刷；打印；刊载；用印刷体写；在…印花样
ambition	 n. 野心，雄心；抱负，志向 v. 追求；有…野心
reception	 n. 接待；接收；招待会；感受；反应
merit	 n. 优点，价值；功绩；功过 v. 值得
stockbroker	 n. [金融] 股票经纪人
duration	 n. 持续，持续的时间，期间
organizational	 adj. 组织的；编制的
contraction	 n. 收缩，紧缩；缩写式；害病
hidden	 adj. 隐藏的 v. 隐藏，躲藏（hide的过去分词） n. (Hidden)人名；(英)希登
absenteeism	 n. 旷工；旷课；有计划的怠工；经常无故缺席
intend	 v. 打算；想要；意指
occupy	 v. 占据，占领；居住；使忙碌
constitute	 v. 组成，构成；建立；任命
licensor	 n. 认可证颁发者（尤指批准书籍出版或戏剧演出的官员）
guide	 n. 指南；向导；入门书 v. 引导；带领；操纵
handle	 n. [建] 把手；柄；手感；口实 v. 处理；操作；运用；买卖；触摸
receiver	 n. 接收器；接受者；收信机；收款员，接待者
redeem	 v. 赎回；挽回；兑换；履行；补偿；恢复
solvent	 adj. 有偿付能力的；有溶解力的 n. 溶剂；解决方法
specialist	 n. 专家；专门医师 adj. 专家的；专业的
optimal	 adj. 最佳的；最理想的
lure	 n. 诱惑；饵；诱惑物 v. 诱惑；引诱
retrospect	 n. 回顾，追溯 v. 回顾，追溯；回想
associate	 v. 交往；结交 n. 同事，伙伴；关联的事物 adj. 副的；联合的
phenomenon	 n. 现象；奇迹；杰出的人才
scheme	 n. 计划；组合；体制；诡计 v. 搞阴谋；拟订计划
admission	 n. 承认；入场费；进入许可；坦白；录用
forward	 adj. 向前的；早的；迅速的 adv. 向前地；向将来 v. 促进；转寄；运送 n. 前锋
countersign	 n. 口令；副署 v. 副署；会签；确认
juice	 n. （水果）汁，液；果汁
depreciation	 n. 折旧；贬值
resistance	 n. 阻力；电阻；抵抗；反抗；抵抗力
counterfoil	 n. 支票存根；票根
happen	 v. 发生；碰巧；偶然遇到
brain	 n. 头脑，智力；脑袋 v. 猛击…的头部
wool	 n. 羊毛；毛线；绒线；毛织品；毛料衣物
piece	 n. 块；件；篇；硬币 v. 修补；接合；凑合
serve	 v. 招待，供应；为…服务；对…有用；可作…用 n. 发球，轮到发球
severance	 n. 分离；断绝；隔离；区别；遣散；离职补偿金
turn	 v. 转动，使旋转；转弯；翻过来；兑换 n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
checkbook	 n. 支票簿
reallocate	 v. 重新分配；再指派
multinational	 adj. 跨国公司的；多国的 n. 跨国公司
terminology	 n. 术语，术语学；用辞
turf	 n. 草皮；泥炭；跑马场 v. 覆草皮于
undermine	 v. 破坏，渐渐破坏；挖掘地基
copyright	 n. 版权，著作权 adj. 版权的；受版权保护的 v. 保护版权；为…取得版权
available	 adj. 可获得的；可购得的；可找到的；有空的
declare	 v. 宣布，声明；断言，宣称
centimeter	 n. [计量] 厘米；[计量] 公分
memorandum	 n. 备忘录；便笺
crime	 n. 罪行，犯罪；罪恶；犯罪活动 vt. 控告……违反纪律
shower	 n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 v. 大量地给予；把……弄湿
wholesaler	 n. 批发商
discard	 v. 抛弃；放弃；丢弃 n. 抛弃；被丢弃的东西或人
digital	 adj. 数字的；手指的 n. 数字；键
estimate	 v. 估计，估价 n. 估计，估价；判断，看法
seduce	 v. 引诱；诱惑；诱奸；怂恿
predecessor	 n. 前任，前辈
drawback	 n. 缺点，不利条件；退税
defer	 v. 推迟；延期；服从 n. (Defer)人名；(法)德费
figure	 n. 数字；人物；图形；价格；（人的）体形；画像 v. 计算；出现；扮演角色
habit	 n. 习惯，习性；嗜好 v. 使穿衣
utilization	 n. 利用，使用
affirm	 v. 肯定；断言
motor	 n. 发动机，马达；汽车 adj. 汽车的；机动的 v. 乘汽车
punctual	 adj. 准时的，守时的；精确的
possess	 v. 控制；使掌握；持有；迷住；拥有，具备
itinerary	 n. 旅程，路线； 旅行日程 adj. 旅程的； 巡回的，流动的
assess	 v. 评定；估价；对…征税
festival	 n. 节日；庆祝，纪念活动；欢乐 adj. 节日的，喜庆的；快乐的
crisis	 n. 危机；危险期；决定性时刻 adj. 危机的；用于处理危机的
notice	 n. 通知，布告；注意；公告 v. 通知；注意到；留心
surplus	 n. 剩余；[贸易] 顺差；盈余；过剩 adj. 剩余的；过剩的
resent	 v. 怨恨；愤恨；厌恶
mostly	 adv. 主要地；通常；多半地
direct	 adj. 直接的；直系的；亲身的；恰好的 v. 管理；指挥；导演；指向 adv. 直接地；正好；按直系关系
globalization	 n. 全球化
prosecute	 v. 检举；贯彻；从事；依法进行
plausible	 adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
absence	 n. 没有；缺乏；缺席；不注意
profligacy	 n. 肆意挥霍；放荡；浪费
factor	 n. 因素；要素；[物] 因数；代理人 v. 做代理商
fault	 n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误 v. 弄错；产生断层
breakthrough	 n. 突破；突破性进展
affinity	 n. 密切关系；吸引力；姻亲关系；类同
positioning	 n. [计] 定位；配置，布置 v. [计] 定位（position的现在分词）；放置
billing	 n. 广告；记帐；开发票；演员表；总账款 v. 开帐单（bill的ing形式）
operative	 adj. 有效的；运转着的；从事生产劳动的 n. 侦探；技工
preference	 n. 偏爱，倾向；优先权
CEO	 abbr. 首席执行官；执行总裁（chief executive officer）
producer	 n. 制作人，制片人；生产者；发生器
achievable	 adj. 可完成的；可有成就的；做得成的
reclaim	 v. 开拓；回收再利用；改造某人，使某人悔改 n. 改造，感化；再生胶
prompt	 adj. 敏捷的，迅速的；立刻的 v. 提示；促进；激起；（给演员）提白 n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格 adv. 准时地
raft	 n. 筏；救生艇；（美）大量 v. 筏运；制成筏
competitor	 n. 竞争者，对手
variable	 adj. 变量的；可变的；易变的，多变的；变异的，[生物] 畸变的 n. [数] 变量；可变物，可变因素
oblige	 v. 迫使；强制；赐，施恩惠；责成；义务
decrease	 n. 减少，减小；减少量 v. 减少，减小
agree	 v. 同意，赞成；承认；约定，商定
solicitor	 n. 律师；法务官；募捐者；掮客
grocery	 n. 食品杂货店
detail	 n. 细节，详情 v. 详述；选派
inner	 adj. 内部的；内心的；精神的 n. 内部
terms	 n. 地位，关系；[法] 条款；术语；措辞；价钱（term的复数形式） v. 把…称为（term的三单形式）
album	 n. 相簿；唱片集；集邮簿；签名纪念册
surrender	 v. 使投降；放弃；交出；听任 n. 投降；放弃；交出；屈服
categorize	 v. 分类
disruption	 n. 破坏，毁坏；分裂，瓦解
candidate	 n. 候选人，候补者；应试者
encounter	 v. 遭遇，邂逅；遇到 n. 遭遇，偶然碰见
telegraph	 n. [通信] 电报机，电报 v. 电汇；流露出；打电报给…
loose	 adj. 宽松的；散漫的；不牢固的；不精确的 v. 释放；开船；放枪 adv. 松散地 n. 放纵；放任；发射
commit	 v. 犯罪，做错事；把交托给；指派…作战；使…承担义务
validity	 n. [计] 有效性；正确；正确性
benchmarking	 n. 标杆管理；标记；确定基准点
electricity	 n. 电力；电流；强烈的紧张情绪
conference	 n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会 vi. 举行或参加（系列）会议
